Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Lions to receive the opening kickoff.",,,10.0,2024,151
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
1.0,15:00,1.0,10.0,DET 30,0.0,0.0,Jared Goff pass incomplete short right,0.94,0.39,10.0,2024,151
1.0,14:56,2.0,10.0,DET 30,0.0,0.0,Jahmyr Gibbs left guard for 5 yards (tackle by Denico Autry and Henry To'oTo'o),0.39,0.37,10.0,2024,151
1.0,14:22,3.0,5.0,DET 35,0.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 7 yards (tackle by Jimmie Ward),0.37,1.73,10.0,2024,151
1.0,13:57,1.0,10.0,DET 42,0.0,0.0,David Montgomery left tackle for 4 yards (tackle by Danielle Hunter),1.73,1.73,10.0,2024,151
1.0,13:23,2.0,6.0,DET 46,0.0,0.0,"Jared Goff pass complete short right to Jameson Williams for no gain (tackle by Derek Stingley and Jalen Pitre). Penalty on Kevin Zeitler: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.73,1.05,10.0,2024,151
1.0,13:01,2.0,11.0,DET 41,0.0,0.0,Jared Goff pass short right (defended by Jalen Pitre) intended for Jahmyr Gibbs is intercepted by Jimmie Ward at DET-35 and returned for 2 yards (tackle by Jahmyr Gibbs),1.05,-3.38,10.0,2024,151
1.0,12:55,1.0,10.0,DET 33,0.0,0.0,Joe Mixon left tackle for 2 yards (tackle by Levi Onwuzurike and Jack Campbell),3.38,3.11,10.0,2024,151
1.0,12:13,2.0,8.0,DET 31,0.0,0.0,Joe Mixon right end for -2 yards (tackle by Brian Branch),3.11,2.15,10.0,2024,151
1.0,11:31,3.0,10.0,DET 33,0.0,0.0,C.J. Stroud pass complete short left to Tank Dell for 13 yards (tackle by Amik Robertson),2.15,4.24,10.0,2024,151
1.0,10:50,1.0,10.0,DET 20,0.0,0.0,Joe Mixon right guard for 2 yards (tackle by Alim McNeill),4.24,3.96,10.0,2024,151
1.0,10:05,2.0,8.0,DET 18,0.0,0.0,Joe Mixon right tackle for -8 yards (tackle by Josh Paschal),3.96,2.21,10.0,2024,151
1.0,9:18,3.0,16.0,DET 26,0.0,0.0,C.J. Stroud pass complete short left to John Metchie for 16 yards (tackle by Amik Robertson),2.21,4.91,10.0,2024,151
1.0,8:33,1.0,10.0,DET 10,0.0,0.0,C.J. Stroud pass complete short right to Cade Stover for 2 yards (tackle by Alex Anzalone),4.91,4.57,10.0,2024,151
1.0,7:50,,,,,,Timeout #1 by Houston Texans,,,10.0,2024,151
1.0,7:50,2.0,8.0,DET 8,0.0,6.0,"Joe Mixon left end for 8 yards, touchdown",4.57,7.0,10.0,2024,151
1.0,7:46,,,DET 15,0.0,7.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,10.0,2024,151
1.0,7:46,,,HOU 35,0.0,7.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
1.0,7:46,1.0,10.0,DET 30,0.0,7.0,David Montgomery left guard for no gain (tackle by Jalen Pitre),0.94,0.39,10.0,2024,151
1.0,7:17,2.0,10.0,DET 30,0.0,7.0,Jared Goff pass incomplete deep middle intended for Jameson Williams (defended by Derek Stingley),0.39,-0.3,10.0,2024,151
1.0,7:08,3.0,10.0,DET 30,0.0,7.0,"Penalty on Jared Goff: Delay of Game, 5 yards (accepted) (no play)",-0.3,-0.96,10.0,2024,151
1.0,7:08,3.0,15.0,DET 25,0.0,7.0,Jared Goff pass complete short right to Sam LaPorta for 9 yards (tackle by Jalen Pitre),-0.96,-1.11,10.0,2024,151
1.0,6:31,4.0,6.0,DET 34,0.0,7.0,"Jack Fox punts 40 yards, returned by Steven Sims for 17 yards (tackle by Sione Vaki)",-1.11,-1.8,10.0,2024,151
1.0,6:22,1.0,10.0,HOU 43,0.0,7.0,C.J. Stroud pass complete short right to Tank Dell for 8 yards (tackle by Carlton Davis),1.8,2.33,10.0,2024,151
1.0,5:46,2.0,2.0,DET 49,0.0,7.0,C.J. Stroud pass complete short left to Tank Dell for 8 yards (tackle by Carlton Davis),2.33,2.85,10.0,2024,151
1.0,5:14,1.0,10.0,DET 41,0.0,7.0,Joe Mixon left tackle for 2 yards (tackle by Carlton Davis),2.85,2.58,10.0,2024,151
1.0,4:29,2.0,8.0,DET 39,0.0,7.0,C.J. Stroud pass complete short left to Joe Mixon for 36 yards (tackle by Terrion Arnold and Brian Branch),2.58,6.51,10.0,2024,151
1.0,3:53,1.0,3.0,DET 3,0.0,7.0,"Joe Mixon left guard for no gain (tackle by Levi Onwuzurike). Penalty on Juice Scruggs: Offensive Holding, 10 yards (accepted) (no play)",6.51,4.53,10.0,2024,151
1.0,3:33,1.0,13.0,DET 13,0.0,7.0,Joe Mixon up the middle for 2 yards (tackle by Brian Branch and Josh Paschal),4.53,4.02,10.0,2024,151
1.0,3:01,2.0,11.0,DET 11,0.0,7.0,C.J. Stroud pass incomplete short right intended for Joe Mixon,4.02,3.12,10.0,2024,151
1.0,2:56,3.0,11.0,DET 11,0.0,7.0,C.J. Stroud sacked by James Houston for -5 yards,3.12,2.38,10.0,2024,151
1.0,2:12,4.0,16.0,DET 16,0.0,10.0,Ka'imi Fairbairn 34 yard field goal good,2.38,3.0,10.0,2024,151
1.0,2:09,,,HOU 35,0.0,10.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
1.0,2:09,1.0,10.0,DET 30,0.0,10.0,Jared Goff pass incomplete short right,0.94,0.39,10.0,2024,151
1.0,2:02,2.0,10.0,DET 30,0.0,10.0,Jahmyr Gibbs left end for -6 yards (tackle by Azeez Al-Shaair and Tim Settle),0.39,-1.09,10.0,2024,151
1.0,1:20,3.0,16.0,DET 24,0.0,10.0,Jared Goff pass complete deep middle to Jameson Williams for 23 yards (tackle by Calen Bullock and Jalen Pitre),-1.09,2.06,10.0,2024,151
1.0,0:39,1.0,10.0,DET 47,0.0,10.0,Jared Goff pass complete short right to Jahmyr Gibbs for 4 yards (tackle by Derek Stingley),2.06,2.06,10.0,2024,151
2.0,15:00,2.0,6.0,HOU 49,0.0,10.0,Jahmyr Gibbs right guard for no gain (tackle by Tommy Togiai),2.06,1.36,10.0,2024,151
2.0,14:18,3.0,6.0,HOU 49,0.0,10.0,Jared Goff pass complete short middle to Jameson Williams for 13 yards (tackle by Kamari Lassiter),1.36,3.18,10.0,2024,151
2.0,13:40,1.0,10.0,HOU 36,0.0,10.0,Jahmyr Gibbs right guard for 6 yards (tackle by Tim Settle and Jalen Pitre),3.18,3.45,10.0,2024,151
2.0,13:04,2.0,4.0,HOU 30,0.0,10.0,Jahmyr Gibbs left tackle for 3 yards (tackle by Devin White and Danielle Hunter),3.45,3.14,10.0,2024,151
2.0,12:20,3.0,1.0,HOU 27,0.0,10.0,Jared Goff scrambles right end for 2 yards (tackle by Eric Murray),3.14,3.91,10.0,2024,151
2.0,11:40,1.0,10.0,HOU 25,0.0,10.0,Jahmyr Gibbs left guard for 5 yards (tackle by Jimmie Ward and Devin White),3.91,4.04,10.0,2024,151
2.0,10:58,2.0,5.0,HOU 20,6.0,10.0,"Jared Goff pass complete deep right to Sam LaPorta for 20 yards, touchdown",4.04,7.0,10.0,2024,151
2.0,10:52,,,HOU 15,7.0,10.0,Jake Bates kicks extra point good,0.0,0.0,10.0,2024,151
2.0,10:52,,,DET 35,7.0,10.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
2.0,10:52,1.0,10.0,HOU 30,7.0,10.0,Tank Dell left end for -6 yards (tackle by Pat O'Connor),0.94,-0.42,10.0,2024,151
2.0,10:09,2.0,16.0,HOU 24,7.0,10.0,"C.J. Stroud pass incomplete deep left intended for Xavier Hutchinson. Penalty on Terrion Arnold: Defensive Pass Interference, 41 yards (accepted) (no play)",-0.42,3.25,10.0,2024,151
2.0,10:01,1.0,10.0,DET 35,7.0,10.0,Joe Mixon left guard for no gain (tackle by Josh Paschal),3.25,2.7,10.0,2024,151
2.0,9:19,2.0,10.0,DET 35,7.0,10.0,C.J. Stroud pass incomplete short left intended for Tank Dell (defended by Brian Branch),2.7,2.01,10.0,2024,151
2.0,9:13,3.0,10.0,DET 35,7.0,10.0,Joe Mixon left guard for -3 yards (tackle by Alim McNeill),2.01,0.72,10.0,2024,151
2.0,8:30,4.0,13.0,DET 38,7.0,13.0,Ka'imi Fairbairn 56 yard field goal good,0.72,3.0,10.0,2024,151
2.0,8:25,,,HOU 35,7.0,13.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
2.0,8:25,1.0,10.0,DET 30,7.0,13.0,David Montgomery right guard for no gain (tackle by Folorunso Fatukasi),0.94,0.39,10.0,2024,151
2.0,7:48,2.0,10.0,DET 30,7.0,13.0,"Jared Goff pass incomplete short middle intended for Tim Patrick. Penalty on Danielle Hunter: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",0.39,1.27,10.0,2024,151
2.0,7:42,1.0,10.0,DET 35,7.0,13.0,Jared Goff pass short middle (defended by Denico Autry) intended for Sam LaPorta is intercepted by Henry To'oTo'o at DET-36 and returned for no gain (tackle by Sam LaPorta),1.27,-3.18,10.0,2024,151
2.0,7:34,1.0,10.0,DET 36,7.0,13.0,C.J. Stroud pass complete short left to Tank Dell for 1 yard (tackle by Brian Branch),3.18,2.77,10.0,2024,151
2.0,6:50,2.0,9.0,DET 35,7.0,13.0,C.J. Stroud pass complete short right to Xavier Hutchinson for 10 yards (tackle by Brian Branch),2.77,3.91,10.0,2024,151
2.0,6:09,1.0,10.0,DET 25,7.0,13.0,C.J. Stroud pass complete short middle to Joe Mixon for 8 yards (tackle by Trevor Nowaske),3.91,4.55,10.0,2024,151
2.0,5:45,2.0,2.0,DET 17,7.0,13.0,Joe Mixon left guard for 6 yards (tackle by Kerby Joseph),4.55,4.84,10.0,2024,151
2.0,5:06,1.0,10.0,DET 11,7.0,13.0,Joe Mixon right end for no gain (tackle by Josh Paschal),4.84,4.14,10.0,2024,151
2.0,4:22,2.0,10.0,DET 11,7.0,13.0,C.J. Stroud pass incomplete short left intended for Joe Mixon,4.14,3.13,10.0,2024,151
2.0,4:18,3.0,10.0,DET 11,7.0,13.0,C.J. Stroud pass incomplete short right intended for Robert Woods,3.13,2.7,10.0,2024,151
2.0,4:10,4.0,10.0,DET 11,7.0,16.0,Ka'imi Fairbairn 29 yard field goal good,2.7,3.0,10.0,2024,151
2.0,4:07,,,HOU 35,7.0,16.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
2.0,4:07,1.0,10.0,DET 30,7.0,16.0,David Montgomery right guard for 2 yards (tackle by Azeez Al-Shaair and Danielle Hunter),0.94,0.66,10.0,2024,151
2.0,3:33,2.0,8.0,DET 32,7.0,16.0,Jared Goff pass incomplete short right,0.66,-0.03,10.0,2024,151
2.0,3:28,3.0,8.0,DET 32,7.0,16.0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,-0.03,-1.24,10.0,2024,151
2.0,3:24,4.0,8.0,DET 32,7.0,16.0,"Jack Fox punts 46 yards, returned by Steven Sims for 11 yards (tackle by Sione Vaki)",-1.24,-1.14,10.0,2024,151
2.0,3:15,1.0,10.0,HOU 33,7.0,16.0,C.J. Stroud sacked by Pat O'Connor for -12 yards,1.14,-1.03,10.0,2024,151
2.0,3:02,2.0,22.0,HOU 21,7.0,16.0,Joe Mixon up the middle for 1 yard (tackle by Alex Anzalone),-1.03,-1.55,10.0,2024,151
2.0,2:18,3.0,21.0,HOU 22,7.0,16.0,C.J. Stroud pass complete short left to Xavier Hutchinson for -4 yards (tackle by Amik Robertson),-1.55,-2.24,10.0,2024,151
2.0,2:00,4.0,25.0,HOU 18,7.0,16.0,"Tommy Townsend punts 62 yards, returned by Kalif Raymond for -1 yards (tackle by Ka'dar Hollman)",-2.24,-0.15,10.0,2024,151
2.0,1:51,1.0,10.0,DET 19,7.0,16.0,Jahmyr Gibbs left guard for 1 yard (tackle by Jimmie Ward),0.15,-0.2,10.0,2024,151
2.0,1:12,2.0,9.0,DET 20,7.0,16.0,Jahmyr Gibbs left guard for 1 yard (tackle by Azeez Al-Shaair),-0.2,-0.81,10.0,2024,151
2.0,1:09,,,,,,Timeout #2 by Houston Texans,,,10.0,2024,151
2.0,1:09,3.0,8.0,DET 21,7.0,16.0,Jared Goff pass incomplete short middle intended for Sam LaPorta,-0.81,-1.96,10.0,2024,151
2.0,1:06,4.0,8.0,DET 21,7.0,16.0,"Jack Fox punts 60 yards, returned by Steven Sims for 15 yards (tackle by Zeke Turner)",-1.96,-1.2,10.0,2024,151
2.0,0:54,1.0,10.0,HOU 34,7.0,16.0,C.J. Stroud pass complete short right to John Metchie for 9 yards (tackle by Jack Campbell),1.2,1.87,10.0,2024,151
2.0,0:40,2.0,1.0,HOU 43,7.0,16.0,C.J. Stroud pass complete deep middle to John Metchie for 25 yards (tackle by Terrion Arnold),1.87,3.45,10.0,2024,151
2.0,0:29,,,,,,Timeout #3 by Houston Texans,,,10.0,2024,151
2.0,0:29,1.0,10.0,DET 32,7.0,16.0,C.J. Stroud pass complete deep right to Dalton Schultz for 17 yards (tackle by Jack Campbell),3.45,4.58,10.0,2024,151
2.0,0:25,1.0,10.0,DET 15,7.0,16.0,C.J. Stroud pass incomplete short right,4.58,3.95,10.0,2024,151
2.0,0:20,2.0,10.0,DET 15,7.0,16.0,C.J. Stroud pass incomplete short right intended for Tank Dell,3.95,3.1,10.0,2024,151
2.0,0:16,3.0,10.0,DET 15,7.0,22.0,"C.J. Stroud pass complete short middle to John Metchie for 15 yards, touchdown",3.1,7.0,10.0,2024,151
2.0,0:12,,,DET 15,7.0,23.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,10.0,2024,151
2.0,0:12,,,HOU 35,7.0,23.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
2.0,0:12,1.0,10.0,DET 30,7.0,23.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 15 yards (tackle by Jimmie Ward),0.94,1.93,10.0,2024,151
2.0,0:06,,,,,,Timeout #1 by Detroit Lions,,,10.0,2024,151
2.0,0:06,1.0,10.0,DET 45,7.0,23.0,Jared Goff pass incomplete short middle,1.93,1.38,10.0,2024,151
2.0,0:02,2.0,10.0,DET 45,7.0,23.0,Jared Goff pass deep left is intercepted by Kamari Lassiter at HOU-2 and returned for no gain (tackle by Amon-Ra St. Brown),1.38,0.0,10.0,2024,151
3.0,15:00,,,DET 35,7.0,23.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
3.0,15:00,1.0,10.0,HOU 30,7.0,23.0,C.J. Stroud pass short left intended for Tank Dell is intercepted by Carlton Davis at HOU-31 and returned for no gain (tackle by Tank Dell),0.94,-3.51,10.0,2024,151
3.0,14:56,1.0,10.0,HOU 31,7.0,23.0,David Montgomery right end for 12 yards (tackle by Eric Murray),3.51,4.31,10.0,2024,151
3.0,14:23,1.0,10.0,HOU 19,7.0,23.0,David Montgomery right tackle for -1 yards (tackle by Azeez Al-Shaair and Folorunso Fatukasi),4.31,3.63,10.0,2024,151
3.0,13:45,2.0,11.0,HOU 20,7.0,23.0,Jared Goff pass deep right intended for Sam LaPorta is intercepted by Kamari Lassiter at HOU-1 and returned for no gain (tackle by Sam LaPorta),3.63,0.38,10.0,2024,151
3.0,13:38,1.0,10.0,HOU 1,7.0,23.0,Joe Mixon right guard for 1 yard (tackle by D.J. Reader),-0.38,-0.71,10.0,2024,151
3.0,13:04,2.0,9.0,HOU 2,7.0,23.0,C.J. Stroud pass incomplete short middle intended for Robert Woods,-0.71,-1.3,10.0,2024,151
3.0,12:59,3.0,9.0,HOU 2,7.0,23.0,C.J. Stroud pass incomplete short middle intended for Dalton Schultz,-1.3,-2.49,10.0,2024,151
3.0,12:55,4.0,9.0,HOU 2,7.0,23.0,"Tommy Townsend punts 56 yards, returned by Kalif Raymond for 14 yards (tackle by Neville Hewitt)",-2.49,-2.65,10.0,2024,151
3.0,12:44,1.0,10.0,HOU 44,7.0,23.0,David Montgomery left end for 4 yards (tackle by Danielle Hunter),2.65,2.65,10.0,2024,151
3.0,12:17,2.0,6.0,HOU 40,7.0,23.0,Jared Goff pass complete deep left to Sam LaPorta for 37 yards (tackle by Eric Murray),2.65,6.51,10.0,2024,151
3.0,11:36,1.0,3.0,HOU 3,13.0,23.0,"David Montgomery left guard for 3 yards, touchdown",6.51,7.0,10.0,2024,151
3.0,11:34,,,HOU 2,13.0,23.0,"Two Point Attempt: David Montgomery rushes, conversion fails.",1.0,-1.0,10.0,2024,151
3.0,11:34,,,DET 35,13.0,23.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,151
3.0,11:34,1.0,10.0,HOU 30,13.0,23.0,Joe Mixon right guard for 1 yard (tackle by Alim McNeill),0.94,0.53,10.0,2024,151
3.0,10:55,2.0,9.0,HOU 31,13.0,23.0,Joe Mixon right end for 1 yard (tackle by Ben Niemann),0.53,-0.03,10.0,2024,151
3.0,10:13,3.0,8.0,HOU 32,13.0,23.0,C.J. Stroud pass complete short middle to Dalton Schultz for 32 yards (tackle by Alex Anzalone),-0.03,3.18,10.0,2024,151
3.0,9:44,1.0,10.0,DET 36,13.0,23.0,Joe Mixon left tackle for 6 yards (tackle by Terrion Arnold and Kerby Joseph),3.18,3.45,10.0,2024,151
3.0,9:05,2.0,4.0,DET 30,13.0,23.0,C.J. Stroud pass deep right intended for Tank Dell is intercepted by Carlton Davis in end zone and returned for no gain,3.45,-0.28,10.0,2024,151
3.0,8:55,1.0,10.0,DET 20,13.0,23.0,Jahmyr Gibbs right end for 12 yards (tackle by Henry To'oTo'o),0.28,1.07,10.0,2024,151
3.0,8:26,1.0,10.0,DET 32,13.0,23.0,Jared Goff pass deep left intended for Jameson Williams is intercepted by Calen Bullock at HOU-22 and returned for no gain (tackle by Jameson Williams),1.07,-0.41,10.0,2024,151
3.0,8:18,1.0,10.0,HOU 22,13.0,23.0,Joe Mixon left end for 5 yards (tackle by Trevor Nowaske),0.41,0.54,10.0,2024,151
3.0,7:39,2.0,5.0,HOU 27,13.0,23.0,Joe Mixon left tackle for 4 yards (tackle by Jack Campbell and Brian Branch),0.54,0.37,10.0,2024,151
3.0,6:59,3.0,1.0,HOU 31,13.0,23.0,Joe Mixon left tackle for 2 yards (tackle by Brian Branch and Mekhi Wingo),0.37,1.14,10.0,2024,151
3.0,6:16,1.0,10.0,HOU 33,13.0,23.0,"Joe Mixon left tackle for no gain (tackle by Carlton Davis). Penalty on Juice Scruggs: Offensive Holding, 10 yards (accepted) (no play)",1.14,0.48,10.0,2024,151
3.0,5:52,1.0,20.0,HOU 23,13.0,23.0,C.J. Stroud sacked by Alim McNeill for -10 yards,0.48,-2.22,10.0,2024,151
3.0,5:21,2.0,30.0,HOU 13,13.0,23.0,Joe Mixon up the middle for 4 yards (tackle by Jack Campbell and Mekhi Wingo),-2.22,-2.62,10.0,2024,151
3.0,4:44,3.0,26.0,HOU 17,13.0,23.0,Dare Ogunbowale left guard for 11 yards (tackle by Brian Branch),-2.62,-1.5,10.0,2024,151
3.0,4:04,4.0,15.0,HOU 28,13.0,23.0,"Tommy Townsend punts 54 yards, returned by Kalif Raymond for 2 yards (tackle by Del'Shawn Phillips). Penalty on Ben Niemann: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.5,0.38,10.0,2024,151
3.0,3:51,1.0,10.0,DET 10,13.0,23.0,Jahmyr Gibbs left tackle for 1 yard (tackle by Devin White),-0.38,-0.71,10.0,2024,151
3.0,3:17,2.0,9.0,DET 11,13.0,23.0,Jared Goff pass incomplete short left,-0.71,-1.3,10.0,2024,151
