Quarter,Time,Down,ToGo,Location,DAL,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, 49ers to receive the opening kickoff.",,,5.0,2023,77
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,77
1.0,15:00,1.0,10.0,SFO 25,0.0,0.0,"Christian McCaffrey left end for 3 yards (tackle by Donovan Wilson). Penalty on Donovan Wilson: Face Mask (15 Yards), 15 yards (accepted)",0.61,1.8,5.0,2023,77
1.0,14:37,1.0,10.0,SFO 43,0.0,0.0,Brock Purdy pass complete short middle to Brandon Aiyuk for 9 yards (tackle by Malik Hooker and Stephon Gilmore),1.8,2.47,5.0,2023,77
1.0,13:51,2.0,1.0,DAL 48,0.0,0.0,Christian McCaffrey left guard for 4 yards (tackle by Micah Parsons and DeMarcus Lawrence),2.47,2.65,5.0,2023,77
1.0,13:16,1.0,10.0,DAL 44,0.0,0.0,Brock Purdy pass complete short right to Brandon Aiyuk for 11 yards (tackle by Stephon Gilmore),2.65,3.38,5.0,2023,77
1.0,12:40,1.0,10.0,DAL 33,0.0,0.0,"Brock Purdy pass incomplete short left intended for Deebo Samuel. Penalty on Micah Parsons: Defensive Offside, 5 yards (accepted) (no play)",3.38,4.11,5.0,2023,77
1.0,12:31,1.0,5.0,DAL 28,0.0,0.0,Brock Purdy pass complete short right to Deebo Samuel for 4 yards (tackle by Stephon Gilmore),4.11,4.05,5.0,2023,77
1.0,11:59,2.0,1.0,DAL 24,0.0,0.0,Christian McCaffrey right end for 5 yards (tackle by DeMarcus Lawrence and Damone Clark),4.05,4.31,5.0,2023,77
1.0,11:16,1.0,10.0,DAL 19,0.0,6.0,"Brock Purdy pass complete deep right to George Kittle for 19 yards, touchdown",4.31,7.0,5.0,2023,77
1.0,11:10,,,DAL 15,0.0,7.0,Jake Moody kicks extra point good,0.0,0.0,5.0,2023,77
1.0,11:10,1.0,10.0,DAL 10,0.0,7.0,"Penalty on Chauncey Golston: Defensive Offside, 5 yards (accepted) (no play)",4.91,0.0,5.0,2023,77
1.0,11:10,,,SFO 40,0.0,7.0,"Jake Moody kicks off 60 yards, touchback.",0.0,0.61,5.0,2023,77
1.0,11:10,1.0,10.0,DAL 25,0.0,7.0,Tony Pollard left tackle for 1 yard (tackle by Nick Bosa),0.61,0.2,5.0,2023,77
1.0,10:37,2.0,9.0,DAL 26,0.0,7.0,Dak Prescott pass incomplete deep left intended for Luke Schoonmaker,0.2,-0.49,5.0,2023,77
1.0,10:32,3.0,9.0,DAL 26,0.0,7.0,Dak Prescott pass incomplete deep left intended for Michael Gallup,-0.49,-1.63,5.0,2023,77
1.0,10:28,4.0,9.0,DAL 26,0.0,7.0,"Bryan Anger punts 52 yards, returned by Ray-Ray McCloud for 1 yard (tackle by C.J. Goodwin)",-1.63,-0.48,5.0,2023,77
1.0,10:20,1.0,10.0,SFO 23,0.0,7.0,Christian McCaffrey left guard for 5 yards (tackle by Johnathan Hankins and Leighton Vander Esch),0.48,0.61,5.0,2023,77
1.0,9:41,2.0,5.0,SFO 28,0.0,7.0,Christian McCaffrey right end for 3 yards (tackle by Osa Odighizuwa),0.61,0.3,5.0,2023,77
1.0,8:58,3.0,2.0,SFO 31,0.0,7.0,Brock Purdy pass incomplete short middle intended for Christian McCaffrey (defended by Johnathan Hankins),0.3,-1.31,5.0,2023,77
1.0,8:54,4.0,2.0,SFO 31,0.0,7.0,"Mitch Wishnowsky punts 48 yards, fair catch by KaVontae Turpin at DAL-21",-1.31,-0.34,5.0,2023,77
1.0,8:46,1.0,10.0,DAL 21,0.0,7.0,Dak Prescott pass complete short left to Tony Pollard for -1 yards (tackle by Dre Greenlaw),0.34,-0.34,5.0,2023,77
1.0,8:14,2.0,11.0,DAL 20,0.0,7.0,Dak Prescott pass complete short right to CeeDee Lamb for 8 yards (tackle by Fred Warner),-0.34,0.04,5.0,2023,77
1.0,7:40,3.0,3.0,DAL 28,0.0,7.0,Dak Prescott sacked by and Nick Bosa for -6 yards and Arik Armstead for -6 yards,0.04,-1.9,5.0,2023,77
1.0,7:03,4.0,9.0,DAL 22,0.0,7.0,"Bryan Anger punts 48 yards, fair catch by Ray-Ray McCloud at SF-30",-1.9,-0.94,5.0,2023,77
1.0,6:54,1.0,10.0,SFO 30,0.0,7.0,Brock Purdy sacked by Jayron Kearse for -2 yards,0.94,0.12,5.0,2023,77
1.0,6:18,2.0,12.0,SFO 28,0.0,7.0,Deebo Samuel left end for 11 yards (tackle by Damone Clark),0.12,0.89,5.0,2023,77
1.0,5:42,3.0,1.0,SFO 39,0.0,7.0,Christian McCaffrey up the middle for 2 yards (tackle by Chauncey Golston and Micah Parsons),0.89,1.66,5.0,2023,77
1.0,4:58,1.0,10.0,SFO 41,0.0,7.0,Christian McCaffrey left tackle for 5 yards (tackle by DaRon Bland and Leighton Vander Esch),1.66,1.8,5.0,2023,77
1.0,4:15,2.0,5.0,SFO 46,0.0,7.0,Brock Purdy pass incomplete short left intended for George Kittle (defended by Johnathan Hankins),1.8,1.09,5.0,2023,77
1.0,4:10,3.0,5.0,SFO 46,0.0,7.0,"Brock Purdy pass incomplete short left intended for Christian McCaffrey. Penalty on Jayron Kearse: Defensive Offside, 5 yards (accepted) (no play)",1.09,2.32,5.0,2023,77
1.0,4:06,1.0,10.0,DAL 49,0.0,7.0,Jordan Mason up the middle for 7 yards (tackle by Johnathan Hankins),2.32,2.73,5.0,2023,77
1.0,3:27,2.0,3.0,DAL 42,0.0,7.0,Jordan Mason left guard for 2 yards (tackle by Markquese Bell and Donovan Wilson),2.73,2.28,5.0,2023,77
1.0,2:46,3.0,1.0,DAL 40,0.0,7.0,Brock Purdy pass complete short right to Kyle Juszczyk for 9 yards (tackle by Jayron Kearse),2.28,3.51,5.0,2023,77
1.0,2:00,1.0,10.0,DAL 31,0.0,7.0,"Penalty on SFO: Delay of Game, 5 yards (accepted) (no play)",3.51,3.18,5.0,2023,77
1.0,1:42,1.0,15.0,DAL 36,0.0,7.0,Brock Purdy pass incomplete deep middle intended for Brandon Aiyuk (defended by Stephon Gilmore),3.18,2.29,5.0,2023,77
1.0,1:37,2.0,15.0,DAL 36,0.0,7.0,Brock Purdy pass incomplete short middle intended for Ronnie Bell (defended by DaRon Bland),2.29,1.62,5.0,2023,77
1.0,1:34,3.0,15.0,DAL 36,0.0,7.0,Christian McCaffrey up the middle for -5 yards (tackle by Dante Fowler and DeMarcus Lawrence),1.62,0.53,5.0,2023,77
1.0,0:53,4.0,20.0,DAL 41,0.0,7.0,Mitch Wishnowsky punts 36 yards downed by Ronnie Bell,0.53,0.38,5.0,2023,77
1.0,0:47,1.0,10.0,DAL 5,0.0,7.0,"Tony Pollard left end for 4 yards. Tony Pollard fumbles (forced by Fred Warner), recovered by Kevin Givens at DAL-16 Replay Assistant challenged the loose ball recovery ruling, and the play was upheld.",-0.38,-4.51,5.0,2023,77
1.0,0:38,1.0,10.0,DAL 16,0.0,7.0,Deebo Samuel left end for 6 yards (tackle by DaRon Bland),4.51,4.97,5.0,2023,77
2.0,15:00,2.0,4.0,DAL 10,0.0,7.0,"Christian McCaffrey up the middle for 8 yards. Christian McCaffrey fumbles (forced by Jourdan Lewis), recovered by Jourdan Lewis at DAL-2",4.97,0.38,5.0,2023,77
2.0,14:56,1.0,10.0,DAL 2,0.0,7.0,Dak Prescott pass incomplete deep right intended for Michael Gallup (defended by Charvarius Ward),-0.38,-0.78,5.0,2023,77
2.0,14:50,2.0,10.0,DAL 2,0.0,7.0,Dak Prescott pass complete short left to Michael Gallup for 8 yards (tackle by Deommodore Lenoir and Oren Burks),-0.78,-0.48,5.0,2023,77
2.0,14:22,3.0,2.0,DAL 10,0.0,7.0,Dak Prescott sacked by Fred Warner for -6 yards,-0.48,-2.49,5.0,2023,77
2.0,13:40,4.0,8.0,DAL 4,0.0,7.0,"Bryan Anger punts 48 yards, returned by Ray-Ray McCloud for 14 yards (tackle by Trent Sieg)",-2.49,-3.05,5.0,2023,77
2.0,13:26,1.0,10.0,DAL 38,0.0,13.0,"Brock Purdy pass complete deep right to George Kittle for 38 yards, touchdown",3.05,7.0,5.0,2023,77
2.0,13:16,,,DAL 15,0.0,14.0,Jake Moody kicks extra point good,0.0,0.0,5.0,2023,77
2.0,13:16,,,SFO 35,0.0,14.0,"Jake Moody kicks off 61 yards, returned by KaVontae Turpin for 18 yards (tackle by George Odum)",0.0,0.41,5.0,2023,77
2.0,13:12,1.0,10.0,DAL 22,0.0,14.0,Tony Pollard up the middle for 3 yards (tackle by Isaiah Oliver and Fred Warner),0.41,0.27,5.0,2023,77
2.0,12:41,2.0,7.0,DAL 25,0.0,14.0,Brandin Cooks left end for 6 yards (tackle by Tashaun Gipson),0.27,0.37,5.0,2023,77
2.0,12:18,3.0,1.0,DAL 31,0.0,14.0,Dak Prescott up the middle for 2 yards (tackle by Arik Armstead and Nick Bosa),0.37,1.14,5.0,2023,77
2.0,11:46,1.0,10.0,DAL 33,0.0,14.0,Rico Dowdle up the middle for 5 yards (tackle by Dre Greenlaw and Fred Warner),1.14,1.27,5.0,2023,77
2.0,11:14,2.0,5.0,DAL 38,0.0,14.0,Dak Prescott pass complete short right to Brandin Cooks for 7 yards,1.27,1.93,5.0,2023,77
2.0,10:36,1.0,10.0,DAL 45,0.0,14.0,Dak Prescott pass complete short middle to Tony Pollard for 3 yards (tackle by Dre Greenlaw),1.93,1.79,5.0,2023,77
2.0,10:02,2.0,7.0,DAL 48,0.0,14.0,Tony Pollard right end for no gain (tackle by Tashaun Gipson and Oren Burks),1.79,1.09,5.0,2023,77
2.0,9:18,3.0,7.0,DAL 48,0.0,14.0,Dak Prescott pass complete short right to Jake Ferguson for 20 yards (tackle by Fred Warner),1.09,3.45,5.0,2023,77
2.0,8:37,1.0,10.0,SFO 32,0.0,14.0,Dak Prescott pass incomplete short middle intended for Rico Dowdle (defended by Dre Greenlaw),3.45,2.9,5.0,2023,77
2.0,8:34,2.0,10.0,SFO 32,0.0,14.0,Dak Prescott pass complete short left to CeeDee Lamb for 6 yards (tackle by Isaiah Oliver and Deommodore Lenoir),2.9,3.01,5.0,2023,77
2.0,7:51,3.0,4.0,SFO 26,6.0,14.0,"Dak Prescott pass complete deep right to KaVontae Turpin for 26 yards, touchdown",3.01,7.0,5.0,2023,77
2.0,7:45,,,SFO 15,7.0,14.0,Brandon Aubrey kicks extra point good,0.0,0.0,5.0,2023,77
2.0,7:45,,,DAL 35,7.0,14.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,77
2.0,7:45,1.0,10.0,SFO 25,7.0,14.0,Brock Purdy pass complete short left to Brandon Aiyuk for 15 yards (tackle by Malik Hooker),0.61,1.6,5.0,2023,77
2.0,7:06,1.0,10.0,SFO 40,7.0,14.0,Christian McCaffrey up the middle for 6 yards (tackle by Damone Clark and DeMarcus Lawrence),1.6,1.86,5.0,2023,77
2.0,6:23,2.0,4.0,SFO 46,7.0,14.0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,1.86,1.16,5.0,2023,77
2.0,6:16,3.0,4.0,SFO 46,7.0,14.0,"Brock Purdy pass incomplete short left intended for Christian McCaffrey. Penalty on Jayron Kearse: Taunting / Defense, 15 yards (declined) . Penalty on Donovan Wilson: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",1.16,2.98,5.0,2023,77
2.0,6:11,1.0,10.0,DAL 39,7.0,14.0,Christian McCaffrey left end for -2 yards (tackle by Leighton Vander Esch),2.98,2.17,5.0,2023,77
2.0,5:32,2.0,12.0,DAL 41,7.0,14.0,Brock Purdy pass complete short left to Christian McCaffrey for 19 yards (tackle by Markquese Bell and Leighton Vander Esch),2.17,4.11,5.0,2023,77
2.0,4:44,1.0,10.0,DAL 22,7.0,14.0,Jordan Mason up the middle for 8 yards (tackle by Donovan Wilson),4.11,4.85,5.0,2023,77
2.0,4:06,2.0,2.0,DAL 14,7.0,14.0,Jordan Mason up the middle for 4 yards (tackle by Osa Odighizuwa and DaRon Bland),4.85,4.91,5.0,2023,77
2.0,3:26,1.0,10.0,DAL 10,7.0,14.0,Brock Purdy pass complete short middle to Deebo Samuel for 9 yards (tackle by Damone Clark and Malik Hooker),4.91,5.91,5.0,2023,77
2.0,2:40,2.0,1.0,DAL 1,7.0,20.0,"Christian McCaffrey left guard for 1 yard, touchdown",5.91,7.0,5.0,2023,77
2.0,2:36,,,DAL 15,7.0,21.0,Jake Moody kicks extra point good,0.0,0.0,5.0,2023,77
2.0,2:36,,,SFO 35,7.0,21.0,"Penalty on Aaron Banks: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",0.0,0.0,5.0,2023,77
