Unnamed: 0,DAL,SFO,week,year,game_id
First Downs,8,25,5.0,2023,77
Rush-Yds-TDs,19-57-0,41-170-2,5.0,2023,77
Cmp-Att-Yd-TD-INT,16-26-161-1-3,18-25-253-4-0,5.0,2023,77
Sacked-Yards,4-21,1-2,5.0,2023,77
Net Pass Yards,140,251,5.0,2023,77
Total Yards,197,421,5.0,2023,77
Fumbles-Lost,1-1,1-1,5.0,2023,77
Turnovers,4,1,5.0,2023,77
Penalties-Yards,6-60,6-45,5.0,2023,77
Third Down Conv.,4-11,6-11,5.0,2023,77
Fourth Down Conv.,0-1,0-1,5.0,2023,77
Time of Possession,22:55,37:05,5.0,2023,77
