Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Ravens to receive the opening kickoff.",,,5.0,2023,72
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,72
1.0,15:00,1.0,10.0,BAL 25,0.0,0.0,Lamar Jackson pass complete short right to Rashod Bateman for 8 yards (tackle by Levi Wallace),0.61,1.14,5.0,2023,72
1.0,14:26,2.0,2.0,BAL 33,0.0,0.0,Gus Edwards left guard for no gain (tackle by Minkah Fitzpatrick),1.14,0.43,5.0,2023,72
1.0,13:41,3.0,2.0,BAL 33,0.0,0.0,Lamar Jackson left tackle for 26 yards (tackle by Cole Holcomb),0.43,2.85,5.0,2023,72
1.0,12:59,1.0,10.0,PIT 41,0.0,0.0,Lamar Jackson pass incomplete deep middle intended for Zay Flowers,2.85,2.31,5.0,2023,72
1.0,12:53,2.0,10.0,PIT 41,0.0,0.0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,2.31,1.62,5.0,2023,72
1.0,12:49,3.0,10.0,PIT 41,0.0,0.0,Lamar Jackson pass incomplete deep middle intended for Zay Flowers,1.62,0.53,5.0,2023,72
1.0,12:46,4.0,10.0,PIT 41,0.0,0.0,Jordan Stout punts 37 yards downed by Kevon Seymour,0.53,0.38,5.0,2023,72
1.0,12:36,1.0,10.0,PIT 4,0.0,0.0,Najee Harris right guard for 2 yards (tackle by Roquan Smith),-0.38,-0.63,5.0,2023,72
1.0,12:03,2.0,8.0,PIT 6,0.0,0.0,Najee Harris left tackle for 2 yards (tackle by Michael Pierce and Patrick Queen),-0.63,-0.95,5.0,2023,72
1.0,11:20,3.0,6.0,PIT 8,0.0,0.0,Kenny Pickett pass complete short left to Connor Heyward for 6 yards (tackle by Brandon Stephens),-0.95,-0.28,5.0,2023,72
1.0,10:47,1.0,10.0,PIT 14,0.0,0.0,Najee Harris left guard for 5 yards (tackle by Justin Madubuike),-0.28,-0.04,5.0,2023,72
1.0,10:10,2.0,5.0,PIT 19,0.0,0.0,Najee Harris up the middle for 1 yard (tackle by Justin Madubuike and Patrick Queen),-0.04,-0.68,5.0,2023,72
1.0,9:28,3.0,4.0,PIT 20,0.0,0.0,Kenny Pickett pass incomplete short right intended for George Pickens,-0.68,-2.03,5.0,2023,72
1.0,9:23,4.0,4.0,PIT 20,0.0,0.0,"Brad Wing punts 47 yards, returned by Devin Duvernay for 8 yards (tackle by Miles Killebrew)",-2.03,-1.66,5.0,2023,72
1.0,9:12,1.0,10.0,BAL 41,0.0,0.0,Gus Edwards left guard for 2 yards (tackle by Keeanu Benton and Elandon Roberts),1.66,1.39,5.0,2023,72
1.0,8:37,2.0,8.0,BAL 43,0.0,0.0,Lamar Jackson pass complete short middle to Nelson Agholor for 12 yards (tackle by Kwon Alexander),1.39,2.59,5.0,2023,72
1.0,8:00,1.0,10.0,PIT 45,0.0,0.0,Lamar Jackson pass complete short left to Nelson Agholor for 14 yards (tackle by Levi Wallace),2.59,3.51,5.0,2023,72
1.0,7:33,1.0,10.0,PIT 31,0.0,0.0,Gus Edwards right guard for 6 yards (tackle by Keanu Neal and Minkah Fitzpatrick),3.51,3.78,5.0,2023,72
1.0,7:02,2.0,4.0,PIT 25,0.0,0.0,Gus Edwards left tackle for 11 yards (tackle by Minkah Fitzpatrick),3.78,4.65,5.0,2023,72
1.0,6:25,1.0,10.0,PIT 14,0.0,0.0,Lamar Jackson pass incomplete short middle intended for Zay Flowers (defended by T.J. Watt),4.65,4.0,5.0,2023,72
1.0,6:20,2.0,10.0,PIT 14,6.0,0.0,"Justice Hill left guard for 14 yards, touchdown",4.0,7.0,5.0,2023,72
1.0,6:15,,,PIT 15,7.0,0.0,Justin Tucker kicks extra point good,0.0,0.0,5.0,2023,72
1.0,6:15,,,BAL 35,7.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,72
1.0,6:15,1.0,10.0,PIT 25,7.0,0.0,Kenny Pickett scrambles left end for 2 yards (tackle by Brent Urban),0.61,0.33,5.0,2023,72
1.0,5:29,2.0,8.0,PIT 27,7.0,0.0,Najee Harris right guard for 2 yards (tackle by Travis Jones and Roquan Smith),0.33,-0.1,5.0,2023,72
1.0,4:59,3.0,6.0,PIT 29,7.0,0.0,Kenny Pickett pass incomplete short left intended for Calvin Austin,-0.1,-1.44,5.0,2023,72
1.0,4:54,4.0,6.0,PIT 29,7.0,0.0,"Brad Wing punts 44 yards, returned by Devin Duvernay for 5 yards (tackle by Christian Kuntz and James Pierre)",-1.44,-1.07,5.0,2023,72
1.0,4:45,1.0,10.0,BAL 32,7.0,0.0,Lamar Jackson pass complete short left to Zay Flowers for 5 yards (tackle by Kwon Alexander),1.07,1.2,5.0,2023,72
1.0,4:07,2.0,5.0,BAL 37,7.0,0.0,Lamar Jackson pass complete short right to Justice Hill for 6 yards (tackle by Cole Holcomb),1.2,1.8,5.0,2023,72
1.0,3:32,1.0,10.0,BAL 43,7.0,0.0,Lamar Jackson scrambles up the middle for 8 yards (tackle by Minkah Fitzpatrick),1.8,2.33,5.0,2023,72
1.0,2:48,2.0,2.0,PIT 49,7.0,0.0,Justice Hill right guard for 3 yards (tackle by Kwon Alexander),2.33,2.52,5.0,2023,72
1.0,2:07,1.0,10.0,PIT 46,7.0,0.0,Lamar Jackson pass complete short left to Mark Andrews for 16 yards (tackle by Patrick Peterson),2.52,3.58,5.0,2023,72
1.0,1:39,1.0,10.0,PIT 30,7.0,0.0,Gus Edwards right guard for 3 yards (tackle by Keeanu Benton),3.58,3.44,5.0,2023,72
1.0,1:01,2.0,7.0,PIT 27,7.0,0.0,Lamar Jackson scrambles left end for 6 yards (tackle by Cole Holcomb),3.44,3.53,5.0,2023,72
1.0,0:33,3.0,1.0,PIT 21,7.0,0.0,Justice Hill up the middle for 3 yards (tackle by Isaiahh Loudermilk and Cole Holcomb),3.53,4.37,5.0,2023,72
2.0,15:00,1.0,10.0,PIT 18,7.0,0.0,Lamar Jackson pass complete short left to Justice Hill for 2 yards (tackle by Minkah Fitzpatrick),4.37,4.09,5.0,2023,72
2.0,14:29,2.0,8.0,PIT 16,7.0,0.0,Lamar Jackson pass complete short middle to Odell Beckham for 6 yards (tackle by Levi Wallace),4.09,4.51,5.0,2023,72
2.0,13:55,3.0,2.0,PIT 10,7.0,0.0,Justice Hill up the middle for 6 yards (tackle by Minkah Fitzpatrick and Isaiahh Loudermilk),4.51,6.28,5.0,2023,72
2.0,13:15,1.0,4.0,PIT 4,7.0,0.0,Lamar Jackson pass complete short middle to Zay Flowers for no gain (tackle by Elandon Roberts),6.28,5.34,5.0,2023,72
2.0,12:34,2.0,4.0,PIT 4,7.0,0.0,Lamar Jackson pass incomplete short middle intended for Mark Andrews,5.34,4.49,5.0,2023,72
2.0,12:30,3.0,4.0,PIT 4,7.0,0.0,Lamar Jackson pass incomplete short middle intended for Rashod Bateman,4.49,3.03,5.0,2023,72
2.0,12:25,4.0,4.0,PIT 4,10.0,0.0,Justin Tucker 23 yard field goal good,3.03,3.0,5.0,2023,72
2.0,12:23,,,BAL 35,10.0,0.0,"Justin Tucker kicks off 64 yards, returned by Desmond King for 19 yards (tackle by Laquon Treadwell and Del'Shawn Phillips). Penalty on Miles Killebrew: Offensive Holding, 10 yards (accepted)",0.0,-0.38,5.0,2023,72
