Quarter,Time,Down,ToGo,Location,CIN,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bengals won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,5.0,2023,73
1.0,15:00,,,CIN 35,0.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,73
1.0,15:00,1.0,10.0,ARI 25,0.0,0.0,James Conner up the middle for 5 yards (tackle by Logan Wilson and Germaine Pratt),0.61,0.74,5.0,2023,73
1.0,14:23,2.0,5.0,ARI 30,0.0,0.0,Joshua Dobbs sacked by and Daxton Hill for -8 yards and Trey Hendrickson for -8 yards,0.74,-1.02,5.0,2023,73
1.0,13:35,3.0,13.0,ARI 22,0.0,0.0,Joshua Dobbs pass incomplete short middle intended for Marquise Brown (defended by Jordan Battle),-1.02,-1.9,5.0,2023,73
1.0,13:19,4.0,13.0,ARI 22,0.0,0.0,"Blake Gillikin punts 55 yards, returned by Trenton Irwin for 8 yards (tackle by Antonio Hamilton). Penalty on Joey Blount: Player Out of Bounds on Kick, 5 yards (accepted)",-1.9,-1.33,5.0,2023,73
1.0,13:19,1.0,10.0,CIN 36,0.0,0.0,Joe Burrow pass complete short left to Trenton Irwin for 9 yards (tackle by Kyzir White and K'Von Wallace),1.33,2.01,5.0,2023,73
1.0,13:09,2.0,1.0,CIN 45,0.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards (tackle by Marco Wilson),2.01,2.46,5.0,2023,73
1.0,12:31,1.0,10.0,ARI 47,0.0,0.0,Joe Mixon left tackle for 3 yards (tackle by Victor Dimukeje),2.46,2.32,5.0,2023,73
1.0,11:49,2.0,7.0,ARI 44,0.0,0.0,Joe Burrow pass complete short middle to Trenton Irwin for 13 yards (tackle by K'Von Wallace),2.32,3.51,5.0,2023,73
1.0,11:13,1.0,10.0,ARI 31,0.0,0.0,Joe Mixon left tackle for -1 yards (tackle by Dante Stills and Leki Fotu),3.51,2.83,5.0,2023,73
1.0,10:35,2.0,11.0,ARI 32,0.0,0.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 13 yards (tackle by Kyzir White),2.83,4.31,5.0,2023,73
1.0,9:58,1.0,10.0,ARI 19,0.0,0.0,Joe Burrow pass complete short right to Joe Mixon for 8 yards (tackle by Antonio Hamilton),4.31,5.26,5.0,2023,73
1.0,9:22,2.0,1.0,ARI 11,0.0,0.0,Joe Mixon up the middle for 5 yards (tackle by Josh Woods),5.26,5.83,5.0,2023,73
1.0,8:47,1.0,6.0,ARI 6,0.0,0.0,Joe Mixon up the middle for 1 yard (tackle by Josh Woods),5.83,5.15,5.0,2023,73
1.0,8:07,2.0,5.0,ARI 5,0.0,0.0,Joe Burrow pass complete short left to Joe Mixon for 3 yards (tackle by Kyzir White),5.15,4.95,5.0,2023,73
1.0,7:15,3.0,2.0,ARI 2,6.0,0.0,"Joe Burrow pass complete short left to Ja'Marr Chase for 2 yards, touchdown",4.95,7.0,5.0,2023,73
1.0,7:09,,,ARI 15,7.0,0.0,Evan McPherson kicks extra point good,0.0,0.0,5.0,2023,73
1.0,7:09,,,CIN 35,7.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,73
1.0,7:09,1.0,10.0,ARI 25,7.0,0.0,James Conner left tackle for 2 yards (tackle by Sam Hubbard and Daxton Hill),0.61,0.33,5.0,2023,73
1.0,6:49,2.0,8.0,ARI 27,7.0,0.0,Joshua Dobbs pass incomplete deep left intended for Marquise Brown,0.33,-0.36,5.0,2023,73
1.0,6:35,3.0,8.0,ARI 27,7.0,0.0,Joshua Dobbs pass complete short right to Rondale Moore for 1 yard (tackle by DJ Turner),-0.36,-1.5,5.0,2023,73
1.0,6:08,4.0,7.0,ARI 28,7.0,0.0,"Blake Gillikin punts 48 yards, returned by Trenton Irwin for 28 yards (tackle by Zeke Turner and Blake Gillikin)",-1.5,-2.39,5.0,2023,73
1.0,5:51,1.0,10.0,ARI 48,7.0,0.0,Joe Mixon left tackle for 2 yards (tackle by Cameron Thomas and Ben Stille),2.39,2.12,5.0,2023,73
1.0,5:12,2.0,8.0,ARI 46,7.0,0.0,Joe Burrow pass complete short right to Trenton Irwin for 9 yards (tackle by K'Von Wallace and Kei'Trel Clark),2.12,3.12,5.0,2023,73
1.0,4:30,1.0,10.0,ARI 37,7.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 19 yards (tackle by Andre Chachere and K'Von Wallace),3.12,4.37,5.0,2023,73
1.0,3:48,1.0,10.0,ARI 18,7.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 11 yards (tackle by Kei'Trel Clark),4.37,5.6,5.0,2023,73
1.0,3:17,1.0,7.0,ARI 7,7.0,0.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,5.6,4.76,5.0,2023,73
1.0,3:10,2.0,7.0,ARI 7,7.0,0.0,Joe Burrow pass complete short left to Trenton Irwin for no gain. Trenton Irwin fumbles (forced by Jalen Thompson). Trenton Irwin fumbles out of bounds,4.76,3.81,5.0,2023,73
1.0,2:41,3.0,7.0,ARI 7,7.0,0.0,Joe Burrow sacked by Kevin Strong for -15 yards,3.81,1.99,5.0,2023,73
1.0,1:50,4.0,22.0,ARI 22,10.0,0.0,Evan McPherson 40 yard field goal good,1.99,3.0,5.0,2023,73
1.0,1:46,,,CIN 35,10.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,73
1.0,1:46,1.0,10.0,ARI 25,10.0,0.0,Joshua Dobbs pass complete short right to Trey McBride for 13 yards (tackle by Logan Wilson),0.61,1.47,5.0,2023,73
1.0,1:14,1.0,10.0,ARI 38,10.0,0.0,James Conner up the middle for 1 yard (tackle by Sam Hubbard),1.47,1.06,5.0,2023,73
1.0,0:34,2.0,9.0,ARI 39,10.0,0.0,Rondale Moore left tackle for 4 yards (tackle by Mike Hilton),1.06,0.89,5.0,2023,73
2.0,15:00,3.0,5.0,ARI 43,10.0,0.0,Joshua Dobbs pass complete short left to Marquise Brown for 18 yards (tackle by Nick Scott),0.89,2.98,5.0,2023,73
2.0,14:31,1.0,10.0,CIN 39,10.0,0.0,James Conner right tackle for 2 yards (tackle by Germaine Pratt and D.J. Reader),2.98,2.71,5.0,2023,73
2.0,13:50,2.0,8.0,CIN 37,10.0,0.0,Joshua Dobbs pass complete short right to Geoff Swaim for 11 yards (tackle by Logan Wilson),2.71,3.84,5.0,2023,73
2.0,13:16,1.0,10.0,CIN 26,10.0,0.0,James Conner left end for 1 yard (tackle by DJ Turner),3.84,3.43,5.0,2023,73
2.0,12:39,2.0,9.0,CIN 25,10.0,0.0,Joshua Dobbs pass incomplete short left,3.43,2.74,5.0,2023,73
2.0,12:30,3.0,9.0,CIN 25,10.0,6.0,"Joshua Dobbs pass complete deep right to Marquise Brown for 25 yards, touchdown",2.74,7.0,5.0,2023,73
2.0,12:25,,,CIN 15,10.0,7.0,Matt Prater kicks extra point good,0.0,0.0,5.0,2023,73
2.0,12:25,,,ARI 35,10.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,73
2.0,12:25,1.0,10.0,CIN 25,10.0,7.0,Joe Burrow pass incomplete short left,0.61,0.06,5.0,2023,73
2.0,12:18,2.0,10.0,CIN 25,10.0,7.0,Joe Mixon up the middle for 4 yards (tackle by Dante Stills and Josh Woods),0.06,-0.1,5.0,2023,73
2.0,11:27,3.0,6.0,CIN 29,10.0,7.0,Joe Burrow sacked by Dante Stills for -8 yards,-0.1,-1.96,5.0,2023,73
2.0,10:44,4.0,14.0,CIN 21,10.0,7.0,"Brad Robbins punts 59 yards, returned by Greg Dortch for 16 yards (tackle by Devin Harper). Penalty on Devin Harper: Unnecessary Roughness / Defense, 15 yards (accepted)",-1.96,-2.32,5.0,2023,73
2.0,10:41,1.0,10.0,CIN 49,10.0,7.0,Joshua Dobbs pass incomplete deep right intended for Marquise Brown,2.32,1.78,5.0,2023,73
2.0,10:36,2.0,10.0,CIN 49,10.0,7.0,James Conner up the middle for 35 yards (tackle by DJ Turner and Germaine Pratt),1.78,4.65,5.0,2023,73
2.0,9:50,1.0,10.0,CIN 14,10.0,7.0,Joshua Dobbs pass complete short middle to Geoff Swaim for 11 yards (tackle by Nick Scott),4.65,6.51,5.0,2023,73
2.0,9:10,1.0,3.0,CIN 3,10.0,7.0,Emari Demercado up the middle for -1 yards (tackle by Germaine Pratt),6.51,5.34,5.0,2023,73
2.0,8:31,2.0,4.0,CIN 4,10.0,13.0,"Joshua Dobbs pass complete short left to Zach Ertz for 4 yards, touchdown",5.34,7.0,5.0,2023,73
2.0,8:28,,,CIN 15,10.0,14.0,Matt Prater kicks extra point good,0.0,0.0,5.0,2023,73
2.0,8:28,,,ARI 35,10.0,14.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,73
2.0,8:28,1.0,10.0,CIN 25,10.0,14.0,Joe Mixon up the middle for 3 yards (tackle by Cameron Thomas and Kevin Strong),0.61,0.47,5.0,2023,73
2.0,7:50,2.0,7.0,CIN 28,10.0,14.0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase,0.47,-0.23,5.0,2023,73
2.0,7:41,3.0,7.0,CIN 28,10.0,14.0,Joe Burrow pass incomplete deep right intended for Andrei Iosivas,-0.23,-1.5,5.0,2023,73
2.0,7:36,4.0,7.0,CIN 28,10.0,14.0,"Brad Robbins punts 48 yards, returned by Greg Dortch for 6 yards (tackle by Tycen Anderson)",-1.5,-0.94,5.0,2023,73
2.0,7:25,1.0,10.0,ARI 30,10.0,14.0,Joshua Dobbs pass incomplete deep left intended for Trey McBride,0.94,0.39,5.0,2023,73
2.0,7:19,2.0,10.0,ARI 30,10.0,14.0,Joshua Dobbs pass incomplete short left intended for Emari Demercado (defended by Trey Hendrickson),0.39,-0.3,5.0,2023,73
2.0,7:15,3.0,10.0,ARI 30,10.0,14.0,Joshua Dobbs pass incomplete short right intended for Rondale Moore (defended by Jordan Battle),-0.3,-1.37,5.0,2023,73
2.0,7:12,4.0,10.0,ARI 30,10.0,14.0,"Blake Gillikin punts 62 yards, returned by Trenton Irwin for 21 yards (tackle by Joey Blount and Zeke Turner)",-1.37,-0.87,5.0,2023,73
2.0,7:00,1.0,10.0,CIN 29,10.0,14.0,Joe Burrow pass complete short right to Trenton Irwin for 11 yards (tackle by Kyzir White),0.87,1.6,5.0,2023,73
