Quarter,Time,Tm,Detail,TEN,IND,week,year,game_id
1.0,3:13,Titans,Nick Folk 27 yard field goal,3,0,5.0,2023,69
,0:41,Colts,Zack Moss 56 yard rush (Matt Gay kick),3,7,5.0,2023,69
2.0,9:32,Colts,Matt Gay 43 yard field goal,3,10,5.0,2023,69
,4:39,Titans,Nick Folk 53 yard field goal,6,10,5.0,2023,69
3.0,12:48,Titans,Tyjae Spears 19 yard rush (Nick Folk kick),13,10,5.0,2023,69
,8:00,Colts,Zack Moss 3 yard rush (Matt Gay kick),13,17,5.0,2023,69
,2:02,Titans,Nick Folk 34 yard field goal,16,17,5.0,2023,69
4.0,13:22,Colts,Matt Gay 35 yard field goal,16,20,5.0,2023,69
,1:00,Colts,Matt Gay 28 yard field goal,16,23,5.0,2023,69
