Unnamed: 0,NOR,NWE,week,year,game_id
First Downs,17,8,5.0,2023,71
Rush-Yds-TDs,42-136-1,18-45-0,5.0,2023,71
Cmp-Att-Yd-TD-INT,18-26-183-2-0,15-31-132-0-2,5.0,2023,71
Sacked-Yards,2-15,2-21,5.0,2023,71
Net Pass Yards,168,111,5.0,2023,71
Total Yards,304,156,5.0,2023,71
Fumbles-Lost,0-0,2-1,5.0,2023,71
Turnovers,0,3,5.0,2023,71
Penalties-Yards,12-86,5-30,5.0,2023,71
Third Down Conv.,5-15,1-14,5.0,2023,71
Fourth Down Conv.,0-0,0-2,5.0,2023,71
Time of Possession,39:34,20:26,5.0,2023,71
