Quarter,Time,Tm,Detail,KAN,MIN,week,year,game_id
1.0,10:00,Chiefs,Isiah Pacheco 1 yard rush (Harrison Butker kick),7,0,5.0,2023,76
,4:02,Vikings,Greg Joseph 40 yard field goal,7,3,5.0,2023,76
2.0,12:46,Chiefs,Harrison Butker 38 yard field goal,10,3,5.0,2023,76
,8:02,Vikings,Greg Joseph 29 yard field goal,10,6,5.0,2023,76
,1:39,Vikings,Jordan Addison 5 yard pass from Kirk Cousins (Greg Joseph kick),10,13,5.0,2023,76
,0:00,Chiefs,Harrison Butker 40 yard field goal,13,13,5.0,2023,76
3.0,10:10,Chiefs,Rashee Rice 8 yard pass from Patrick Mahomes (Harrison Butker kick),20,13,5.0,2023,76
,2:45,Chiefs,Travis Kelce 4 yard pass from Patrick Mahomes (Harrison Butker kick),27,13,5.0,2023,76
4.0,12:11,Vikings,Alexander Mattison 9 yard pass from Kirk Cousins (Greg Joseph kick),27,20,5.0,2023,76
