Quarter,Time,Tm,Detail,DAL,SFO,week,year,game_id
1.0,11:10,49ers,George Kittle 19 yard pass from Brock Purdy (Jake Moody kick),0,7,5.0,2023,77
2.0,13:16,49ers,George Kittle 38 yard pass from Brock Purdy (Jake Moody kick),0,14,5.0,2023,77
,7:45,Cowboys,KaVontae Turpin 26 yard pass from Dak Prescott (Brandon Aubrey kick),7,14,5.0,2023,77
,2:36,49ers,Christian McCaffrey 1 yard rush (Jake Moody kick),7,21,5.0,2023,77
3.0,11:53,Cowboys,Brandon Aubrey 50 yard field goal,10,21,5.0,2023,77
,7:20,49ers,George Kittle 10 yard pass from Brock Purdy (Jake Moody kick),10,28,5.0,2023,77
4.0,14:19,49ers,Kyle Juszczyk 1 yard pass from Brock Purdy (Jake Moody kick),10,35,5.0,2023,77
,13:59,49ers,Jordan Mason 26 yard rush (Jake Moody kick),10,42,5.0,2023,77
