Unnamed: 0,BAL,PIT,week,year,game_id
First Downs,19,17,5.0,2023,72
Rush-Yds-TDs,25-125-1,30-87-0,5.0,2023,72
Cmp-Att-Yd-TD-INT,22-38-236-0-1,18-32-224-1-0,5.0,2023,72
Sacked-Yards,4-26,3-22,5.0,2023,72
Net Pass Yards,210,202,5.0,2023,72
Total Yards,335,289,5.0,2023,72
Fumbles-Lost,4-2,1-1,5.0,2023,72
Turnovers,3,1,5.0,2023,72
Penalties-Yards,2-20,3-30,5.0,2023,72
Third Down Conv.,5-14,6-15,5.0,2023,72
Fourth Down Conv.,0-2,0-0,5.0,2023,72
Time of Possession,30:14,29:46,5.0,2023,72
