Unnamed: 0,CAR,DET,week,year,game_id
First Downs,26,23,5.0,2023,68
Rush-Yds-TDs,23-99-0,30-159-3,5.0,2023,68
Cmp-Att-Yd-TD-INT,25-41-247-3-2,20-28-236-3-0,5.0,2023,68
Sacked-Yards,1-4,2-18,5.0,2023,68
Net Pass Yards,243,218,5.0,2023,68
Total Yards,342,377,5.0,2023,68
Fumbles-Lost,2-1,0-0,5.0,2023,68
Turnovers,3,0,5.0,2023,68
Penalties-Yards,7-45,5-35,5.0,2023,68
Third Down Conv.,5-10,4-10,5.0,2023,68
Fourth Down Conv.,1-1,1-2,5.0,2023,68
Time of Possession,28:45,31:15,5.0,2023,68
