Quarter,Time,Tm,Detail,NYG,MIA,week,year,game_id
1.0,7:09,Dolphins,Jaylen Waddle 2 yard pass from Tua Tagovailoa (Jason Sanders kick),0,7,5.0,2023,70
2.0,10:02,Dolphins,De'Von Achane 76 yard rush (Jason Sanders kick),0,14,5.0,2023,70
,3:41,Giants,Graham Gano 49 yard field goal,3,14,5.0,2023,70
,1:40,Giants,Jason Pinnock 102 yard interception return (Graham Gano kick),10,14,5.0,2023,70
,0:00,Dolphins,Jason Sanders 40 yard field goal,10,17,5.0,2023,70
3.0,14:06,Dolphins,Tyreek Hill 69 yard pass from Tua Tagovailoa (Jason Sanders kick),10,24,5.0,2023,70
,4:26,Giants,Graham Gano 37 yard field goal,13,24,5.0,2023,70
,0:00,Dolphins,Raheem Mostert 2 yard rush (Jason Sanders kick),13,31,5.0,2023,70
4.0,8:51,Giants,Graham Gano 51 yard field goal,16,31,5.0,2023,70
