Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Daniel Jones,NYG,0,0,0,0,0,5.0,2023,70
Tyrod Taylor,NYG,0,0,0,0,0,5.0,2023,70
Eric Gray,NYG,1,1,1,0,1,5.0,2023,70
Matt Breida,NYG,1,1,3,0,3,5.0,2023,70
Wan'Dale Robinson,NYG,6,5,18,0,7,5.0,2023,70
Darren Waller,NYG,11,8,86,0,21,5.0,2023,70
Darius Slayton,NYG,4,2,35,0,20,5.0,2023,70
Parris Campbell,NYG,2,2,23,0,17,5.0,2023,70
Isaiah Hodgins,NYG,2,2,19,0,15,5.0,2023,70
Sterling Shepard,NYG,2,1,13,0,13,5.0,2023,70
Daniel Bellinger,NYG,1,1,7,0,7,5.0,2023,70
Tua Tagovailoa,MIA,0,0,0,0,0,5.0,2023,70
De'Von Achane,MIA,1,1,14,0,14,5.0,2023,70
Raheem Mostert,MIA,2,2,13,0,8,5.0,2023,70
Tyreek Hill,MIA,9,8,181,1,69,5.0,2023,70
Cedrick Wilson Jr.,MIA,4,4,52,0,23,5.0,2023,70
Jaylen Waddle,MIA,10,5,35,1,20,5.0,2023,70
Braxton Berrios,MIA,2,2,13,0,13,5.0,2023,70
