Quarter,Time,Down,ToGo,Location,KAN,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Vikings to receive the opening kickoff.",,,5.0,2023,76
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
1.0,15:00,1.0,10.0,MIN 25,0.0,0.0,"Kirk Cousins pass complete short right to Josh Oliver for 15 yards. Josh Oliver fumbles (forced by Justin Reid), recovered by Bryan Cook at MIN-45 (tackle by Justin Reid) (tackle by Justin Reid)",0.61,-2.59,5.0,2023,76
1.0,14:50,1.0,10.0,MIN 45,0.0,0.0,Isiah Pacheco left guard for 4 yards (tackle by Harrison Smith and Jonathan Bullard),2.59,2.58,5.0,2023,76
1.0,14:18,2.0,6.0,MIN 41,0.0,0.0,Patrick Mahomes pass complete short left to Skyy Moore for 4 yards (tackle by Camryn Bynum),2.58,2.41,5.0,2023,76
1.0,13:37,3.0,2.0,MIN 37,0.0,0.0,Isiah Pacheco left guard for 5 yards (tackle by Harrison Phillips),2.41,3.45,5.0,2023,76
1.0,12:59,1.0,10.0,MIN 32,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 3 yards (tackle by Camryn Bynum),3.45,3.31,5.0,2023,76
1.0,12:24,2.0,7.0,MIN 29,0.0,0.0,Patrick Mahomes pass complete short left to Kadarius Toney for 8 yards (tackle by Josh Metellus and Marcus Davenport),3.31,4.17,5.0,2023,76
1.0,11:48,1.0,10.0,MIN 21,0.0,0.0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce (defended by Camryn Bynum),4.17,3.63,5.0,2023,76
1.0,11:39,2.0,10.0,MIN 21,0.0,0.0,Patrick Mahomes pass complete short right to Noah Gray for 9 yards (tackle by Troy Dye),3.63,4.49,5.0,2023,76
1.0,10:55,3.0,1.0,MIN 12,0.0,0.0,Isiah Pacheco right guard for 11 yards (tackle by Camryn Bynum and Harrison Smith),4.49,6.97,5.0,2023,76
1.0,10:06,1.0,1.0,MIN 1,6.0,0.0,"Isiah Pacheco up the middle for 1 yard, touchdown. Penalty on Josh Metellus: Defensive Offside, 5 yards (declined)",6.97,7.0,5.0,2023,76
1.0,10:00,,,MIN 15,7.0,0.0,Harrison Butker kicks extra point good,0.0,0.0,5.0,2023,76
1.0,10:00,,,KAN 35,7.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,76
1.0,10:00,1.0,10.0,MIN 25,7.0,0.0,"Kirk Cousins aborted snap, recovered by Kirk Cousins at MIN-25 Alexander Mattison left guard for 7 yards (tackle by Justin Reid)",0.61,1.01,5.0,2023,76
1.0,9:38,2.0,3.0,MIN 32,7.0,0.0,Kirk Cousins pass incomplete short right intended for K.J. Osborn (defended by Trent McDuffie),1.01,0.3,5.0,2023,76
1.0,9:33,3.0,3.0,MIN 32,7.0,0.0,Kirk Cousins pass complete short right to T.J. Hockenson for 6 yards (tackle by Justin Reid),0.3,1.47,5.0,2023,76
1.0,8:53,1.0,10.0,MIN 38,7.0,0.0,Kirk Cousins pass complete short right to Justin Jefferson for 4 yards (tackle by Trent McDuffie),1.47,1.46,5.0,2023,76
1.0,8:23,2.0,6.0,MIN 42,7.0,0.0,Kirk Cousins pass complete short right to Justin Jefferson for 10 yards (tackle by L'Jarius Sneed),1.46,2.39,5.0,2023,76
1.0,7:55,1.0,10.0,KAN 48,7.0,0.0,Kirk Cousins pass complete short left to K.J. Osborn for -1 yards (tackle by Bryan Cook and Joshua Williams),2.39,1.71,5.0,2023,76
1.0,7:17,2.0,11.0,KAN 49,7.0,0.0,Alexander Mattison left tackle for 6 yards (tackle by Willie Gay),1.71,1.82,5.0,2023,76
1.0,6:34,3.0,5.0,KAN 43,7.0,0.0,Kirk Cousins pass incomplete short right intended for K.J. Osborn (defended by L'Jarius Sneed),1.82,0.4,5.0,2023,76
1.0,6:29,4.0,5.0,KAN 43,7.0,0.0,Kirk Cousins pass complete short middle to Jordan Addison for 11 yards (tackle by Bryan Cook),0.4,3.45,5.0,2023,76
1.0,5:50,1.0,10.0,KAN 32,7.0,0.0,"Alexander Mattison left guard for 2 yards (tackle by Bryan Cook and Drue Tranquill). Penalty on Tershawn Wharton: Defensive Holding, 5 yards (accepted)",3.45,3.91,5.0,2023,76
1.0,5:32,1.0,10.0,KAN 25,7.0,0.0,Kirk Cousins sacked by Leo Chenal for -8 yards,3.91,2.28,5.0,2023,76
