Quarter,Time,Down,ToGo,Location,NYJ,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Jets to receive the opening kickoff.",,,5.0,2023,75
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
1.0,15:00,1.0,10.0,NYJ 25,0.0,0.0,Breece Hall left guard for no gain (tackle by D.J. Jones and Josey Jewell),0.61,0.06,5.0,2023,75
1.0,14:25,2.0,10.0,NYJ 25,0.0,0.0,Zach Wilson sacked by Nik Bonitto for -8 yards,0.06,-1.93,5.0,2023,75
1.0,13:42,3.0,18.0,NYJ 17,0.0,0.0,Zach Wilson pass complete short left to Michael Carter for 9 yards (tackle by Patrick Surtain),-1.93,-1.63,5.0,2023,75
1.0,13:00,4.0,9.0,NYJ 26,0.0,0.0,"Thomas Morstead punts 54 yards, recovered by Samuel Eguavoen at DEN-20",-1.63,4.24,5.0,2023,75
1.0,12:48,1.0,10.0,DEN 20,0.0,0.0,Zach Wilson pass complete short middle to Allen Lazard for 11 yards (tackle by Kareem Jackson),4.24,5.14,5.0,2023,75
1.0,12:12,1.0,9.0,DEN 9,0.0,0.0,Breece Hall left guard for 2 yards (tackle by Zach Allen),5.14,4.76,5.0,2023,75
1.0,11:32,2.0,7.0,DEN 7,0.0,0.0,Zach Wilson pass incomplete short middle intended for Garrett Wilson,4.76,3.81,5.0,2023,75
1.0,11:27,3.0,7.0,DEN 7,0.0,0.0,"Penalty on Allen Lazard: False Start, 5 yards (accepted) (no play)",3.81,3.1,5.0,2023,75
1.0,11:27,3.0,12.0,DEN 12,0.0,0.0,Zach Wilson pass incomplete short right intended for Randall Cobb,3.1,2.63,5.0,2023,75
1.0,11:22,4.0,12.0,DEN 12,3.0,0.0,Greg Zuerlein 30 yard field goal good,2.63,3.0,5.0,2023,75
1.0,11:19,,,NYJ 35,3.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,75
1.0,11:19,1.0,10.0,DEN 25,3.0,0.0,Russell Wilson pass complete short left to Jerry Jeudy for 1 yard (tackle by Sauce Gardner and Quincy Williams),0.61,0.2,5.0,2023,75
1.0,10:45,2.0,9.0,DEN 26,3.0,0.0,Russell Wilson pass complete short left to Jaleel McLaughlin for 1 yard,0.2,-0.36,5.0,2023,75
