Unnamed: 0,HOU,ATL,week,year,game_id
First Downs,17,26,5.0,2023,67
Rush-Yds-TDs,23-64-0,36-96-1,5.0,2023,67
Cmp-Att-Yd-TD-INT,20-35-249-1-0,29-38-351-1-0,5.0,2023,67
Sacked-Yards,0-0,0-0,5.0,2023,67
Net Pass Yards,249,351,5.0,2023,67
Total Yards,313,447,5.0,2023,67
Fumbles-Lost,0-0,3-2,5.0,2023,67
Turnovers,0,2,5.0,2023,67
Penalties-Yards,5-25,7-55,5.0,2023,67
Third Down Conv.,4-13,7-14,5.0,2023,67
Fourth Down Conv.,0-0,0-0,5.0,2023,67
Time of Possession,24:28,35:32,5.0,2023,67
