Unnamed: 0,PHI,LAR,week,year,game_id
First Downs,28,17,5.0,2023,74
Rush-Yds-TDs,39-159-1,14-54-0,5.0,2023,74
Cmp-Att-Yd-TD-INT,25-38-303-1-1,21-37-222-2-0,5.0,2023,74
Sacked-Yards,1-8,4-27,5.0,2023,74
Net Pass Yards,295,195,5.0,2023,74
Total Yards,454,249,5.0,2023,74
Fumbles-Lost,0-0,1-0,5.0,2023,74
Turnovers,1,0,5.0,2023,74
Penalties-Yards,3-35,5-48,5.0,2023,74
Third Down Conv.,13-18,6-14,5.0,2023,74
Fourth Down Conv.,0-1,2-3,5.0,2023,74
Time of Possession,37:55,22:05,5.0,2023,74
