Quarter,Time,Tm,Detail,NOR,NWE,week,year,game_id
1.0,7:02,Saints,Tyrann Mathieu 27 yard interception return (Blake Grupe kick),7,0,5.0,2023,71
2.0,14:23,Saints,Alvin Kamara 2 yard rush (Blake Grupe kick),14,0,5.0,2023,71
,10:47,Saints,Chris Olave 5 yard pass from Derek Carr (Blake Grupe kick),21,0,5.0,2023,71
3.0,11:34,Saints,Blake Grupe 54 yard field goal,24,0,5.0,2023,71
4.0,13:03,Saints,Foster Moreau 6 yard pass from Derek Carr (Blake Grupe kick),31,0,5.0,2023,71
,5:43,Saints,Blake Grupe 53 yard field goal,34,0,5.0,2023,71
