Unnamed: 0,KAN,MIN,week,year,game_id
First Downs,21,24,5.0,2023,76
Rush-Yds-TDs,21-67-1,18-70-0,5.0,2023,76
Cmp-Att-Yd-TD-INT,31-41-281-2-0,29-47-284-2-0,5.0,2023,76
Sacked-Yards,2-15,3-25,5.0,2023,76
Net Pass Yards,266,259,5.0,2023,76
Total Yards,333,329,5.0,2023,76
Fumbles-Lost,0-0,2-1,5.0,2023,76
Turnovers,0,1,5.0,2023,76
Penalties-Yards,10-86,4-51,5.0,2023,76
Third Down Conv.,9-15,6-14,5.0,2023,76
Fourth Down Conv.,0-0,4-5,5.0,2023,76
Time of Possession,31:59,28:01,5.0,2023,76
