Quarter,Time,Down,ToGo,Location,CAR,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,,5.0,2023,68
1.0,15:00,,,DET 35,0.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,68
1.0,15:00,1.0,10.0,CAR 25,0.0,0.0,Bryce Young pass complete short right to Jonathan Mingo for 8 yards (tackle by Alex Anzalone),0.61,1.14,5.0,2023,68
1.0,14:29,2.0,2.0,CAR 33,0.0,0.0,Miles Sanders right end for 6 yards (tackle by Aidan Hutchinson),1.14,1.53,5.0,2023,68
1.0,13:50,1.0,10.0,CAR 39,0.0,0.0,Laviska Shenault right end for -2 yards (tackle by Aidan Hutchinson),1.53,0.72,5.0,2023,68
1.0,13:18,2.0,12.0,CAR 37,0.0,0.0,Bryce Young pass incomplete short right,0.72,0.04,5.0,2023,68
1.0,13:10,3.0,12.0,CAR 37,0.0,0.0,"Bryce Young pass complete deep right to DJ Chark for 18 yards (tackle by Alex Anzalone) DET challenged the pass completion ruling, and the play was upheld.",0.04,2.59,5.0,2023,68
1.0,12:38,1.0,10.0,DET 45,0.0,0.0,Bryce Young scrambles left end for 4 yards (tackle by Will Harris),2.59,2.58,5.0,2023,68
1.0,11:58,2.0,6.0,DET 41,0.0,0.0,Miles Sanders right end for 2 yards (tackle by Isaiah Buggs),2.58,2.15,5.0,2023,68
1.0,11:16,3.0,4.0,DET 39,0.0,0.0,Bryce Young pass incomplete short left,2.15,0.66,5.0,2023,68
1.0,11:07,4.0,4.0,DET 39,0.0,0.0,"Penalty on CAR: Delay of Game, 5 yards (declined) (no play)",0.66,0.66,5.0,2023,68
1.0,11:07,4.0,4.0,DET 39,0.0,0.0,"Penalty on Chandler Wooten: False Start, 5 yards (accepted) (no play)",0.66,0.33,5.0,2023,68
1.0,11:07,4.0,9.0,DET 44,0.0,0.0,Johnny Hekker punts 25 yards downed by Kamu Grugier-Hill,0.33,-0.15,5.0,2023,68
1.0,10:58,1.0,10.0,DET 19,0.0,0.0,Jared Goff pass complete deep right to Kalif Raymond for 23 yards (tackle by Frankie Luvu),0.15,1.73,5.0,2023,68
1.0,10:23,1.0,10.0,DET 42,0.0,0.0,Jared Goff pass complete short right to Marvin Jones for 16 yards (tackle by Vonn Bell),1.73,2.79,5.0,2023,68
1.0,9:50,1.0,10.0,CAR 42,0.0,6.0,"David Montgomery up the middle for 42 yards, touchdown",2.79,7.0,5.0,2023,68
