Unnamed: 0,JAX,BUF,week,year,game_id
First Downs,29,18,5.0,2023,66
Rush-Yds-TDs,40-196-2,14-29-1,5.0,2023,66
Cmp-Att-Yd-TD-INT,25-37-315-1-0,27-40-359-2-1,5.0,2023,66
Sacked-Yards,5-37,0-0,5.0,2023,66
Net Pass Yards,278,359,5.0,2023,66
Total Yards,474,388,5.0,2023,66
Fumbles-Lost,4-2,2-1,5.0,2023,66
Turnovers,2,2,5.0,2023,66
Penalties-Yards,8-56,11-109,5.0,2023,66
Third Down Conv.,10-18,5-12,5.0,2023,66
Fourth Down Conv.,0-0,0-0,5.0,2023,66
Time of Possession,38:12,21:48,5.0,2023,66
