Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,5.0,2023,69
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 64 yards, returned by Isaiah McKenzie for 19 yards (tackle by Anthony Kendall)",0.0,0.28,5.0,2023,69
1.0,14:55,1.0,10.0,IND 20,0.0,0.0,Zack Moss right tackle for 6 yards (tackle by Azeez Al-Shaair and Harold Landry),0.28,0.54,5.0,2023,69
1.0,14:21,2.0,4.0,IND 26,0.0,0.0,Anthony Richardson pass complete short right to Josh Downs for 4 yards (tackle by Kevin Byard),0.54,0.94,5.0,2023,69
1.0,13:44,1.0,10.0,IND 30,0.0,0.0,Anthony Richardson pass complete short left to Josh Downs for 15 yards (tackle by Azeez Al-Shaair),0.94,1.93,5.0,2023,69
1.0,13:05,1.0,10.0,IND 45,0.0,0.0,Anthony Richardson pass incomplete short right intended for Alec Pierce,1.93,1.38,5.0,2023,69
1.0,12:58,2.0,10.0,IND 45,0.0,0.0,Anthony Richardson pass incomplete deep right intended for Michael Pittman,1.38,0.7,5.0,2023,69
1.0,12:52,3.0,10.0,IND 45,0.0,0.0,Anthony Richardson pass complete short left to Kylen Granson for 6 yards (tackle by Amani Hooker and Elijah Molden),0.7,0.0,5.0,2023,69
1.0,12:04,4.0,4.0,TEN 49,0.0,0.0,"Penalty on IND: Delay of Game, 5 yards (accepted) (no play)",0.0,-0.32,5.0,2023,69
1.0,11:54,4.0,9.0,IND 46,0.0,0.0,"Rigoberto Sanchez punts 50 yards, returned by Kyle Philips for 12 yards (tackle by E.J. Speed and Trevor Denbow)",-0.32,0.14,5.0,2023,69
1.0,11:44,1.0,10.0,TEN 16,0.0,0.0,Ryan Tannehill pass complete short right to DeAndre Hopkins for 7 yards,-0.14,0.42,5.0,2023,69
1.0,11:09,2.0,3.0,TEN 23,0.0,0.0,Derrick Henry up the middle for 2 yards (tackle by Kenny Moore),0.42,-0.2,5.0,2023,69
1.0,10:46,3.0,1.0,TEN 25,0.0,0.0,Ryan Tannehill pass complete short left to Trevon Wesco for 21 yards (tackle by Kenny Moore),-0.2,1.99,5.0,2023,69
1.0,10:01,1.0,10.0,TEN 46,0.0,0.0,Ryan Tannehill pass incomplete deep left intended for DeAndre Hopkins,1.99,1.45,5.0,2023,69
1.0,9:56,2.0,10.0,TEN 46,0.0,0.0,"Derrick Henry up the middle for no gain (tackle by Grant Stuard). Penalty on E.J. Speed: Defensive Offside, 5 yards (accepted) (no play)",1.45,2.13,5.0,2023,69
1.0,9:37,2.0,5.0,IND 49,0.0,0.0,Tyjae Spears right end for 4 yards (tackle by E.J. Speed),2.13,1.95,5.0,2023,69
1.0,8:56,3.0,1.0,IND 45,0.0,0.0,Tyjae Spears up the middle for 3 yards (tackle by Zaire Franklin and E.J. Speed),1.95,2.79,5.0,2023,69
1.0,8:19,1.0,10.0,IND 42,0.0,0.0,Ryan Tannehill pass complete short left to Nick Westbrook-Ikhine for 9 yards (tackle by Kenny Moore),2.79,3.46,5.0,2023,69
1.0,7:35,2.0,1.0,IND 33,0.0,0.0,Tyjae Spears up the middle for -1 yards (tackle by Taven Bryan and Samson Ebukam),3.46,2.61,5.0,2023,69
1.0,6:51,3.0,2.0,IND 34,0.0,0.0,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 6 yards (tackle by E.J. Speed),2.61,3.71,5.0,2023,69
1.0,6:09,1.0,10.0,IND 28,0.0,0.0,Derrick Henry right end for 1 yard (tackle by Grant Stuard),3.71,3.3,5.0,2023,69
1.0,5:27,2.0,9.0,IND 27,0.0,0.0,Tyjae Spears up the middle for 3 yards (tackle by Julian Blackmon),3.3,3.01,5.0,2023,69
1.0,4:45,3.0,6.0,IND 24,0.0,0.0,Ryan Tannehill pass complete short middle to DeAndre Hopkins for 11 yards (tackle by Kenny Moore),3.01,4.71,5.0,2023,69
1.0,4:07,1.0,10.0,IND 13,0.0,0.0,Derrick Henry pass incomplete short right intended for DeAndre Hopkins,4.71,4.05,5.0,2023,69
1.0,4:01,2.0,10.0,IND 13,0.0,0.0,Ryan Tannehill pass complete short left to Derrick Henry for 4 yards (tackle by Kenny Moore),4.05,3.88,5.0,2023,69
1.0,3:21,3.0,6.0,IND 9,0.0,0.0,"Ryan Tannehill pass incomplete short middle intended for Chigoziem Okonkwo (defended by Zaire Franklin). Penalty on Chigoziem Okonkwo: Offensive Pass Interference, 10 yards (declined)",3.88,2.85,5.0,2023,69
1.0,3:17,4.0,6.0,IND 9,3.0,0.0,Nick Folk 27 yard field goal good,2.85,3.0,5.0,2023,69
1.0,3:13,,,TEN 35,3.0,0.0,"Nick Folk kicks off 65 yards,",0.0,0.61,5.0,2023,69
1.0,3:13,1.0,10.0,IND 25,3.0,0.0,Jonathan Taylor left end for 3 yards (tackle by Jaleel Johnson),0.61,0.47,5.0,2023,69
1.0,2:39,2.0,7.0,IND 28,3.0,0.0,Anthony Richardson pass complete short right to Michael Pittman for 7 yards (tackle by Sean Murphy-Bunting and Kevin Byard),0.47,1.27,5.0,2023,69
1.0,1:36,1.0,10.0,IND 35,3.0,0.0,Zack Moss up the middle for 5 yards (tackle by Jack Gibbens and Denico Autry),1.27,1.4,5.0,2023,69
1.0,1:19,2.0,5.0,IND 40,3.0,0.0,Isaiah McKenzie right end for 4 yards (tackle by Jack Gibbens),1.4,1.22,5.0,2023,69
1.0,0:50,3.0,1.0,IND 44,3.0,6.0,"Zack Moss up the middle for 56 yards, touchdown",1.22,7.0,5.0,2023,69
1.0,0:41,,,TEN 15,3.0,7.0,Matt Gay kicks extra point good,0.0,0.0,5.0,2023,69
1.0,0:41,,,IND 35,3.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,69
1.0,0:41,1.0,10.0,TEN 25,3.0,7.0,Derrick Henry left guard for 2 yards (tackle by Zaire Franklin),0.61,0.33,5.0,2023,69
2.0,15:00,2.0,8.0,TEN 27,3.0,7.0,Ryan Tannehill pass incomplete short middle intended for Nick Westbrook-Ikhine,0.33,-0.36,5.0,2023,69
2.0,14:55,3.0,8.0,TEN 27,3.0,7.0,Ryan Tannehill pass incomplete deep right intended for Kyle Philips,-0.36,-1.57,5.0,2023,69
2.0,14:50,4.0,8.0,TEN 27,3.0,7.0,"Ryan Stonehouse punts 43 yards, returned by Isaiah McKenzie for 5 yards (tackle by Josh Whyle and Kevin Rader)",-1.57,-1.27,5.0,2023,69
2.0,14:38,1.0,10.0,IND 35,3.0,7.0,Anthony Richardson pass complete short left to Michael Pittman for 4 yards (tackle by Kristian Fulton),1.27,1.26,5.0,2023,69
2.0,13:57,2.0,6.0,IND 39,3.0,7.0,Zack Moss for no gain (tackle by Jack Gibbens and Amani Hooker),1.26,0.56,5.0,2023,69
2.0,13:14,3.0,6.0,IND 39,3.0,7.0,Anthony Richardson pass complete short left to Andrew Ogletree for 13 yards (tackle by Kristian Fulton),0.56,2.39,5.0,2023,69
2.0,12:50,1.0,10.0,TEN 48,3.0,7.0,"Anthony Richardson pass incomplete intended for Josh Downs. Penalty on Braden Smith: Offensive Holding, 10 yards (accepted) (no play)",2.39,1.73,5.0,2023,69
2.0,12:44,1.0,20.0,IND 42,3.0,7.0,Anthony Richardson pass complete short right to Zack Moss for 4 yards (tackle by Jack Gibbens and Kevin Byard),1.73,1.04,5.0,2023,69
2.0,12:04,2.0,16.0,IND 46,3.0,7.0,Anthony Richardson pass incomplete deep right,1.04,0.37,5.0,2023,69
2.0,11:56,3.0,16.0,IND 46,3.0,7.0,Anthony Richardson pass complete deep left to Josh Downs for 38 yards (tackle by Elijah Molden),0.37,4.51,5.0,2023,69
2.0,11:15,1.0,10.0,TEN 16,3.0,7.0,Anthony Richardson right tackle for 1 yard (tackle by Azeez Al-Shaair),4.51,4.05,5.0,2023,69
2.0,10:38,2.0,9.0,TEN 15,3.0,7.0,Anthony Richardson sacked by Roger McCreary for -17 yards. Anthony Richardson fumbles (forced by Roger McCreary). Anthony Richardson fumbles out of bounds,4.05,1.16,5.0,2023,69
