Quarter,Time,Down,ToGo,Location,NOR,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Saints to receive the opening kickoff.",,,5.0,2023,71
1.0,15:00,,,NWE 35,0.0,0.0,"Chad Ryland kicks off 61 yards, returned by Rashid Shaheed for 18 yards (tackle by Jabrill Peppers)",0.0,0.41,5.0,2023,71
1.0,14:55,1.0,10.0,NOR 22,0.0,0.0,Alvin Kamara up the middle for 3 yards (tackle by Ja'Whaun Bentley),0.41,0.27,5.0,2023,71
1.0,14:30,2.0,7.0,NOR 25,0.0,0.0,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Ja'Whaun Bentley),0.27,-0.03,5.0,2023,71
1.0,13:53,3.0,4.0,NOR 28,0.0,0.0,Derek Carr pass complete short right to Michael Thomas for 14 yards (tackle by Myles Bryant),-0.03,1.73,5.0,2023,71
1.0,13:18,1.0,10.0,NOR 42,0.0,0.0,Derek Carr scrambles left tackle for 5 yards (tackle by Ja'Whaun Bentley),1.73,1.86,5.0,2023,71
1.0,12:41,2.0,5.0,NOR 47,0.0,0.0,Alvin Kamara right tackle for 8 yards (tackle by Deatrich Wise),1.86,2.59,5.0,2023,71
1.0,12:03,1.0,10.0,NWE 45,0.0,0.0,Derek Carr pass incomplete deep left intended for Chris Olave,2.59,2.04,5.0,2023,71
1.0,11:58,2.0,10.0,NWE 45,0.0,0.0,"Alvin Kamara left tackle for no gain (tackle by Ja'Whaun Bentley and Kyle Dugger). Penalty on Christian Barmore: Defensive Holding, 5 yards (offset) . Penalty on Adam Prentice: Offensive Holding, 10 yards (offset) (no play)",2.04,2.04,5.0,2023,71
1.0,11:29,2.0,10.0,NWE 45,0.0,0.0,Derek Carr pass incomplete deep left intended for Michael Thomas (defended by Shaun Wade),2.04,1.36,5.0,2023,71
1.0,11:23,3.0,10.0,NWE 45,0.0,0.0,Derek Carr sacked by Ja'Whaun Bentley for -9 yards,1.36,-0.32,5.0,2023,71
1.0,10:40,4.0,19.0,NOR 46,0.0,0.0,Lou Hedley punts downed by Isaac Yiadom (no play),-0.32,-0.65,5.0,2023,71
1.0,10:28,4.0,24.0,NOR 41,0.0,0.0,"Lou Hedley punts 53 yards, fair catch by Jabrill Peppers at NE-6",-0.65,0.38,5.0,2023,71
1.0,10:21,1.0,10.0,NWE 6,0.0,0.0,Rhamondre Stevenson right guard for 8 yards (tackle by Demario Davis and Alontae Taylor),-0.38,-0.17,5.0,2023,71
1.0,9:42,2.0,2.0,NWE 14,0.0,0.0,Mac Jones pass incomplete deep right intended for Kendrick Bourne,-0.17,-0.48,5.0,2023,71
1.0,9:37,3.0,2.0,NWE 14,0.0,0.0,Mac Jones pass incomplete deep left intended for Hunter Henry,-0.48,-2.47,5.0,2023,71
1.0,9:32,4.0,2.0,NWE 14,0.0,0.0,Bryce Baringer punts 26 yards out of bounds,-2.47,-2.92,5.0,2023,71
1.0,9:25,1.0,10.0,NWE 40,0.0,0.0,Alvin Kamara right end for 4 yards (tackle by Deatrich Wise),2.92,2.91,5.0,2023,71
1.0,8:56,2.0,6.0,NWE 36,0.0,0.0,Derek Carr pass complete short right to Alvin Kamara for 2 yards (tackle by J.C. Jackson),2.91,2.48,5.0,2023,71
1.0,8:23,3.0,4.0,NWE 34,0.0,0.0,"Penalty on Chris Olave: False Start, 5 yards (accepted) (no play)",2.48,1.82,5.0,2023,71
1.0,8:02,3.0,9.0,NWE 39,0.0,0.0,Derek Carr pass incomplete short middle intended for Jimmy Graham,1.82,0.66,5.0,2023,71
1.0,7:58,4.0,9.0,NWE 39,0.0,0.0,"Lou Hedley punts 39 yards, touchback.",0.66,-0.28,5.0,2023,71
1.0,7:49,1.0,10.0,NWE 20,0.0,0.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Carl Granderson and Nathan Shepherd),0.28,0.27,5.0,2023,71
1.0,7:16,2.0,6.0,NWE 24,0.0,0.0,Mac Jones pass incomplete short middle intended for Rhamondre Stevenson,0.27,-0.43,5.0,2023,71
1.0,7:11,3.0,6.0,NWE 24,6.0,0.0,"Mac Jones pass short middle intended for Rhamondre Stevenson is intercepted by Tyrann Mathieu at NE-27 and returned for 27 yards, touchdown",-0.43,-7.0,5.0,2023,71
1.0,7:02,,,NWE 15,7.0,0.0,Blake Grupe kicks extra point good,0.0,0.0,5.0,2023,71
1.0,7:02,,,NOR 35,7.0,0.0,"Blake Grupe kicks off 67 yards, returned by Ty Montgomery for 23 yards (tackle by Ty Summers and D'Marco Jackson)",0.0,0.34,5.0,2023,71
1.0,6:57,1.0,10.0,NWE 21,7.0,0.0,Mac Jones pass complete short right to Ezekiel Elliott for 3 yards (tackle by Alontae Taylor),0.34,0.21,5.0,2023,71
1.0,6:29,2.0,7.0,NWE 24,7.0,0.0,Ty Montgomery right end for no gain (tackle by Tanoh Kpassagnon),0.21,-0.49,5.0,2023,71
1.0,5:47,3.0,7.0,NWE 24,7.0,0.0,"Mac Jones pass complete deep left to Demario Douglas for 24 yards (tackle by Marshon Lattimore). Penalty on Marshon Lattimore: Unnecessary Roughness / Defense, 15 yards (accepted) NOR challenged the pass completion ruling, and the play was upheld.",-0.49,3.12,5.0,2023,71
1.0,5:36,1.0,10.0,NOR 37,7.0,0.0,Ezekiel Elliott left guard for 3 yards (tackle by Nathan Shepherd),3.12,2.98,5.0,2023,71
1.0,5:01,2.0,7.0,NOR 34,7.0,0.0,Ezekiel Elliott left end for -4 yards (tackle by Carl Granderson),2.98,1.75,5.0,2023,71
1.0,4:20,3.0,11.0,NOR 38,7.0,0.0,Mac Jones pass complete short left to Mike Gesicki for 8 yards (tackle by Johnathan Abram),1.75,1.48,5.0,2023,71
1.0,3:45,4.0,3.0,NOR 30,7.0,0.0,Chad Ryland 48 yard field goal no good,1.48,-1.47,5.0,2023,71
1.0,3:39,1.0,10.0,NOR 38,7.0,0.0,Kendre Miller right guard for 3 yards (tackle by Davon Godchaux and Deatrich Wise),1.47,1.33,5.0,2023,71
1.0,2:57,2.0,7.0,NOR 41,7.0,0.0,"Penalty on Foster Moreau: False Start, 5 yards (accepted) (no play)",1.33,0.65,5.0,2023,71
1.0,2:43,,,,,,Timeout #1 by New England Patriots,,,5.0,2023,71
