Quarter,Time,Tm,Detail,PHI,LAR,week,year,game_id
1.0,8:37,Eagles,Dallas Goedert 6 yard pass from Jalen Hurts (Jake Elliott kick),7,0,5.0,2023,74
,2:01,Rams,Tutu Atwell 3 yard pass from Matthew Stafford (Brett Maher kick),7,7,5.0,2023,74
2.0,2:15,Eagles,Jake Elliott 34 yard field goal,10,7,5.0,2023,74
,0:32,Rams,Puka Nacua 22 yard pass from Matthew Stafford (Brett Maher kick),10,14,5.0,2023,74
,0:00,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),17,14,5.0,2023,74
4.0,12:29,Eagles,Jake Elliott 26 yard field goal,20,14,5.0,2023,74
,4:06,Eagles,Jake Elliott 26 yard field goal,23,14,5.0,2023,74
