Quarter,Time,Down,ToGo,Location,JAX,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,5.0,2023,66
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 60 yards, returned by D'Ernest Johnson for 10 yards (tackle by Trent Sherfield)",0.0,-0.22,5.0,2023,66
1.0,14:58,1.0,10.0,JAX 15,0.0,0.0,Trevor Lawrence pass complete short right to Luke Farrell for 16 yards (tackle by Matt Milano),-0.22,1.0,5.0,2023,66
1.0,14:27,1.0,10.0,JAX 31,0.0,0.0,Trevor Lawrence pass complete short right to Evan Engram for 9 yards (tackle by Matt Milano),1.0,1.68,5.0,2023,66
1.0,13:56,2.0,1.0,JAX 40,0.0,0.0,Travis Etienne right end for no gain (tackle by Terrel Bernard and Jordan Poyer),1.68,0.96,5.0,2023,66
1.0,13:14,3.0,1.0,JAX 40,0.0,0.0,Tank Bigsby right guard for no gain (tackle by Von Miller and Ed Oliver),0.96,-0.72,5.0,2023,66
1.0,12:43,,,,,,Timeout #1 by Buffalo Bills,,,5.0,2023,66
1.0,12:43,4.0,1.0,JAX 40,0.0,0.0,"Logan Cooke punts 60 yards, touchback.",-0.72,-0.28,5.0,2023,66
1.0,12:34,1.0,10.0,BUF 20,0.0,0.0,James Cook right guard for 5 yards (tackle by Andre Cisco and Roy Robertson-Harris),0.28,0.41,5.0,2023,66
1.0,12:05,2.0,5.0,BUF 25,0.0,0.0,Josh Allen pass complete short left to Stefon Diggs for 3 yards (tackle by Foyesade Oluokun),0.41,0.1,5.0,2023,66
1.0,11:19,3.0,2.0,BUF 28,0.0,0.0,Josh Allen pass incomplete short right intended for James Cook,0.1,-1.5,5.0,2023,66
1.0,11:16,4.0,2.0,BUF 28,0.0,0.0,"Sam Martin punts 45 yards, fair catch by Jamal Agnew at JAC-27",-1.5,-0.74,5.0,2023,66
1.0,11:09,1.0,10.0,JAX 27,0.0,0.0,Calvin Ridley left end for 11 yards (tackle by Dane Jackson),0.74,1.47,5.0,2023,66
1.0,10:30,1.0,10.0,JAX 38,0.0,0.0,Trevor Lawrence pass complete deep left to Christian Kirk for 30 yards (tackle by Micah Hyde),1.47,3.45,5.0,2023,66
1.0,10:16,1.0,10.0,BUF 32,0.0,0.0,Travis Etienne left end for 9 yards (tackle by Matt Milano),3.45,4.12,5.0,2023,66
1.0,9:44,2.0,1.0,BUF 23,0.0,0.0,Travis Etienne right guard for 9 yards (tackle by Jordan Poyer),4.12,4.65,5.0,2023,66
1.0,9:11,1.0,10.0,BUF 14,0.0,0.0,Calvin Ridley left end for 3 yards (tackle by Dane Jackson),4.65,4.52,5.0,2023,66
1.0,8:34,2.0,7.0,BUF 11,0.0,0.0,Tank Bigsby right end for 1 yard (tackle by Terrel Bernard and Dane Jackson),4.52,3.82,5.0,2023,66
1.0,7:50,3.0,6.0,BUF 10,0.0,0.0,"Trevor Lawrence pass incomplete short middle intended for Christian Kirk. Penalty on Ed Oliver: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",3.82,6.06,5.0,2023,66
1.0,7:44,1.0,5.0,BUF 5,0.0,0.0,Travis Etienne left guard for -1 yards (tackle by Ed Oliver),6.06,4.95,5.0,2023,66
1.0,7:09,2.0,6.0,BUF 6,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Zay Jones (defended by A.J. Epenesa),4.95,4.04,5.0,2023,66
1.0,7:04,3.0,6.0,BUF 6,6.0,0.0,"Trevor Lawrence pass complete short right to Zay Jones for 6 yards, touchdown",4.04,7.0,5.0,2023,66
1.0,6:59,,,BUF 15,6.0,0.0,"Penalty on Ed Oliver: Roughing the Passer, 1 yard (accepted) (no play)",0.0,1.0,5.0,2023,66
1.0,6:59,1.0,1.0,BUF 1,8.0,0.0,"Two Point Attempt: Travis Etienne rushes, conversion succeeds.",1.0,1.0,5.0,2023,66
1.0,6:59,,,JAX 35,8.0,0.0,"Brandon McManus kicks off 63 yards,",0.0,0.61,5.0,2023,66
1.0,6:59,1.0,10.0,BUF 25,8.0,0.0,James Cook right guard for -1 yards (tackle by Tyson Campbell),0.61,-0.07,5.0,2023,66
1.0,6:25,2.0,11.0,BUF 24,8.0,0.0,Josh Allen pass complete short right to Dawson Knox for 5 yards (tackle by Tyson Campbell),-0.07,-0.1,5.0,2023,66
