Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Cowboys,-27.09,-23.12,-12.53,-10.59,-15.75,-12.84,-22.4,2.67,4.59,5.21,-1.83,4.65,2.6,-1.95,1.74,5.0,2023,77
49ers,27.09,12.84,22.4,-2.67,-4.59,23.12,12.53,10.59,15.75,-5.21,-4.65,1.83,1.95,-2.6,-1.74,5.0,2023,77
