Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Eagles to receive the opening kickoff.",,,5.0,2023,74
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,74
1.0,15:00,1.0,10.0,PHI 25,0.0,0.0,Jalen Hurts pass complete short right to Quez Watkins for 5 yards (tackle by Ahkello Witherspoon),0.61,0.74,5.0,2023,74
1.0,14:27,2.0,5.0,PHI 30,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 12 yards (tackle by Ahkello Witherspoon),0.74,1.73,5.0,2023,74
1.0,13:45,1.0,10.0,PHI 42,0.0,0.0,Jalen Hurts pass complete short left to Dallas Goedert for 19 yards (tackle by Byron Young and Ernest Jones),1.73,2.98,5.0,2023,74
1.0,13:00,1.0,10.0,LAR 39,0.0,0.0,D'Andre Swift left guard for 3 yards (tackle by Russ Yeast and Ernest Jones),2.98,2.85,5.0,2023,74
1.0,12:21,2.0,7.0,LAR 36,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 7 yards (tackle by Jordan Fuller),2.85,3.64,5.0,2023,74
1.0,11:48,1.0,10.0,LAR 29,0.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 8 yards (tackle by Jordan Fuller),3.64,4.18,5.0,2023,74
1.0,11:16,2.0,2.0,LAR 21,0.0,0.0,D'Andre Swift right guard for 4 yards (tackle by Christian Rozeboom),4.18,4.44,5.0,2023,74
1.0,10:29,1.0,10.0,LAR 17,0.0,0.0,Jalen Hurts scrambles right end for 2 yards (tackle by Bobby Brown),4.44,4.15,5.0,2023,74
1.0,9:56,2.0,8.0,LAR 15,0.0,0.0,Jalen Hurts right tackle for 10 yards (tackle by Ernest Jones and Cobie Durant),4.15,6.06,5.0,2023,74
1.0,9:31,1.0,5.0,LAR 5,0.0,0.0,Jalen Hurts pass incomplete short middle,6.06,5.15,5.0,2023,74
1.0,9:26,2.0,5.0,LAR 5,0.0,0.0,D'Andre Swift right tackle for -1 yards (tackle by Larrell Murchison and Michael Hoecht),5.15,4.04,5.0,2023,74
1.0,8:41,3.0,6.0,LAR 6,6.0,0.0,"Jalen Hurts pass complete short middle to Dallas Goedert for 6 yards, touchdown",4.04,7.0,5.0,2023,74
1.0,8:37,,,LAR 15,7.0,0.0,Jake Elliott kicks extra point good,0.0,0.0,5.0,2023,74
1.0,8:37,,,PHI 35,7.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,74
1.0,8:37,1.0,10.0,LAR 25,7.0,0.0,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Justin Evans),0.61,0.06,5.0,2023,74
1.0,8:33,2.0,10.0,LAR 25,7.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 6 yards (tackle by Darius Slay),0.06,0.17,5.0,2023,74
1.0,7:57,3.0,4.0,LAR 31,7.0,0.0,Matthew Stafford pass complete short right to Cooper Kupp for 17 yards (tackle by Mario Goodrich and Justin Evans),0.17,2.13,5.0,2023,74
