Unnamed: 0,CHI,WAS,week,year,game_id
First Downs,18,23,5.0,2023,65
Rush-Yds-TDs,32-178-0,10-29-0,5.0,2023,65
Cmp-Att-Yd-TD-INT,15-29-282-4-0,37-51-388-2-1,5.0,2023,65
Sacked-Yards,3-9,5-29,5.0,2023,65
Net Pass Yards,273,359,5.0,2023,65
Total Yards,451,388,5.0,2023,65
Fumbles-Lost,1-0,1-1,5.0,2023,65
Turnovers,0,2,5.0,2023,65
Penalties-Yards,3-35,1-5,5.0,2023,65
Third Down Conv.,7-15,6-12,5.0,2023,65
Fourth Down Conv.,1-1,0-1,5.0,2023,65
Time of Possession,30:04,29:56,5.0,2023,65
