Unnamed: 0,NYJ,DEN,week,year,game_id
First Downs,18,18,5.0,2023,75
Rush-Yds-TDs,32-234-1,22-139-0,5.0,2023,75
Cmp-Att-Yd-TD-INT,19-26-199-0-1,20-31-196-2-0,5.0,2023,75
Sacked-Yards,4-26,4-27,5.0,2023,75
Net Pass Yards,173,169,5.0,2023,75
Total Yards,407,308,5.0,2023,75
Fumbles-Lost,4-1,4-3,5.0,2023,75
Turnovers,2,3,5.0,2023,75
Penalties-Yards,9-71,4-31,5.0,2023,75
Third Down Conv.,3-12,4-10,5.0,2023,75
Fourth Down Conv.,0-0,0-0,5.0,2023,75
Time of Possession,34:36,25:24,5.0,2023,75
