Quarter,Time,Down,ToGo,Location,HOU,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,,5.0,2023,67
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 63 yards, returned by Cordarrelle Patterson for 19 yards (tackle by Grayland Arnold). Penalty on Tae Davis: Offensive Holding, 10 yards (accepted)",0.0,-0.37,5.0,2023,67
1.0,14:55,1.0,10.0,ATL 11,0.0,0.0,"Bijan Robinson left end for -3 yards (tackle by Will Anderson and Sheldon Rankins). Penalty on Kaleb McGary: Tripping / Offense, 10 yards (declined)",-0.37,-1.0,5.0,2023,67
1.0,14:29,2.0,13.0,ATL 8,0.0,0.0,Bijan Robinson right end for 7 yards (tackle by Henry To'oTo'o),-1.0,-0.95,5.0,2023,67
1.0,13:50,3.0,6.0,ATL 15,0.0,0.0,Desmond Ridder pass incomplete short right intended for Drake London,-0.95,-2.44,5.0,2023,67
1.0,13:44,4.0,6.0,ATL 15,0.0,0.0,"Bradley Pinion punts 41 yards, returned by Tank Dell for 9 yards (tackle by Liam McCullough)",-2.44,-2.46,5.0,2023,67
1.0,13:34,1.0,10.0,ATL 47,0.0,0.0,Dameon Pierce right end for 5 yards (tackle by Jeff Okudah),2.46,2.59,5.0,2023,67
1.0,12:57,2.0,5.0,ATL 42,0.0,0.0,C.J. Stroud pass complete short middle to Dalton Schultz for 14 yards (tackle by Kaden Elliss),2.59,3.71,5.0,2023,67
1.0,12:35,1.0,10.0,ATL 28,0.0,0.0,C.J. Stroud pass complete short right to John Metchie for 6 yards (tackle by Jeff Okudah),3.71,3.98,5.0,2023,67
1.0,12:00,2.0,4.0,ATL 22,0.0,0.0,Dameon Pierce right tackle for 3 yards (tackle by Calais Campbell),3.98,3.72,5.0,2023,67
1.0,11:25,3.0,1.0,ATL 19,0.0,0.0,Dameon Pierce right tackle for no gain (tackle by Bud Dupree),3.72,2.34,5.0,2023,67
1.0,10:42,4.0,1.0,ATL 19,3.0,0.0,Ka'imi Fairbairn 38 yard field goal good,2.34,3.0,5.0,2023,67
1.0,10:38,,,HOU 35,3.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,67
1.0,10:38,1.0,10.0,ATL 25,3.0,0.0,Desmond Ridder pass complete short right to Jonnu Smith for 13 yards (tackle by Will Anderson and Jalen Pitre),0.61,1.47,5.0,2023,67
1.0,10:05,1.0,10.0,ATL 38,3.0,0.0,Desmond Ridder pass complete short middle to Scott Miller for 3 yards (tackle by Jimmie Ward),1.47,1.33,5.0,2023,67
