Unnamed: 0,GNB,LVR,week,year,game_id
First Downs,18,19,5.0,2023,78
Rush-Yds-TDs,25-110-1,29-96-1,5.0,2023,78
Cmp-Att-Yd-TD-INT,16-30-182-0-3,22-31-208-1-1,5.0,2023,78
Sacked-Yards,2-7,4-25,5.0,2023,78
Net Pass Yards,175,183,5.0,2023,78
Total Yards,285,279,5.0,2023,78
Fumbles-Lost,0-0,0-0,5.0,2023,78
Turnovers,3,1,5.0,2023,78
Penalties-Yards,3-18,4-28,5.0,2023,78
Third Down Conv.,4-12,5-13,5.0,2023,78
Fourth Down Conv.,1-1,1-1,5.0,2023,78
Time of Possession,27:26,32:34,5.0,2023,78
