Unnamed: 0,NYG,MIA,week,year,game_id
First Downs,15,22,5.0,2023,70
Rush-Yds-TDs,29-85-0,23-222-2,5.0,2023,70
Cmp-Att-Yd-TD-INT,23-32-205-0-0,22-30-308-2-2,5.0,2023,70
Sacked-Yards,7-22,1-6,5.0,2023,70
Net Pass Yards,183,302,5.0,2023,70
Total Yards,268,524,5.0,2023,70
Fumbles-Lost,1-0,2-1,5.0,2023,70
Turnovers,0,3,5.0,2023,70
Penalties-Yards,6-43,6-43,5.0,2023,70
Third Down Conv.,5-17,3-8,5.0,2023,70
Fourth Down Conv.,1-2,0-0,5.0,2023,70
Time of Possession,35:59,24:01,5.0,2023,70
