Quarter,Time,Down,ToGo,Location,GNB,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Packers to receive the opening kickoff.",,,5.0,2023,78
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,78
1.0,15:00,1.0,10.0,GNB 25,0.0,0.0,AJ Dillon up the middle for 4 yards (tackle by Tyler Hall and Robert Spillane),0.61,0.6,5.0,2023,78
1.0,14:20,2.0,6.0,GNB 29,0.0,0.0,AJ Dillon up the middle for 4 yards (tackle by Bilal Nichols and Malcolm Koonce),0.6,0.43,5.0,2023,78
1.0,13:39,3.0,2.0,GNB 33,0.0,0.0,AJ Dillon left guard for 3 yards (tackle by Robert Spillane),0.43,1.33,5.0,2023,78
1.0,13:01,1.0,10.0,GNB 36,0.0,0.0,Jordan Love pass complete short left to Luke Musgrave for 6 yards (tackle by Robert Spillane),1.33,1.6,5.0,2023,78
1.0,12:55,2.0,4.0,GNB 42,0.0,0.0,AJ Dillon right guard for 4 yards (tackle by Jerry Tillery and Divine Deablo),1.6,1.99,5.0,2023,78
1.0,12:16,1.0,10.0,GNB 46,0.0,0.0,Jordan Love pass complete short right to Christian Watson for 6 yards (tackle by Marcus Peters),1.99,2.26,5.0,2023,78
1.0,11:12,2.0,4.0,LVR 48,0.0,0.0,AJ Dillon left guard for 1 yard (tackle by Tre'von Moehrig and Robert Spillane),2.26,1.69,5.0,2023,78
1.0,10:35,3.0,3.0,LVR 47,0.0,0.0,Jordan Love pass incomplete deep middle intended for Jayden Reed,1.69,0.13,5.0,2023,78
1.0,10:28,4.0,3.0,LVR 47,0.0,0.0,"Penalty on GNB: Delay of Game, 5 yards (accepted) (no play)",0.13,-0.19,5.0,2023,78
1.0,10:28,4.0,8.0,GNB 48,0.0,0.0,"Daniel Whelan punts 39 yards, fair catch by DeAndre Carter at LV-13",-0.19,0.32,5.0,2023,78
1.0,10:21,1.0,10.0,LVR 13,0.0,0.0,Jimmy Garoppolo pass complete short right to Michael Mayer for 20 yards (tackle by Rasul Douglas and Darnell Savage),-0.32,1.14,5.0,2023,78
1.0,9:51,1.0,10.0,LVR 33,0.0,0.0,Josh Jacobs for -2 yards (tackle by Quay Walker),1.14,0.32,5.0,2023,78
1.0,9:10,2.0,12.0,LVR 31,0.0,0.0,Jimmy Garoppolo pass complete short left to Davante Adams for 12 yards (tackle by Quay Walker),0.32,1.8,5.0,2023,78
1.0,8:35,,,,,,Timeout #1 by Las Vegas Raiders,,,5.0,2023,78
1.0,8:35,1.0,10.0,LVR 43,0.0,0.0,Josh Jacobs up the middle for no gain (tackle by Darnell Savage and Isaiah McDuffie),1.8,1.25,5.0,2023,78
1.0,8:02,2.0,10.0,LVR 43,0.0,0.0,Jimmy Garoppolo pass complete short right to Austin Hooper for 4 yards (tackle by Keisean Nixon),1.25,1.09,5.0,2023,78
1.0,7:20,3.0,6.0,LVR 47,0.0,0.0,Jimmy Garoppolo sacked by Kenny Clark for -9 yards,1.09,-0.85,5.0,2023,78
