Quarter,Time,Down,ToGo,Location,CHI,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,,5.0,2023,65
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,65
1.0,15:00,1.0,10.0,CHI 25,0.0,0.0,Justin Fields pass incomplete deep right intended for Darnell Mooney,0.61,0.06,5.0,2023,65
1.0,14:54,2.0,10.0,CHI 25,0.0,0.0,Khalil Herbert left tackle for 1 yard (tackle by Montez Sweat),0.06,-0.49,5.0,2023,65
1.0,14:17,3.0,9.0,CHI 26,0.0,0.0,Justin Fields pass complete deep left to D.J. Moore for 58 yards (tackle by Darrick Forrest),-0.49,4.51,5.0,2023,65
1.0,13:30,,,,,,Timeout #1 by Chicago Bears,,,5.0,2023,65
1.0,13:30,1.0,10.0,WAS 16,0.0,0.0,Khalil Herbert right tackle for no gain (tackle by Cody Barton and Kamren Curl),4.51,3.9,5.0,2023,65
1.0,12:47,2.0,10.0,WAS 16,0.0,0.0,Justin Fields sacked by Montez Sweat for -4 yards,3.9,2.74,5.0,2023,65
1.0,12:09,3.0,14.0,WAS 20,6.0,0.0,"Justin Fields pass complete deep left to D.J. Moore for 20 yards, touchdown",2.74,7.0,5.0,2023,65
1.0,12:04,,,WAS 15,7.0,0.0,Cairo Santos kicks extra point good,0.0,0.0,5.0,2023,65
1.0,12:04,,,CHI 35,7.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,65
1.0,12:04,1.0,10.0,WAS 25,7.0,0.0,Brian Robinson right guard for 5 yards (tackle by T.J. Edwards and Jaquan Brisker),0.61,0.74,5.0,2023,65
1.0,11:31,2.0,5.0,WAS 30,7.0,0.0,Sam Howell pass complete short right to Logan Thomas for 4 yards (tackle by Tyrique Stevenson),0.74,0.56,5.0,2023,65
