Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
AJ Dillon,GNB,20,76,1,6,35,1.8,41,2.1,1,20.0,5.0,2023,78
Jordan Love,GNB,2,37,0,2,37,18.5,0,0.0,0,,5.0,2023,78
Patrick Taylor,GNB,2,2,0,1,-1,-0.5,3,1.5,0,,5.0,2023,78
Christian Watson,GNB,1,-5,0,0,-5,-5.0,0,0.0,0,,5.0,2023,78
Josh Jacobs,LVR,20,69,1,3,38,1.9,31,1.6,0,,5.0,2023,78
Jimmy Garoppolo,LVR,4,4,0,1,-2,-0.5,6,1.5,0,,5.0,2023,78
DeAndre Carter,LVR,2,3,0,1,2,1.0,1,0.5,0,,5.0,2023,78
Ameer Abdullah,LVR,1,4,0,0,3,3.0,1,1.0,0,,5.0,2023,78
Jakobi Meyers,LVR,1,0,0,0,0,0.0,0,0.0,0,,5.0,2023,78
Tre Tucker,LVR,1,16,0,1,11,11.0,5,5.0,0,,5.0,2023,78
