Unnamed: 0,TEN,IND,week,year,game_id
First Downs,19,21,5.0,2023,69
Rush-Yds-TDs,22-89-1,34-193-2,5.0,2023,69
Cmp-Att-Yd-TD-INT,23-35-264-0-1,20-26-253-0-0,5.0,2023,69
Sacked-Yards,1-5,1-17,5.0,2023,69
Net Pass Yards,259,236,5.0,2023,69
Total Yards,348,429,5.0,2023,69
Fumbles-Lost,0-0,1-0,5.0,2023,69
Turnovers,1,0,5.0,2023,69
Penalties-Yards,4-58,8-55,5.0,2023,69
Third Down Conv.,5-12,8-13,5.0,2023,69
Fourth Down Conv.,1-2,0-1,5.0,2023,69
Time of Possession,28:57,31:03,5.0,2023,69
