Quarter,Time,Down,ToGo,Location,NYG,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Giants to receive the opening kickoff.",,,5.0,2023,70
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,5.0,2023,70
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Matt Breida right guard for 6 yards (tackle by Bradley Chubb),0.61,0.87,5.0,2023,70
1.0,14:29,2.0,4.0,NYG 31,0.0,0.0,Daniel Jones pass complete short middle to Isaiah Hodgins for 15 yards (tackle by Jevon Holland),0.87,1.99,5.0,2023,70
1.0,13:53,1.0,10.0,NYG 46,0.0,0.0,Matt Breida left end for no gain (tackle by DeShon Elliott),1.99,1.45,5.0,2023,70
1.0,13:14,2.0,10.0,NYG 46,0.0,0.0,Matt Breida up the middle for 3 yards (tackle by Zach Sieler and Christian Wilkins),1.45,1.16,5.0,2023,70
1.0,12:28,3.0,7.0,NYG 49,0.0,0.0,Daniel Jones pass complete short right to Wan'Dale Robinson for 2 yards (tackle by Eli Apple),1.16,0.0,5.0,2023,70
1.0,11:37,4.0,5.0,MIA 49,0.0,0.0,"Jamie Gillan punts 38 yards, fair catch by Braxton Berrios at MIA-11",0.0,0.37,5.0,2023,70
1.0,11:27,1.0,10.0,MIA 11,0.0,0.0,De'Von Achane right end for 24 yards (tackle by Dane Belton and Xavier McKinney),-0.37,1.27,5.0,2023,70
1.0,10:32,1.0,10.0,MIA 35,0.0,0.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 6 yards (tackle by Dane Belton),1.27,1.53,5.0,2023,70
1.0,10:10,2.0,4.0,MIA 41,0.0,0.0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 20 yards (tackle by Xavier McKinney),1.53,2.98,5.0,2023,70
1.0,9:32,1.0,10.0,NYG 39,0.0,0.0,Tua Tagovailoa pass complete short right to Cedrick Wilson for 23 yards (tackle by Xavier McKinney),2.98,4.51,5.0,2023,70
