Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Bengals to receive the opening kickoff.",,,12.0,2022,168
1.0,15:00,,,TEN 35,0.0,0.0,"Caleb Shudak kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,168
1.0,15:00,1.0,10.0,CIN 25,0.0,0.0,Joe Burrow pass complete short left to Samaje Perine for 7 yards (tackle by Kristian Fulton and Amani Hooker),0.61,1.01,12.0,2022,168
1.0,14:20,2.0,3.0,CIN 32,0.0,0.0,Joe Burrow pass complete short left to Tee Higgins for 4 yards (tackle by Kristian Fulton),1.01,1.33,12.0,2022,168
1.0,13:49,1.0,10.0,CIN 36,0.0,0.0,Joe Burrow pass incomplete short left intended for Hayden Hurst (defended by Andrew Adams),1.33,0.79,12.0,2022,168
1.0,13:47,2.0,10.0,CIN 36,0.0,0.0,Joe Burrow scrambles up the middle for 13 yards (tackle by Kristian Fulton),0.79,2.19,12.0,2022,168
1.0,13:08,1.0,10.0,CIN 49,0.0,0.0,Joe Burrow pass complete short right to Tee Higgins for 7 yards (tackle by Roger McCreary),2.19,2.59,12.0,2022,168
1.0,12:35,2.0,3.0,TEN 44,0.0,0.0,Joe Burrow pass incomplete short right intended for Samaje Perine (defended by Mario Edwards),2.59,1.88,12.0,2022,168
1.0,12:32,3.0,3.0,TEN 44,0.0,0.0,"Joe Burrow pass complete short left to Tee Higgins for no gain (tackle by Roger McCreary and David Long). Penalty on Chris Evans: Offensive Pass Interference, 10 yards (accepted) (no play)",1.88,0.56,12.0,2022,168
1.0,12:05,3.0,13.0,CIN 46,0.0,0.0,Joe Burrow pass incomplete short right intended for Trenton Irwin (defended by Tre Avery),0.56,-0.32,12.0,2022,168
1.0,12:01,4.0,13.0,CIN 46,0.0,0.0,"Drue Chrisman punts 48 yards, returned by C.J. Board for 12 yards (tackle by Michael Thomas and Joe Bachie)",-0.32,-0.04,12.0,2022,168
1.0,11:50,1.0,10.0,TEN 18,0.0,0.0,Derrick Henry right tackle for 9 yards (tackle by Cam Taylor-Britt),0.04,0.82,12.0,2022,168
1.0,11:21,2.0,1.0,TEN 27,0.0,0.0,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)",0.82,0.14,12.0,2022,168
1.0,11:01,2.0,6.0,TEN 22,0.0,0.0,Dontrell Hilliard right end for 5 yards (tackle by Germaine Pratt),0.14,-0.02,12.0,2022,168
1.0,10:21,3.0,1.0,TEN 27,0.0,0.0,Ryan Tannehill pass complete short left to Treylon Burks for 4 yards (tackle by Logan Wilson),-0.02,1.0,12.0,2022,168
1.0,9:43,1.0,10.0,TEN 31,0.0,0.0,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by Eli Apple),1.0,1.8,12.0,2022,168
1.0,9:09,1.0,10.0,TEN 43,0.0,0.0,Derrick Henry left guard for 3 yards (tackle by Sam Hubbard and B.J. Hill),1.8,1.66,12.0,2022,168
1.0,8:36,2.0,7.0,TEN 46,0.0,0.0,"Penalty on Ryan Tannehill: False Start, 5 yards (accepted) (no play)",1.66,0.98,12.0,2022,168
1.0,8:16,2.0,12.0,TEN 41,0.0,0.0,Ryan Tannehill pass incomplete short left intended for Nick Westbrook-Ikhine (defended by D.J. Reader),0.98,0.3,12.0,2022,168
1.0,8:14,3.0,12.0,TEN 41,0.0,0.0,Ryan Tannehill pass complete short right to Treylon Burks for 8 yards (tackle by Logan Wilson),0.3,-0.13,12.0,2022,168
1.0,7:33,4.0,4.0,TEN 49,0.0,0.0,"Ryan Stonehouse punts 44 yards, fair catch by Trent Taylor at CIN-7. Penalty on Joe Bachie: Offensive Holding, 3 yards (accepted)",-0.13,0.38,12.0,2022,168
1.0,7:26,1.0,10.0,CIN 4,0.0,0.0,Samaje Perine right guard for 3 yards (tackle by Rashad Weaver and Jeffery Simmons),-0.38,-0.56,12.0,2022,168
1.0,6:55,2.0,7.0,CIN 7,0.0,0.0,Joe Burrow pass incomplete short right intended for Tee Higgins,-0.56,-1.07,12.0,2022,168
1.0,6:52,3.0,7.0,CIN 7,0.0,0.0,Joe Burrow pass incomplete short right intended for Tyler Boyd,-1.07,-2.49,12.0,2022,168
1.0,6:48,4.0,7.0,CIN 7,0.0,0.0,"Drue Chrisman punts 62 yards, returned by C.J. Board for 9 yards (tackle by Markus Bailey)",-2.49,-1.6,12.0,2022,168
1.0,6:36,1.0,10.0,TEN 40,0.0,0.0,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by D.J. Reader),1.6,1.05,12.0,2022,168
1.0,6:33,2.0,10.0,TEN 40,0.0,0.0,Ryan Tannehill pass complete short left to Derrick Henry for 1 yard (tackle by Vonn Bell and B.J. Hill),1.05,0.5,12.0,2022,168
1.0,5:43,3.0,9.0,TEN 41,0.0,0.0,"Penalty on Trey Hendrickson: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.5,1.16,12.0,2022,168
