Unnamed: 0,LAC,ARI,week,year,game_id
First Downs,22,20,12.0,2022,176
Rush-Yds-TDs,13-65-0,34-181-1,12.0,2022,176
Cmp-Att-Yd-TD-INT,35-47-274-3-0,18-29-191-2-1,12.0,2022,176
Sacked-Yards,4-28,1-6,12.0,2022,176
Net Pass Yards,246,185,12.0,2022,176
Total Yards,311,366,12.0,2022,176
Fumbles-Lost,1-0,1-1,12.0,2022,176
Turnovers,0,2,12.0,2022,176
Penalties-Yards,4-30,3-19,12.0,2022,176
Third Down Conv.,6-13,7-13,12.0,2022,176
Fourth Down Conv.,0-0,0-1,12.0,2022,176
Time of Possession,29:25,30:35,12.0,2022,176
