Quarter,Time,Tm,Detail,NOR,SFO,week,year,game_id
1,8:01,49ers,Robbie Gould 24 yard field goal,0,3,12.0,2022,178
2,0:13,49ers,Jauan Jennings 5 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,10,12.0,2022,178
3,10:25,49ers,Robbie Gould 46 yard field goal,0,13,12.0,2022,178
