Unnamed: 0,TAM,CLE,week,year,game_id
First Downs,16,22,12.0,2022,169
Rush-Yds-TDs,20-96-0,34-189-2,12.0,2022,169
Cmp-Att-Yd-TD-INT,29-43-246-2-0,23-37-210-1-1,12.0,2022,169
Sacked-Yards,3-17,4-32,12.0,2022,169
Net Pass Yards,229,178,12.0,2022,169
Total Yards,325,367,12.0,2022,169
Fumbles-Lost,0-0,0-0,12.0,2022,169
Turnovers,0,1,12.0,2022,169
Penalties-Yards,9-70,5-42,12.0,2022,169
Third Down Conv.,4-15,5-17,12.0,2022,169
Fourth Down Conv.,1-1,2-4,12.0,2022,169
Time of Possession,30:37,39:04,12.0,2022,169
