Unnamed: 0,CHI,NYJ,week,year,game_id
First Downs,14,22,12.0,2022,174
Rush-Yds-TDs,29-127-0,32-158-1,12.0,2022,174
Cmp-Att-Yd-TD-INT,14-25-179-1-1,22-29-315-3-0,12.0,2022,174
Sacked-Yards,2-14,1-7,12.0,2022,174
Net Pass Yards,165,308,12.0,2022,174
Total Yards,292,466,12.0,2022,174
Fumbles-Lost,2-0,2-0,12.0,2022,174
Turnovers,1,0,12.0,2022,174
Penalties-Yards,1-10,1-5,12.0,2022,174
Third Down Conv.,4-13,7-12,12.0,2022,174
Fourth Down Conv.,2-3,0-1,12.0,2022,174
Time of Possession,27:55,32:05,12.0,2022,174
