Unnamed: 0,DEN,CAR,week,year,game_id
First Downs,14,19,12.0,2022,173
Rush-Yds-TDs,19-121-0,46-185-1,12.0,2022,173
Cmp-Att-Yd-TD-INT,19-35-142-1-0,11-19-164-1-0,12.0,2022,173
Sacked-Yards,3-17,0-0,12.0,2022,173
Net Pass Yards,125,164,12.0,2022,173
Total Yards,246,349,12.0,2022,173
Fumbles-Lost,2-2,2-1,12.0,2022,173
Turnovers,2,1,12.0,2022,173
Penalties-Yards,4-44,4-34,12.0,2022,173
Third Down Conv.,4-14,2-12,12.0,2022,173
Fourth Down Conv.,0-1,2-2,12.0,2022,173
Time of Possession,22:57,37:03,12.0,2022,173
