Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Justin Herbert,LAC,4,38,0,23,12.0,2022,176
Austin Ekeler,LAC,5,20,0,9,12.0,2022,176
Joshua Kelley,LAC,2,4,0,4,12.0,2022,176
Isaiah Spiller,LAC,2,3,0,3,12.0,2022,176
DeAndre Carter,LAC,0,0,0,0,12.0,2022,176
Josh Palmer,LAC,0,0,0,0,12.0,2022,176
Keenan Allen,LAC,0,0,0,0,12.0,2022,176
Gerald Everett,LAC,0,0,0,0,12.0,2022,176
Kyler Murray,ARI,7,56,1,18,12.0,2022,176
James Conner,ARI,25,120,0,20,12.0,2022,176
Keaontay Ingram,ARI,2,5,0,4,12.0,2022,176
DeAndre Hopkins,ARI,0,0,0,0,12.0,2022,176
Marquise Brown,ARI,0,0,0,0,12.0,2022,176
Robbie Chosen,ARI,0,0,0,0,12.0,2022,176
Corey Clement,ARI,0,0,0,0,12.0,2022,176
Andre Baccellia,ARI,0,0,0,0,12.0,2022,176
A.J. Green,ARI,0,0,0,0,12.0,2022,176
Trey McBride,ARI,0,0,0,0,12.0,2022,176
