Quarter,Time,Down,ToGo,Location,BUF,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Lions to receive the opening kickoff.",,,12.0,2022,165
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, returned by Justin Jackson for 24 yards (tackle by Tyler Matakevich)",0.0,0.54,12.0,2022,165
1.0,14:55,1.0,10.0,DET 24,0.0,0.0,D'Andre Swift right end for no gain (tackle by Tyrel Dodson),0.54,0.0,12.0,2022,165
1.0,14:27,2.0,10.0,DET 24,0.0,0.0,Jared Goff pass incomplete short right,0.0,-0.69,12.0,2022,165
1.0,14:20,3.0,10.0,DET 24,0.0,0.0,Jared Goff pass incomplete deep right intended for DJ Chark,-0.69,-1.77,12.0,2022,165
1.0,14:15,4.0,10.0,DET 24,0.0,0.0,Jack Fox punts 57 yards downed by Anthony Pittman,-1.77,-0.15,12.0,2022,165
1.0,14:02,1.0,10.0,BUF 19,0.0,0.0,Josh Allen pass incomplete short left intended for Stefon Diggs,0.15,-0.39,12.0,2022,165
1.0,13:59,2.0,10.0,BUF 19,0.0,0.0,Devin Singletary left tackle for 3 yards (tackle by Alim McNeill),-0.39,-0.68,12.0,2022,165
1.0,13:23,3.0,7.0,BUF 22,0.0,0.0,Josh Allen pass incomplete deep right,-0.68,-1.9,12.0,2022,165
1.0,13:14,4.0,7.0,BUF 22,0.0,0.0,"Sam Martin punts 56 yards, returned by Kalif Raymond for 13 yards. Kalif Raymond fumbles (forced by Quintin Morris), recovered by James Houston at DET-39 (tackle by Quintin Morris)",-1.9,-1.53,12.0,2022,165
1.0,13:01,1.0,10.0,DET 39,0.0,0.0,Jamaal Williams left tackle for 4 yards (tackle by Von Miller),1.53,1.53,12.0,2022,165
1.0,12:21,2.0,6.0,DET 43,0.0,0.0,Jared Goff pass incomplete short right intended for Brock Wright,1.53,0.83,12.0,2022,165
1.0,12:14,3.0,6.0,DET 43,0.0,0.0,"Penalty on Boogie Basham: Neutral Zone Infraction, 5 yards (accepted) (no play)",0.83,1.49,12.0,2022,165
1.0,12:14,3.0,1.0,DET 48,0.0,0.0,Jamaal Williams up the middle for 6 yards (tackle by Dane Jackson),1.49,2.52,12.0,2022,165
1.0,11:41,1.0,10.0,BUF 46,0.0,0.0,Jamaal Williams up the middle for 3 yards (tackle by A.J. Klein),2.52,2.38,12.0,2022,165
1.0,11:07,2.0,7.0,BUF 43,0.0,0.0,Jared Goff pass complete short middle to DJ Chark for 15 yards (tackle by Dane Jackson),2.38,3.71,12.0,2022,165
1.0,10:28,1.0,10.0,BUF 28,0.0,0.0,Jared Goff pass incomplete deep left intended for DJ Chark (defended by Dane Jackson),3.71,3.17,12.0,2022,165
1.0,10:23,2.0,10.0,BUF 28,0.0,0.0,Justin Jackson left end for 2 yards (tackle by A.J. Klein),3.17,2.74,12.0,2022,165
1.0,9:45,3.0,8.0,BUF 26,0.0,0.0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 12 yards (tackle by Dane Jackson and Damar Hamlin),2.74,4.65,12.0,2022,165
1.0,9:05,1.0,10.0,BUF 14,0.0,0.0,Jared Goff pass complete short right to Kalif Raymond for 6 yards (tackle by Matt Milano and Damar Hamlin),4.65,5.09,12.0,2022,165
1.0,8:25,2.0,4.0,BUF 8,0.0,0.0,Jamaal Williams right end for no gain (tackle by A.J. Klein and Tim Settle),5.09,4.28,12.0,2022,165
1.0,7:43,3.0,4.0,BUF 8,0.0,0.0,Jamaal Williams left tackle for 3 yards (tackle by DaQuan Jones),4.28,3.03,12.0,2022,165
1.0,7:00,4.0,1.0,BUF 5,0.0,0.0,"Jared Goff for no gain. Penalty on Tim Settle: Defensive Offside, 3 yards (accepted) (no play)",3.03,6.74,12.0,2022,165
1.0,6:47,1.0,2.0,BUF 2,0.0,6.0,"Jamaal Williams for 2 yards, touchdown",6.74,7.0,12.0,2022,165
1.0,6:44,,,BUF 15,0.0,7.0,Michael Badgley kicks extra point good,0.0,0.0,12.0,2022,165
1.0,6:44,,,DET 35,0.0,7.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,165
1.0,6:44,1.0,10.0,BUF 25,0.0,7.0,Nyheim Hines left end for 3 yards (tackle by Alim McNeill and John Cominsky),0.61,0.47,12.0,2022,165
1.0,6:06,2.0,7.0,BUF 28,0.0,7.0,Josh Allen pass complete deep left to Gabriel Davis for 16 yards (tackle by Jerry Jacobs),0.47,1.86,12.0,2022,165
1.0,5:28,1.0,10.0,BUF 44,0.0,7.0,Devin Singletary up the middle for 1 yard (tackle by Mike Hughes and Alim McNeill),1.86,1.45,12.0,2022,165
1.0,4:50,2.0,9.0,BUF 45,0.0,7.0,Josh Allen pass complete short right to Devin Singletary for 8 yards (tackle by Alex Anzalone and DeShon Elliott),1.45,1.82,12.0,2022,165
1.0,4:18,3.0,1.0,DET 47,0.0,7.0,Devin Singletary up the middle for 3 yards (tackle by Malcolm Rodriguez),1.82,2.65,12.0,2022,165
1.0,3:39,1.0,10.0,DET 44,0.0,7.0,Josh Allen pass incomplete short right intended for James Cook,2.65,2.11,12.0,2022,165
1.0,3:33,2.0,10.0,DET 44,0.0,7.0,Josh Allen scrambles up the middle for 21 yards (tackle by Kerby Joseph),2.11,4.04,12.0,2022,165
1.0,2:52,1.0,10.0,DET 23,0.0,7.0,Josh Allen pass incomplete deep left,4.04,3.5,12.0,2022,165
1.0,2:45,2.0,10.0,DET 23,0.0,7.0,Isaiah McKenzie left tackle for 4 yards (tackle by Alex Anzalone),3.5,3.34,12.0,2022,165
1.0,2:04,3.0,6.0,DET 19,6.0,7.0,"Josh Allen pass complete deep left to Isaiah McKenzie for 19 yards, touchdown",3.34,7.0,12.0,2022,165
1.0,1:58,,,DET 15,7.0,7.0,Tyler Bass kicks extra point good,0.0,0.0,12.0,2022,165
1.0,1:58,,,BUF 35,7.0,7.0,"Tyler Bass kicks off 60 yards, returned by Justin Jackson for 23 yards (tackle by Tyler Matakevich and Jaquan Johnson)",0.0,0.81,12.0,2022,165
1.0,1:52,1.0,10.0,DET 28,7.0,7.0,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Matt Milano),0.81,1.34,12.0,2022,165
1.0,1:35,2.0,2.0,DET 36,7.0,7.0,Jared Goff sacked by DaQuan Jones for -7 yards,1.34,-0.3,12.0,2022,165
1.0,0:48,3.0,9.0,DET 29,7.0,7.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Christian Benford),-0.3,1.73,12.0,2022,165
2.0,15:00,1.0,10.0,DET 42,7.0,7.0,Jared Goff pass incomplete short right,1.73,1.19,12.0,2022,165
2.0,14:54,2.0,10.0,DET 42,7.0,7.0,Jared Goff pass complete short left to Justin Jackson for 15 yards (tackle by Jordan Poyer and Matt Milano),1.19,2.72,12.0,2022,165
2.0,14:10,1.0,10.0,BUF 43,7.0,7.0,D'Andre Swift right end for 2 yards (tackle by Ed Oliver),2.72,2.45,12.0,2022,165
