Unnamed: 0,ATL,WAS,week,year,game_id
First Downs,18,20,12.0,2022,172
Rush-Yds-TDs,29-167-0,37-176-0,12.0,2022,172
Cmp-Att-Yd-TD-INT,15-25-174-1-1,14-23-138-2-1,12.0,2022,172
Sacked-Yards,1-9,0-0,12.0,2022,172
Net Pass Yards,165,138,12.0,2022,172
Total Yards,332,314,12.0,2022,172
Fumbles-Lost,0-0,0-0,12.0,2022,172
Turnovers,1,1,12.0,2022,172
Penalties-Yards,2-20,4-28,12.0,2022,172
Third Down Conv.,4-10,5-12,12.0,2022,172
Fourth Down Conv.,0-1,1-1,12.0,2022,172
Time of Possession,26:51,33:09,12.0,2022,172
