Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Russell Wilson,DEN,2,8,0,6,12.0,2022,173
Latavius Murray,DEN,13,92,0,52,12.0,2022,173
Kendall Hinton,DEN,1,13,0,13,12.0,2022,173
Marlon Mack,DEN,2,7,0,7,12.0,2022,173
Montrell Washington,DEN,1,1,0,1,12.0,2022,173
Courtland Sutton,DEN,0,0,0,0,12.0,2022,173
Greg Dulcich,DEN,0,0,0,0,12.0,2022,173
Brandon Johnson,DEN,0,0,0,0,12.0,2022,173
Devine Ozigbo,DEN,0,0,0,0,12.0,2022,173
Jalen Virgil,DEN,0,0,0,0,12.0,2022,173
Sam Darnold,CAR,3,3,1,2,12.0,2022,173
D'Onta Foreman,CAR,24,113,0,18,12.0,2022,173
Chuba Hubbard,CAR,17,65,0,12,12.0,2022,173
Laviska Shenault Jr.,CAR,1,2,0,2,12.0,2022,173
Sean Chandler,CAR,1,2,0,2,12.0,2022,173
D.J. Moore,CAR,0,0,0,0,12.0,2022,173
Ian Thomas,CAR,0,0,0,0,12.0,2022,173
Raheem Blackshear,CAR,0,0,0,0,12.0,2022,173
Terrace Marshall Jr.,CAR,0,0,0,0,12.0,2022,173
Tommy Tremble,CAR,0,0,0,0,12.0,2022,173
