Unnamed: 0,CIN,TEN,week,year,game_id
First Downs,21,15,12.0,2022,168
Rush-Yds-TDs,28-108-1,21-63-0,12.0,2022,168
Cmp-Att-Yd-TD-INT,22-37-270-1-0,22-34-291-0-0,12.0,2022,168
Sacked-Yards,1-4,1-10,12.0,2022,168
Net Pass Yards,266,281,12.0,2022,168
Total Yards,374,344,12.0,2022,168
Fumbles-Lost,0-0,1-0,12.0,2022,168
Turnovers,0,0,12.0,2022,168
Penalties-Yards,9-80,8-57,12.0,2022,168
Third Down Conv.,5-14,7-16,12.0,2022,168
Fourth Down Conv.,0-0,0-0,12.0,2022,168
Time of Possession,31:46,28:14,12.0,2022,168
