Unnamed: 0,LVR,SEA,week,year,game_id
First Downs,27,22,12.0,2022,175
Rush-Yds-TDs,40-283-2,23-65-2,12.0,2022,175
Cmp-Att-Yd-TD-INT,25-36-295-3-2,27-37-328-2-1,12.0,2022,175
Sacked-Yards,1-2,3-21,12.0,2022,175
Net Pass Yards,293,307,12.0,2022,175
Total Yards,576,372,12.0,2022,175
Fumbles-Lost,1-0,1-1,12.0,2022,175
Turnovers,2,2,12.0,2022,175
Penalties-Yards,7-50,2-10,12.0,2022,175
Third Down Conv.,8-14,3-9,12.0,2022,175
Fourth Down Conv.,1-2,0-0,12.0,2022,175
Time of Possession,37:35,28:05,12.0,2022,175
