Quarter,Time,Down,ToGo,Location,HOU,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Texans to receive the opening kickoff.",,,12.0,2022,170
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,170
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,Dare Ogunbowale right tackle for 1 yard (tackle by Jerome Baker and Jaelan Phillips),0.61,0.2,12.0,2022,170
1.0,14:22,2.0,9.0,HOU 26,0.0,0.0,Dameon Pierce right guard for 3 yards (tackle by Zach Sieler and Elandon Roberts),0.2,-0.1,12.0,2022,170
1.0,13:42,3.0,6.0,HOU 29,0.0,0.0,Kyle Allen pass incomplete deep right intended for O.J. Howard,-0.1,-1.44,12.0,2022,170
1.0,13:32,4.0,6.0,HOU 29,0.0,0.0,"Cameron Johnston punts 52 yards, returned by Cedrick Wilson for 15 yards (tackle by Eric Murray)",-1.44,-1.2,12.0,2022,170
1.0,13:22,1.0,10.0,MIA 34,0.0,0.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 11 yards (tackle by Steven Nelson),1.2,1.93,12.0,2022,170
1.0,12:59,1.0,10.0,MIA 45,0.0,0.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 13 yards (tackle by Jalen Pitre),1.93,2.79,12.0,2022,170
1.0,12:22,1.0,10.0,HOU 42,0.0,0.0,Jeff Wilson right guard for 3 yards (tackle by Christian Kirksey and Roy Lopez),2.79,2.65,12.0,2022,170
1.0,11:47,2.0,7.0,HOU 39,0.0,0.0,Tua Tagovailoa pass incomplete short right intended for Jeff Wilson,2.65,1.95,12.0,2022,170
1.0,11:42,3.0,7.0,HOU 39,0.0,0.0,Tua Tagovailoa pass complete deep middle to Jaylen Waddle for 22 yards (tackle by Jalen Pitre),1.95,4.44,12.0,2022,170
1.0,11:02,1.0,10.0,HOU 17,0.0,0.0,"Jeff Wilson right end for no gain (tackle by Steven Nelson). Penalty on Robert Hunt: Offensive Holding, 10 yards (accepted) (no play)",4.44,3.78,12.0,2022,170
1.0,10:36,1.0,20.0,HOU 27,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,3.78,2.54,12.0,2022,170
1.0,10:33,2.0,20.0,HOU 27,0.0,0.0,Tua Tagovailoa pass incomplete short middle intended for Cedrick Wilson,2.54,1.88,12.0,2022,170
1.0,10:30,3.0,20.0,HOU 27,0.0,0.0,Tua Tagovailoa pass incomplete short left intended for Trent Sherfield,1.88,1.67,12.0,2022,170
1.0,10:26,4.0,20.0,HOU 27,0.0,3.0,Jason Sanders 45 yard field goal good,1.67,3.0,12.0,2022,170
1.0,10:21,,,MIA 35,0.0,3.0,"Jason Sanders kicks off 69 yards, returned by Tremon Smith for 14 yards (tackle by Justin Bethel and Clayton Fejedelem)",0.0,-0.38,12.0,2022,170
1.0,10:14,1.0,10.0,HOU 10,0.0,3.0,Kyle Allen pass complete short right to Nico Collins for 11 yards (tackle by Jaelan Phillips),-0.38,0.34,12.0,2022,170
1.0,9:41,1.0,10.0,HOU 21,0.0,3.0,Dameon Pierce up the middle for 1 yard (tackle by Christian Wilkins and Kader Kohou),0.34,-0.07,12.0,2022,170
1.0,9:06,2.0,9.0,HOU 22,0.0,3.0,Kyle Allen pass complete short left to Brandin Cooks for no gain (tackle by Jevon Holland),-0.07,-0.76,12.0,2022,170
1.0,8:29,3.0,9.0,HOU 22,0.0,3.0,Kyle Allen sacked by Melvin Ingram for -13 yards,-0.76,-2.49,12.0,2022,170
1.0,7:52,4.0,22.0,HOU 9,0.0,3.0,"Cameron Johnston punts 56 yards, returned by Cedrick Wilson for 6 yards (tackle by M.J. Stewart)",-2.49,-1.66,12.0,2022,170
1.0,7:41,1.0,10.0,MIA 41,0.0,3.0,Tua Tagovailoa pass complete deep right to Trent Sherfield for 24 yards (tackle by Jalen Pitre),1.66,3.25,12.0,2022,170
1.0,7:02,1.0,10.0,HOU 35,0.0,3.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 14 yards (tackle by Jalen Pitre),3.25,4.17,12.0,2022,170
