Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Charles Leno Jr.,T,62,100%,0,0%,4,17%,1,Commanders,12.0,2022,172
Andrew Norwell,G,62,100%,0,0%,4,17%,1,Commanders,12.0,2022,172
Taylor Heinicke,QB,62,100%,0,0%,0,0%,1,Commanders,12.0,2022,172
Tyler Larsen,C,62,100%,0,0%,0,0%,1,Commanders,12.0,2022,172
Terry McLaurin,WR,51,82%,0,0%,0,0%,1,Commanders,12.0,2022,172
Logan Thomas,TE,44,71%,0,0%,0,0%,1,Commanders,12.0,2022,172
Jahan Dotson,WR,38,61%,0,0%,0,0%,1,Commanders,12.0,2022,172
Trai Turner,G,37,60%,0,0%,4,17%,1,Commanders,12.0,2022,172
Curtis Samuel,WR,37,60%,0,0%,0,0%,1,Commanders,12.0,2022,172
John Bates,TE,36,58%,0,0%,4,17%,1,Commanders,12.0,2022,172
Samuel Cosmi,T,36,58%,0,0%,4,17%,1,Commanders,12.0,2022,172
Brian Robinson Jr.,RB,30,48%,0,0%,0,0%,1,Commanders,12.0,2022,172
Cornelius Lucas,T,26,42%,0,0%,4,17%,1,Commanders,12.0,2022,172
Antonio Gibson,RB,26,42%,0,0%,4,17%,1,Commanders,12.0,2022,172
Saahdiq Charles,T,25,40%,0,0%,4,17%,1,Commanders,12.0,2022,172
Cole Turner,TE,20,32%,0,0%,8,33%,1,Commanders,12.0,2022,172
Dyami Brown,WR,14,23%,0,0%,0,0%,1,Commanders,12.0,2022,172
Cam Sims,WR,9,15%,0,0%,15,63%,1,Commanders,12.0,2022,172
Jonathan Williams,RB,5,8%,0,0%,13,54%,1,Commanders,12.0,2022,172
Darrick Forrest,SS,0,0%,57,100%,2,8%,1,Commanders,12.0,2022,172
Jamin Davis,LB,0,0%,57,100%,0,0%,1,Commanders,12.0,2022,172
Kamren Curl,SS,0,0%,57,100%,0,0%,1,Commanders,12.0,2022,172
Kendall Fuller,CB,0,0%,56,98%,0,0%,1,Commanders,12.0,2022,172
Christian Holmes,CB,0,0%,55,97%,2,8%,1,Commanders,12.0,2022,172
Bobby McCain,FS,0,0%,53,93%,0,0%,1,Commanders,12.0,2022,172
Jonathan Allen,DT,0,0%,51,90%,0,0%,1,Commanders,12.0,2022,172
Daron Payne,DT,0,0%,50,88%,5,21%,1,Commanders,12.0,2022,172
Montez Sweat,DE,0,0%,41,72%,0,0%,1,Commanders,12.0,2022,172
James Smith-Williams,DE,0,0%,36,63%,0,0%,1,Commanders,12.0,2022,172
John Ridgeway,DT,0,0%,31,54%,5,21%,1,Commanders,12.0,2022,172
Jonathan Bostic,LB,0,0%,27,47%,0,0%,1,Commanders,12.0,2022,172
Casey Toohill,DE,0,0%,19,33%,9,38%,1,Commanders,12.0,2022,172
Efe Obada,DE,0,0%,18,32%,11,46%,1,Commanders,12.0,2022,172
Daniel Wise,DE,0,0%,7,12%,0,0%,1,Commanders,12.0,2022,172
David Mayo,LB,0,0%,5,9%,20,83%,1,Commanders,12.0,2022,172
Percy Butler,FS,0,0%,5,9%,20,83%,1,Commanders,12.0,2022,172
Khaleke Hudson,LB,0,0%,1,2%,20,83%,1,Commanders,12.0,2022,172
Jeremy Reaves,FS,0,0%,0,0%,20,83%,1,Commanders,12.0,2022,172
Shaka Toney,DE,0,0%,0,0%,20,83%,1,Commanders,12.0,2022,172
Milo Eifler,LB,0,0%,0,0%,19,79%,1,Commanders,12.0,2022,172
Danny Johnson,CB,0,0%,0,0%,10,42%,1,Commanders,12.0,2022,172
Joey Slye,K,0,0%,0,0%,9,38%,1,Commanders,12.0,2022,172
Tress Way,P,0,0%,0,0%,8,33%,1,Commanders,12.0,2022,172
Camaron Cheeseman,LS,0,0%,0,0%,8,33%,1,Commanders,12.0,2022,172
Rachad Wildgoose,CB,0,0%,0,0%,5,21%,1,Commanders,12.0,2022,172
Alex Erickson,WR,0,0%,0,0%,3,13%,1,Commanders,12.0,2022,172
