Unnamed: 0,NYG,DAL,week,year,game_id
First Downs,21,26,12.0,2022,166
Rush-Yds-TDs,21-90-1,39-169-2,12.0,2022,166
Cmp-Att-Yd-TD-INT,21-35-228-1-0,21-30-261-2-2,12.0,2022,166
Sacked-Yards,3-18,0-0,12.0,2022,166
Net Pass Yards,210,261,12.0,2022,166
Total Yards,300,430,12.0,2022,166
Fumbles-Lost,1-0,1-0,12.0,2022,166
Turnovers,0,2,12.0,2022,166
Penalties-Yards,7-66,13-86,12.0,2022,166
Third Down Conv.,3-11,7-11,12.0,2022,166
Fourth Down Conv.,0-2,0-1,12.0,2022,166
Time of Possession,25:51,34:09,12.0,2022,166
