Quarter,Time,Down,ToGo,Location,TAM,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,,12.0,2022,169
1,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 66 yards, returned by Jerome Ford for 23 yards (tackle by Ko Kieft)",0.0,0.41,12.0,2022,169
1,14:56,1.0,10.0,CLE 22,0.0,0.0,Nick Chubb right tackle for 5 yards (tackle by Rakeem Nunez-Roches),0.41,0.54,12.0,2022,169
1,14:01,2.0,5.0,CLE 27,0.0,0.0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 7 yards (tackle by Carlton Davis),0.54,1.2,12.0,2022,169
1,13:35,1.0,10.0,CLE 34,0.0,0.0,Jacoby Brissett pass complete short right to Amari Cooper for 12 yards (tackle by Carlton Davis),1.2,1.99,12.0,2022,169
1,13:00,1.0,10.0,CLE 46,0.0,0.0,Nick Chubb left tackle for -1 yards (tackle by William Gholston),1.99,1.32,12.0,2022,169
1,12:23,2.0,11.0,CLE 45,0.0,0.0,Jacoby Brissett pass complete short right to Donovan Peoples-Jones for 9 yards (tackle by Sean Murphy-Bunting),1.32,1.82,12.0,2022,169
1,11:34,,,,,,Timeout #1 by Cleveland Browns,,,12.0,2022,169
1,11:34,3.0,2.0,TAM 46,0.0,0.0,Nick Chubb right tackle for 15 yards (tackle by Antoine Winfield),1.82,3.51,12.0,2022,169
1,10:53,1.0,10.0,TAM 31,0.0,6.0,"Anthony Schwartz right end for 31 yards, touchdown",3.51,7.0,12.0,2022,169
1,10:45,,,TAM 15,0.0,7.0,Cade York kicks extra point good,0.0,0.0,12.0,2022,169
1,10:45,,,CLE 35,0.0,7.0,"Cade York kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,169
1,10:45,1.0,10.0,TAM 25,0.0,7.0,Rachaad White right guard for 7 yards (tackle by Sione Takitaki and Jadeveon Clowney),0.61,1.01,12.0,2022,169
1,10:07,2.0,3.0,TAM 32,0.0,7.0,Tom Brady pass complete short left to Chris Godwin for 3 yards (tackle by Denzel Ward),1.01,1.27,12.0,2022,169
1,9:38,1.0,10.0,TAM 35,0.0,7.0,Rachaad White left tackle for 35 yards (tackle by Martin Emerson),1.27,3.58,12.0,2022,169
1,8:55,1.0,10.0,CLE 30,0.0,7.0,Tom Brady pass complete short left to Rachaad White for 5 yards (tackle by Tony Fields),3.58,3.64,12.0,2022,169
1,8:16,2.0,6.0,CLE 25,0.0,7.0,Ke'Shawn Vaughn left tackle for 4 yards (tackle by John Johnson),3.64,3.53,12.0,2022,169
1,7:38,3.0,1.0,CLE 21,0.0,7.0,Ke'Shawn Vaughn left tackle for 6 yards (tackle by Tony Fields),3.53,4.58,12.0,2022,169
1,6:56,1.0,10.0,CLE 15,0.0,7.0,Rachaad White left guard for 4 yards (tackle by Grant Delpit),4.58,4.64,12.0,2022,169
1,6:15,2.0,6.0,CLE 11,0.0,7.0,"Penalty on Josh Wells: False Start, 5 yards (accepted) (no play)",4.64,3.81,12.0,2022,169
1,5:58,2.0,11.0,CLE 16,0.0,7.0,Tom Brady pass complete short right to Julio Jones for 6 yards (tackle by Denzel Ward),3.81,4.0,12.0,2022,169
1,5:17,3.0,5.0,CLE 10,6.0,7.0,"Tom Brady pass complete short left to Chris Godwin for 10 yards, touchdown Penalty on CLE: Defensive Pass Interference, 15 yards (declined)",4.0,7.0,12.0,2022,169
1,5:11,,,CLE 15,7.0,7.0,Ryan Succop kicks extra point good,0.0,0.0,12.0,2022,169
1,5:11,,,TAM 35,7.0,7.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,169
