Quarter,Time,Tm,Detail,CIN,TEN,week,year,game_id
2.0,14:06,Titans,Caleb Shudak 33 yard field goal,0,3,12.0,2022,168
,11:30,Bengals,Evan McPherson 47 yard field goal,3,3,12.0,2022,168
,11:15,Titans,Treylon Burks fumble recovery in end zone (Caleb Shudak kick),3,10,12.0,2022,168
,1:55,Bengals,Samaje Perine 7 yard rush (Evan McPherson kick),10,10,12.0,2022,168
3.0,2:35,Bengals,Evan McPherson 38 yard field goal,13,10,12.0,2022,168
,0:39,Titans,Caleb Shudak 24 yard field goal,13,13,12.0,2022,168
4.0,13:42,Bengals,Tee Higgins 27 yard pass from Joe Burrow (Evan McPherson kick),20,13,12.0,2022,168
,6:07,Titans,Caleb Shudak 38 yard field goal,20,16,12.0,2022,168
