Quarter,Time,Down,ToGo,Location,LVR,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Raiders to receive the opening kickoff.",,,12.0,2022,175
1,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, returned by Ameer Abdullah for 20 yards (tackle by Josh Jones)",0.0,0.28,12.0,2022,175
1,14:55,1.0,10.0,LVR 20,0.0,0.0,Derek Carr pass deep middle intended for Davante Adams is intercepted by Quandre Diggs at LV-36 and returned for 24 yards (tackle by Josh Jacobs),0.28,-4.78,12.0,2022,175
1,14:45,1.0,10.0,LVR 12,0.0,0.0,Geno Smith pass incomplete short middle intended for D.K. Metcalf (defended by Trevon Moehrig),4.78,4.1,12.0,2022,175
1,14:39,2.0,10.0,LVR 12,0.0,6.0,"Kenneth Walker right end for 12 yards, touchdown",4.1,7.0,12.0,2022,175
1,14:32,,,LVR 15,0.0,7.0,Jason Myers kicks extra point good,0.0,0.0,12.0,2022,175
1,14:32,,,SEA 35,0.0,7.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,175
1,14:32,1.0,10.0,LVR 25,0.0,7.0,Josh Jacobs up the middle for 3 yards (tackle by Al Woods and Cody Barton),0.61,0.47,12.0,2022,175
1,13:56,2.0,7.0,LVR 28,0.0,7.0,Derek Carr pass incomplete short right intended for Jakob Johnson (defended by Jordyn Brooks),0.47,-0.23,12.0,2022,175
1,13:50,3.0,7.0,LVR 28,0.0,7.0,Derek Carr pass complete short right to Ameer Abdullah for 12 yards (tackle by Coby Bryant),-0.23,1.6,12.0,2022,175
1,13:13,1.0,10.0,LVR 40,0.0,7.0,Josh Jacobs left tackle for no gain (tackle by Cody Barton),1.6,1.05,12.0,2022,175
1,12:33,2.0,10.0,LVR 40,0.0,7.0,Derek Carr pass complete short right to Foster Moreau for 11 yards (tackle by Jordyn Brooks),1.05,2.32,12.0,2022,175
1,11:57,1.0,10.0,SEA 49,0.0,7.0,Josh Jacobs right guard for 6 yards (tackle by Bryan Mone and Boye Mafe),2.32,2.59,12.0,2022,175
1,11:19,2.0,4.0,SEA 43,0.0,7.0,Josh Jacobs up the middle for no gain (tackle by Al Woods and Bruce Irvin),2.59,1.88,12.0,2022,175
1,10:35,3.0,4.0,SEA 43,0.0,7.0,Derek Carr pass complete deep left to Mack Hollins for 20 yards (tackle by Josh Jones),1.88,4.04,12.0,2022,175
1,10:19,1.0,10.0,SEA 23,0.0,7.0,Josh Jacobs right end for 5 yards (tackle by Uchenna Nwosu and Cody Barton),4.04,4.21,12.0,2022,175
1,9:37,2.0,5.0,SEA 18,0.0,7.0,Derek Carr pass incomplete deep right intended for Foster Moreau,4.21,3.49,12.0,2022,175
1,9:30,3.0,5.0,SEA 18,6.0,7.0,"Derek Carr pass complete deep right to Ameer Abdullah for 18 yards, touchdown",3.49,7.0,12.0,2022,175
1,9:24,,,SEA 15,7.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,12.0,2022,175
1,9:24,1.0,10.0,SEA 35,7.0,7.0,"Penalty on Ameer Abdullah: Unsportsmanlike Conduct / Offense, 15 yards (accepted) (no play)",3.25,0.28,12.0,2022,175
1,9:24,1.0,55.0,LVR 20,7.0,7.0,"Penalty on Tariq Woolen: Defensive Offside, 5 yards (accepted) (no play)",0.28,0.0,12.0,2022,175
1,9:24,1.0,50.0,LVR 25,7.0,7.0,"Daniel Carlson kicks off 65 yards, returned by DeeJay Dallas for 26 yards (tackle by Luke Masterson and Matthias Farley)",0.0,1.33,12.0,2022,175
1,9:19,1.0,10.0,SEA 36,7.0,7.0,Geno Smith pass complete short right to Noah Fant for 6 yards,1.33,1.6,12.0,2022,175
1,8:51,2.0,4.0,SEA 42,7.0,7.0,Geno Smith scrambles up the middle for 6 yards (tackle by Denzel Perryman),1.6,2.13,12.0,2022,175
1,8:08,1.0,10.0,SEA 48,7.0,7.0,Kenneth Walker right guard for -3 yards (tackle by Andrew Billings),2.13,1.18,12.0,2022,175
1,7:41,2.0,13.0,SEA 45,7.0,7.0,Geno Smith pass incomplete short middle intended for Will Dissly,1.18,0.5,12.0,2022,175
1,7:38,3.0,13.0,SEA 45,7.0,7.0,Geno Smith sacked by and Andrew Billings for -9 yards and Bilal Nichols for -9 yards,0.5,-0.98,12.0,2022,175
1,6:58,4.0,22.0,SEA 36,7.0,7.0,"Michael Dickson punts 51 yards, returned by Keelan Cole for 11 yards (tackle by Nick Bellore)",-0.98,-0.54,12.0,2022,175
1,6:44,1.0,10.0,LVR 24,7.0,7.0,Josh Jacobs right guard for 2 yards (tackle by Jordyn Brooks and Ryan Neal),0.54,0.27,12.0,2022,175
1,6:04,2.0,8.0,LVR 26,7.0,7.0,Derek Carr pass deep middle (defended by Cody Barton) intended for Foster Moreau is intercepted by Quandre Diggs at 50 and returned for 15 yards (tackle by Davante Adams and Josh Jacobs),0.27,-3.25,12.0,2022,175
1,5:55,1.0,10.0,LVR 35,7.0,7.0,Geno Smith pass complete deep middle to Noah Fant for 24 yards (tackle by Duron Harmon),3.25,4.84,12.0,2022,175
1,5:20,1.0,10.0,LVR 11,7.0,7.0,Kenneth Walker right end for 5 yards (tackle by Rock Ya-Sin and Luke Masterson),4.84,5.08,12.0,2022,175
1,4:43,2.0,5.0,LVR 6,7.0,7.0,Geno Smith pass incomplete short right intended for D.K. Metcalf,5.08,4.21,12.0,2022,175
1,4:31,3.0,5.0,LVR 6,7.0,7.0,"Geno Smith pass short right intended for D.K. Metcalf is intercepted by Duron Harmon in end zone and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Geno Smith pass incomplete short right intended for D.K. Metcalf (defended by Duron Harmon)",4.21,2.99,12.0,2022,175
1,4:27,4.0,5.0,LVR 6,7.0,10.0,Jason Myers 24 yard field goal good,2.99,3.0,12.0,2022,175
1,4:23,,,SEA 35,7.0,10.0,"Jason Myers kicks off 61 yards, returned by Ameer Abdullah for 20 yards (tackle by Travis Homer and Justin Coleman)",0.0,0.54,12.0,2022,175
1,4:18,1.0,10.0,LVR 24,7.0,10.0,Derek Carr sacked by Poona Ford for -2 yards,0.54,-0.27,12.0,2022,175
1,3:39,2.0,12.0,LVR 22,7.0,10.0,Josh Jacobs right guard for 2 yards (tackle by Ryan Neal and Poona Ford),-0.27,-0.69,12.0,2022,175
1,2:58,3.0,10.0,LVR 24,7.0,10.0,Derek Carr pass incomplete deep left intended for Mack Hollins,-0.69,-1.77,12.0,2022,175
1,2:52,4.0,10.0,LVR 24,7.0,10.0,"AJ Cole punts 50 yards, returned by DeeJay Dallas for 11 yards (tackle by Darien Butler and Luke Masterson)",-1.77,-1.4,12.0,2022,175
1,2:40,1.0,10.0,SEA 37,7.0,10.0,Geno Smith pass complete short middle to Will Dissly for 5 yards (tackle by Trevon Moehrig),1.4,1.53,12.0,2022,175
1,2:07,2.0,5.0,SEA 42,7.0,10.0,Kenneth Walker left guard for 1 yard (tackle by Denzel Perryman and Bilal Nichols),1.53,0.96,12.0,2022,175
1,1:25,3.0,4.0,SEA 43,7.0,10.0,Geno Smith pass complete deep left to D.K. Metcalf for 24 yards (tackle by Duron Harmon),0.96,3.38,12.0,2022,175
1,0:46,1.0,10.0,LVR 33,7.0,10.0,Geno Smith pass complete short right to D.K. Metcalf for 13 yards (tackle by Trevon Moehrig),3.38,4.24,12.0,2022,175
1,0:09,1.0,10.0,LVR 20,7.0,10.0,Kenneth Walker right guard for 4 yards (tackle by Maxx Crosby),4.24,4.28,12.0,2022,175
2,15:00,2.0,6.0,LVR 16,7.0,10.0,Kenneth Walker left end for -3 yards (tackle by Bilal Nichols and Clelin Ferrell),4.28,3.1,12.0,2022,175
2,14:21,3.0,9.0,LVR 19,7.0,10.0,Geno Smith pass complete short middle to D.K. Metcalf for 8 yards (tackle by Duron Harmon),3.1,2.85,12.0,2022,175
2,13:58,4.0,1.0,LVR 11,7.0,10.0,"Geno Smith pass complete to Tyler Lockett for no gain (tackle by Jayon Brown). Penalty on Phil Haynes: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.85,2.4,12.0,2022,175
2,13:38,4.0,6.0,LVR 16,7.0,13.0,Jason Myers 34 yard field goal good,2.4,3.0,12.0,2022,175
2,13:34,,,SEA 35,7.0,13.0,"Jason Myers kicks off 59 yards, returned by Ameer Abdullah for 33 yards (tackle by Jason Myers and Nick Bellore)",0.0,1.53,12.0,2022,175
2,13:26,1.0,10.0,LVR 39,7.0,13.0,Derek Carr pass complete short right to Davante Adams for 9 yards (tackle by Michael Jackson),1.53,2.2,12.0,2022,175
2,12:53,2.0,1.0,LVR 48,7.0,13.0,Josh Jacobs up the middle for 4 yards (tackle by Jordyn Brooks and Al Woods),2.2,2.39,12.0,2022,175
2,12:11,1.0,10.0,SEA 48,7.0,13.0,Derek Carr pass complete short middle to Josh Jacobs for 3 yards (tackle by Michael Jackson),2.39,2.25,12.0,2022,175
2,11:33,2.0,7.0,SEA 45,7.0,13.0,Josh Jacobs left guard for 1 yard (tackle by Jordyn Brooks),2.25,1.69,12.0,2022,175
2,10:52,3.0,6.0,SEA 44,7.0,13.0,Derek Carr pass complete short right to Davante Adams for 8 yards,1.69,3.18,12.0,2022,175
2,10:12,1.0,10.0,SEA 36,13.0,13.0,"Derek Carr pass complete short left to Mack Hollins for 36 yards, touchdown",3.18,7.0,12.0,2022,175
2,10:02,,,SEA 15,14.0,13.0,Daniel Carlson kicks extra point good,0.0,0.0,12.0,2022,175
2,10:02,,,LVR 35,14.0,13.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,175
2,10:02,1.0,10.0,SEA 25,14.0,13.0,DeeJay Dallas left guard for 2 yards (tackle by Maxx Crosby),0.61,0.33,12.0,2022,175
2,9:29,2.0,8.0,SEA 27,14.0,13.0,Geno Smith pass complete short left to DeeJay Dallas for 9 yards (tackle by Duron Harmon),0.33,1.33,12.0,2022,175
2,8:48,1.0,10.0,SEA 36,14.0,13.0,Geno Smith pass deep middle intended for Tyler Lockett is intercepted by Denzel Perryman at LV-46 and returned for 24 yards (tackle by Damien Lewis),1.33,-3.58,12.0,2022,175
2,8:36,1.0,10.0,SEA 30,20.0,13.0,"Josh Jacobs right tackle for 30 yards, touchdown",3.58,7.0,12.0,2022,175
2,8:29,,,SEA 15,21.0,13.0,Daniel Carlson kicks extra point good,0.0,0.0,12.0,2022,175
2,8:29,,,LVR 35,21.0,13.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,175
2,8:29,1.0,10.0,SEA 25,21.0,13.0,Geno Smith pass complete short left to D.K. Metcalf for 6 yards (tackle by Sam Webb),0.61,0.87,12.0,2022,175
2,8:09,2.0,4.0,SEA 31,21.0,13.0,Geno Smith pass complete short left to D.K. Metcalf for 4 yards (tackle by Duron Harmon),0.87,1.27,12.0,2022,175
2,7:39,1.0,10.0,SEA 35,21.0,13.0,Geno Smith pass complete short middle to Will Dissly for 12 yards (tackle by Sam Webb),1.27,2.06,12.0,2022,175
2,7:02,1.0,10.0,SEA 47,21.0,13.0,Kenneth Walker right end for 3 yards (tackle by Roderic Teamer),2.06,1.92,12.0,2022,175
2,6:33,2.0,7.0,SEA 50,21.0,13.0,Geno Smith pass complete short right to Kenneth Walker for 13 yards (tackle by Duron Harmon),1.92,3.12,12.0,2022,175
2,6:05,1.0,10.0,LVR 37,21.0,13.0,Kenneth Walker left guard for 2 yards (tackle by Rock Ya-Sin),3.12,2.84,12.0,2022,175
2,5:27,2.0,8.0,LVR 35,21.0,19.0,"Geno Smith pass complete deep right to Tyler Lockett for 35 yards, touchdown",2.84,7.0,12.0,2022,175
2,5:21,,,LVR 15,21.0,20.0,Jason Myers kicks extra point good,0.0,0.0,12.0,2022,175
2,5:21,,,SEA 35,21.0,20.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,175
2,5:21,1.0,10.0,LVR 25,21.0,20.0,Josh Jacobs left end for 5 yards (tackle by Jordyn Brooks and Quandre Diggs),0.61,0.74,12.0,2022,175
2,4:38,2.0,5.0,LVR 30,21.0,20.0,Derek Carr scrambles right end for 7 yards (tackle by Ryan Neal),0.74,1.4,12.0,2022,175
