Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Mac Jones,NWE,0,0,0,0,0,12.0,2022,167
Rhamondre Stevenson,NWE,10,9,76,0,40,12.0,2022,167
Damien Harris,NWE,0,0,0,0,0,12.0,2022,167
DeVante Parker,NWE,4,4,80,0,40,12.0,2022,167
Nelson Agholor,NWE,8,6,65,1,34,12.0,2022,167
Hunter Henry,NWE,5,3,63,1,37,12.0,2022,167
Jakobi Meyers,NWE,4,3,62,0,26,12.0,2022,167
Kendrick Bourne,NWE,4,3,36,0,17,12.0,2022,167
Kirk Cousins,MIN,0,0,0,0,0,12.0,2022,167
Justin Jefferson,MIN,11,9,139,1,37,12.0,2022,167
Dalvin Cook,MIN,5,4,14,0,8,12.0,2022,167
Alexander Mattison,MIN,0,0,0,0,0,12.0,2022,167
K.J. Osborn,MIN,2,1,8,0,8,12.0,2022,167
Adam Thielen,MIN,10,9,61,1,16,12.0,2022,167
T.J. Hockenson,MIN,6,5,43,1,14,12.0,2022,167
Jalen Reagor,MIN,1,1,25,0,25,12.0,2022,167
Johnny Mundt,MIN,2,2,20,0,13,12.0,2022,167
