Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Falcons to receive the opening kickoff.",,,12.0,2022,172
1.0,15:00,,,WAS 35,0.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,172
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,Cordarrelle Patterson right tackle for 3 yards (tackle by Jonathan Allen and Jamin Davis),0.61,0.47,12.0,2022,172
1.0,14:26,2.0,7.0,ATL 28,0.0,0.0,Marcus Mariota pass complete short middle to MyCole Pruitt for 5 yards (tackle by John Ridgeway and Jamin Davis),0.47,0.43,12.0,2022,172
1.0,13:45,3.0,2.0,ATL 33,0.0,0.0,Marcus Mariota right end for 11 yards (tackle by Kendall Fuller),0.43,1.86,12.0,2022,172
1.0,13:00,1.0,10.0,ATL 44,0.0,0.0,Tyler Allgeier left end for 8 yards (tackle by Darrick Forrest),1.86,2.4,12.0,2022,172
1.0,12:25,2.0,2.0,WAS 48,0.0,0.0,Tyler Allgeier left end for 6 yards (tackle by Jonathan Allen and Darrick Forrest),2.4,2.79,12.0,2022,172
1.0,11:45,1.0,10.0,WAS 42,0.0,0.0,Marcus Mariota pass complete short middle to Cordarrelle Patterson for 4 yards (tackle by Jamin Davis and Bobby McCain),2.79,2.78,12.0,2022,172
1.0,11:06,2.0,6.0,WAS 38,0.0,0.0,Marcus Mariota pass complete short middle to Drake London for 7 yards (tackle by Jamin Davis),2.78,3.51,12.0,2022,172
1.0,10:31,1.0,10.0,WAS 31,0.0,0.0,Tyler Allgeier up the middle for 2 yards (tackle by Kendall Fuller and Jonathan Allen),3.51,3.24,12.0,2022,172
1.0,9:49,2.0,8.0,WAS 29,0.0,0.0,Cordarrelle Patterson up the middle for no gain (tackle by Jonathan Bostic),3.24,2.54,12.0,2022,172
1.0,8:59,3.0,8.0,WAS 29,0.0,0.0,Marcus Mariota pass complete short middle to Cordarrelle Patterson for no gain (tackle by Jamin Davis),2.54,1.5,12.0,2022,172
1.0,8:12,4.0,8.0,WAS 29,3.0,0.0,Younghoe Koo 47 yard field goal good,1.5,3.0,12.0,2022,172
1.0,8:07,,,ATL 35,3.0,0.0,"Bradley Pinion kicks off 59 yards, returned by Antonio Gibson for 20 yards (tackle by DeAngelo Malone)",0.0,0.67,12.0,2022,172
1.0,8:01,1.0,10.0,WAS 26,3.0,0.0,Taylor Heinicke pass complete deep right to Terry McLaurin for 26 yards (tackle by Jaylinn Hawkins),0.67,2.39,12.0,2022,172
1.0,7:23,1.0,10.0,ATL 48,3.0,0.0,Brian Robinson right tackle for 5 yards (tackle by Richie Grant and Adetokunbo Ogundeji),2.39,2.52,12.0,2022,172
1.0,6:44,2.0,5.0,ATL 43,3.0,0.0,Curtis Samuel left guard for 2 yards (tackle by Adetokunbo Ogundeji and Grady Jarrett),2.52,2.08,12.0,2022,172
1.0,6:01,3.0,3.0,ATL 41,3.0,0.0,Taylor Heinicke pass complete deep right to Dyami Brown for 17 yards (tackle by Isaiah Oliver),2.08,3.97,12.0,2022,172
1.0,5:22,1.0,10.0,ATL 24,3.0,0.0,Brian Robinson up the middle for 4 yards (tackle by Grady Jarrett and Rashaan Evans),3.97,3.97,12.0,2022,172
1.0,4:39,2.0,6.0,ATL 20,3.0,0.0,Taylor Heinicke pass complete short middle to Terry McLaurin for 6 yards (tackle by Rashaan Evans and Richie Grant),3.97,4.65,12.0,2022,172
1.0,3:53,1.0,10.0,ATL 14,3.0,6.0,"Taylor Heinicke pass complete short right to Brian Robinson for 14 yards, touchdown",4.65,7.0,12.0,2022,172
1.0,3:46,,,ATL 15,3.0,7.0,Joey Slye kicks extra point good,0.0,0.0,12.0,2022,172
1.0,3:46,,,WAS 35,3.0,7.0,"Joey Slye kicks off 63 yards, returned by Avery Williams for 19 yards (tackle by Milo Eifler and Jonathan Williams)",0.0,0.34,12.0,2022,172
1.0,3:39,1.0,10.0,ATL 21,3.0,7.0,Marcus Mariota pass complete short middle to Cordarrelle Patterson for 15 yards (tackle by Darrick Forrest),0.34,1.33,12.0,2022,172
1.0,3:05,1.0,10.0,ATL 36,3.0,7.0,Marcus Mariota right end for 8 yards (tackle by Darrick Forrest),1.33,1.87,12.0,2022,172
1.0,2:29,2.0,2.0,ATL 44,3.0,7.0,Marcus Mariota pass incomplete short right intended for Parker Hesse,1.87,1.16,12.0,2022,172
1.0,2:23,3.0,2.0,ATL 44,3.0,7.0,Marcus Mariota pass incomplete short left intended for Drake London,1.16,-0.46,12.0,2022,172
1.0,2:20,4.0,2.0,ATL 44,3.0,7.0,"Bradley Pinion punts 38 yards, fair catch by Alex Erickson at WAS-18",-0.46,-0.04,12.0,2022,172
1.0,2:14,1.0,10.0,WAS 18,3.0,7.0,Taylor Heinicke pass complete short middle to Logan Thomas for 7 yards (tackle by Mykal Walker and Troy Andersen),0.04,0.55,12.0,2022,172
1.0,1:37,2.0,3.0,WAS 25,3.0,7.0,Antonio Gibson left tackle for 3 yards (tackle by Darren Hall),0.55,0.81,12.0,2022,172
1.0,0:58,1.0,10.0,WAS 28,3.0,7.0,Antonio Gibson right end for 4 yards (tackle by Mykal Walker and Timmy Horne),0.81,0.8,12.0,2022,172
1.0,0:15,2.0,6.0,WAS 32,3.0,7.0,Taylor Heinicke pass incomplete short right,0.8,0.1,12.0,2022,172
1.0,0:09,3.0,6.0,WAS 32,3.0,7.0,Taylor Heinicke pass complete short left to Antonio Gibson for 1 yard (tackle by Arnold Ebiketie and DeAundre Alford),0.1,-1.18,12.0,2022,172
2.0,15:00,4.0,5.0,WAS 33,3.0,7.0,"Tress Way punts 44 yards, fair catch by Avery Williams at ATL-23",-1.18,-0.48,12.0,2022,172
