Unnamed: 0,PIT,IND,week,year,game_id
First Downs,22,19,12.0,2022,180
Rush-Yds-TDs,36-172-2,25-110-1,12.0,2022,180
Cmp-Att-Yd-TD-INT,20-28-174-0-0,22-34-199-1-1,12.0,2022,180
Sacked-Yards,3-23,3-19,12.0,2022,180
Net Pass Yards,151,180,12.0,2022,180
Total Yards,323,290,12.0,2022,180
Fumbles-Lost,0-0,3-1,12.0,2022,180
Turnovers,0,2,12.0,2022,180
Penalties-Yards,3-19,2-20,12.0,2022,180
Third Down Conv.,7-14,3-12,12.0,2022,180
Fourth Down Conv.,0-0,2-3,12.0,2022,180
Time of Possession,34:22,25:38,12.0,2022,180
