Quarter,Time,Down,ToGo,Location,CHI,NYJ,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Jets to receive the opening kickoff.",,,12.0,2022,174
1.0,15:00,,,CHI 35,0.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,174
1.0,15:00,1.0,10.0,NYJ 25,0.0,0.0,Michael Carter right tackle for 6 yards (tackle by Nicholas Morrow and Kindle Vildor),0.61,0.87,12.0,2022,174
1.0,14:25,2.0,4.0,NYJ 31,0.0,0.0,"Michael Carter for no gain. Penalty on Justin Jones: Defensive Holding, 5 yards (offset) . Penalty on Cedric Ogbuehi: Offensive Holding, 10 yards (offset) (no play)",0.87,0.87,12.0,2022,174
1.0,14:09,2.0,4.0,NYJ 31,0.0,0.0,Mike White pass complete short right to Garrett Wilson for 11 yards (tackle by Kindle Vildor and Jack Sanborn),0.87,1.73,12.0,2022,174
1.0,13:30,1.0,10.0,NYJ 42,0.0,0.0,Mike White pass complete short left to Tyler Conklin for 12 yards (tackle by Jaylon Johnson),1.73,2.52,12.0,2022,174
1.0,12:52,1.0,10.0,CHI 46,0.0,0.0,Mike White pass complete short left to Tyler Conklin for 9 yards (tackle by DeAndre Houston-Carson and Jack Sanborn),2.52,3.19,12.0,2022,174
1.0,12:12,2.0,1.0,CHI 37,0.0,0.0,Mike White pass complete short left to Zonovan Knight for 16 yards (tackle by Jack Sanborn),3.19,4.17,12.0,2022,174
1.0,11:31,1.0,10.0,CHI 21,0.0,0.0,Mike White pass complete short right to Garrett Wilson for 13 yards (tackle by DeAndre Houston-Carson),4.17,5.37,12.0,2022,174
1.0,10:52,1.0,8.0,CHI 8,0.0,0.0,Mike White pass incomplete short right intended for Garrett Wilson,5.37,4.57,12.0,2022,174
1.0,10:48,2.0,8.0,CHI 8,0.0,0.0,Zonovan Knight right end for no gain (tackle by Nicholas Morrow and Eddie Jackson),4.57,3.58,12.0,2022,174
1.0,10:17,3.0,8.0,CHI 8,0.0,6.0,"Mike White pass complete short right to Garrett Wilson for 8 yards, touchdown. Penalty on Kindle Vildor: Defensive Holding, 5 yards (declined)",3.58,7.0,12.0,2022,174
1.0,10:12,,,CHI 15,0.0,7.0,Greg Zuerlein kicks extra point good,0.0,0.0,12.0,2022,174
1.0,10:12,,,NYJ 35,0.0,7.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,174
1.0,10:12,1.0,10.0,CHI 25,0.0,7.0,David Montgomery left tackle for 4 yards (tackle by Nathan Shepherd and C.J. Mosley),0.61,0.6,12.0,2022,174
1.0,9:34,2.0,6.0,CHI 29,0.0,7.0,Trevor Siemian pass incomplete short right intended for Cole Kmet,0.6,-0.1,12.0,2022,174
1.0,9:29,3.0,6.0,CHI 29,0.0,7.0,Trevor Siemian pass complete short left to David Montgomery for 26 yards (tackle by Lamarcus Joyner and C.J. Mosley),-0.1,2.59,12.0,2022,174
1.0,8:50,1.0,10.0,NYJ 45,0.0,7.0,Darrynton Evans left end for 3 yards (tackle by D.J. Reed),2.59,2.45,12.0,2022,174
1.0,8:13,2.0,7.0,NYJ 42,0.0,7.0,Trevor Siemian pass complete short middle to Darrynton Evans for 33 yards (tackle by C.J. Mosley),2.45,5.14,12.0,2022,174
1.0,7:29,1.0,9.0,NYJ 9,0.0,7.0,David Montgomery right end for 2 yards (tackle by John Franklin-Myers),5.14,4.76,12.0,2022,174
1.0,6:48,2.0,7.0,NYJ 7,0.0,7.0,Trevor Siemian pass complete short right to Trevon Wesco for 3 yards (tackle by Lamarcus Joyner),4.76,4.49,12.0,2022,174
1.0,6:06,3.0,4.0,NYJ 4,0.0,7.0,Trevor Siemian pass incomplete short right intended for Chase Claypool,4.49,3.03,12.0,2022,174
1.0,6:02,4.0,4.0,NYJ 4,3.0,7.0,Cairo Santos 22 yard field goal good,3.03,3.0,12.0,2022,174
1.0,5:59,,,CHI 35,3.0,7.0,"Trenton Gill kicks off 67 yards, returned by Zonovan Knight for 18 yards (tackle by Matthew Adams and Josh Blackwell)",0.0,-0.14,12.0,2022,174
1.0,5:54,1.0,10.0,NYJ 16,3.0,7.0,Michael Carter left end for -1 yards (tackle by Jack Sanborn and Jaylon Johnson),-0.14,-0.78,12.0,2022,174
1.0,5:33,2.0,11.0,NYJ 15,3.0,7.0,Mike White pass complete short right to Michael Carter for 6 yards (tackle by Jaylon Jones),-0.78,-0.7,12.0,2022,174
1.0,4:28,3.0,5.0,NYJ 21,3.0,7.0,Mike White pass incomplete short left intended for Corey Davis (defended by Jaylon Johnson),-0.7,-1.96,12.0,2022,174
