Quarter,Time,Tm,Detail,NYG,DAL,week,year,game_id
1.0,9:44,Giants,Graham Gano 57 yard field goal,3,0,12.0,2022,166
2.0,14:55,Cowboys,Ezekiel Elliott 6 yard rush (Brett Maher kick),3,7,12.0,2022,166
,9:28,Giants,Saquon Barkley 1 yard rush (Graham Gano kick),10,7,12.0,2022,166
,0:00,Giants,Graham Gano 47 yard field goal,13,7,12.0,2022,166
3.0,7:21,Cowboys,Dalton Schultz 15 yard pass from Dak Prescott (Brett Maher kick),13,14,12.0,2022,166
,2:02,Cowboys,Dalton Schultz 6 yard pass from Dak Prescott (Brett Maher kick),13,21,12.0,2022,166
4.0,8:53,Cowboys,Peyton Hendershot 2 yard rush (Brett Maher kick),13,28,12.0,2022,166
,0:08,Giants,Richie James 1 yard pass from Daniel Jones (Graham Gano kick),20,28,12.0,2022,166
