Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Gus Edwards,BAL,16,52,1,6.0,28,1.8,24,1.5,0,,12.0,2022,171
Lamar Jackson,BAL,14,89,0,5.0,73,5.2,16,1.1,1,14.0,12.0,2022,171
Kenyan Drake,BAL,2,2,0,1.0,-3,-1.5,5,2.5,0,,12.0,2022,171
Devin Duvernay,BAL,2,16,0,1.0,9,4.5,7,3.5,0,,12.0,2022,171
Justice Hill,BAL,1,3,0,,2,2.0,1,1.0,0,,12.0,2022,171
Jamycal Hasty,JAX,12,28,0,1.0,8,0.7,20,1.7,4,3.0,12.0,2022,171
Snoop Conner,JAX,3,11,0,,8,2.7,3,1.0,0,,12.0,2022,171
Travis Etienne,JAX,2,3,0,,3,1.5,0,0.0,0,,12.0,2022,171
Trevor Lawrence,JAX,2,1,0,0.0,1,0.5,0,0.0,0,,12.0,2022,171
Christian Kirk,JAX,1,-5,0,0.0,-5,-5.0,0,0.0,0,,12.0,2022,171
