Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Panthers to receive the opening kickoff.",,,12.0,2022,173
1.0,15:00,,,DEN 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,173
1.0,15:00,1.0,10.0,CAR 25,0.0,0.0,Sam Darnold pass complete short right to Ian Thomas for 15 yards (tackle by Justin Simmons),0.61,1.6,12.0,2022,173
1.0,14:19,1.0,10.0,CAR 40,0.0,0.0,D'Onta Foreman up the middle for 1 yard (tackle by DeShawn Williams),1.6,1.19,12.0,2022,173
1.0,13:41,2.0,9.0,CAR 41,0.0,0.0,D'Onta Foreman left tackle for 3 yards (tackle by D.J. Jones),1.19,0.89,12.0,2022,173
1.0,12:57,3.0,6.0,CAR 44,0.0,0.0,Sam Darnold pass incomplete deep left intended for D.J. Moore,0.89,-0.46,12.0,2022,173
1.0,12:49,4.0,6.0,CAR 44,0.0,0.0,Johnny Hekker punts 51 yards downed by Raheem Blackshear,-0.46,0.38,12.0,2022,173
1.0,12:40,1.0,10.0,DEN 5,0.0,0.0,Russell Wilson pass complete short right to Montrell Washington for -3 yards (tackle by Sam Franklin),-0.38,-1.0,12.0,2022,173
1.0,12:00,2.0,13.0,DEN 2,0.0,0.0,Latavius Murray right guard for 2 yards (tackle by Frankie Luvu),-1.0,-1.54,12.0,2022,173
1.0,11:22,3.0,11.0,DEN 4,0.0,0.0,Russell Wilson pass incomplete short right intended for Brandon Johnson (defended by Marquis Haynes),-1.54,-2.49,12.0,2022,173
1.0,11:19,4.0,11.0,DEN 4,0.0,0.0,"Corliss Waitman punts 58 yards, returned by Raheem Blackshear for 21 yards (tackle by Alex Singleton and P.J. Locke)",-2.49,-2.85,12.0,2022,173
1.0,11:05,1.0,10.0,DEN 41,0.0,0.0,"D'Onta Foreman left guard for no gain (tackle by Alex Singleton). Penalty on Brady Christensen: Offensive Holding, 10 yards (accepted) (no play)",2.85,2.19,12.0,2022,173
1.0,10:35,1.0,20.0,CAR 49,0.0,0.0,Sam Darnold pass incomplete short left intended for Raheem Blackshear,2.19,0.96,12.0,2022,173
1.0,10:31,2.0,20.0,CAR 49,0.0,0.0,Chuba Hubbard left guard for 2 yards (tackle by D.J. Jones),0.96,0.56,12.0,2022,173
1.0,9:47,3.0,18.0,DEN 49,0.0,0.0,Sam Darnold pass incomplete deep right,0.56,0.0,12.0,2022,173
1.0,9:40,4.0,18.0,DEN 49,0.0,0.0,"Johnny Hekker punts 37 yards, fair catch by Montrell Washington at DEN-12",0.0,0.35,12.0,2022,173
1.0,9:33,1.0,10.0,DEN 12,0.0,0.0,Latavius Murray up the middle for 3 yards (tackle by Derrick Brown),-0.35,-0.5,12.0,2022,173
1.0,9:06,2.0,7.0,DEN 15,0.0,0.0,Russell Wilson pass complete short left to Kendall Hinton for 4 yards (tackle by C.J. Henderson),-0.5,-0.6,12.0,2022,173
1.0,8:18,3.0,3.0,DEN 19,0.0,0.0,Russell Wilson pass complete short right to Kendall Hinton for 2 yards (tackle by Jeremy Chinn),-0.6,-1.96,12.0,2022,173
1.0,7:42,4.0,2.0,DEN 21,0.0,0.0,"Corliss Waitman punts 58 yards, returned by Raheem Blackshear for 8 yards (tackle by P.J. Locke and Jacob Bobenmoyer)",-1.96,-0.87,12.0,2022,173
1.0,7:30,1.0,10.0,CAR 29,0.0,0.0,Laviska Shenault left tackle for 2 yards (tackle by Kareem Jackson and Matt Henningsen),0.87,0.6,12.0,2022,173
1.0,6:49,2.0,8.0,CAR 31,0.0,0.0,D'Onta Foreman up the middle for 6 yards (tackle by Dre'Mont Jones),0.6,0.7,12.0,2022,173
1.0,6:08,3.0,2.0,CAR 37,0.0,0.0,Chuba Hubbard left end for 1 yard (tackle by Patrick Surtain),0.7,-0.85,12.0,2022,173
1.0,5:30,4.0,1.0,CAR 38,0.0,0.0,Sean Chandler up the middle for 2 yards (tackle by Jonathon Cooper and Jacob Martin),-0.85,1.6,12.0,2022,173
1.0,4:47,1.0,10.0,CAR 40,0.0,0.0,Sam Darnold pass complete short right to Tommy Tremble for 2 yards (tackle by Alex Singleton),1.6,1.32,12.0,2022,173
1.0,4:03,2.0,8.0,CAR 42,0.0,0.0,Sam Darnold pass complete deep right to D.J. Moore for 26 yards (tackle by Damarri Mathis),1.32,3.45,12.0,2022,173
1.0,3:24,1.0,10.0,DEN 32,0.0,0.0,D'Onta Foreman up the middle for 15 yards (tackle by Essang Bassey),3.45,4.44,12.0,2022,173
1.0,2:45,1.0,10.0,DEN 17,0.0,0.0,D'Onta Foreman left guard for 4 yards (tackle by Dre'Mont Jones and Eyioma Uwazurike),4.44,4.5,12.0,2022,173
1.0,2:02,2.0,6.0,DEN 13,0.0,0.0,Sam Darnold pass complete short right to Ian Thomas for 6 yards (tackle by P.J. Locke),4.5,5.6,12.0,2022,173
1.0,1:17,1.0,7.0,DEN 7,0.0,0.0,D'Onta Foreman right guard for 2 yards (tackle by Eyioma Uwazurike and Josey Jewell),5.6,5.15,12.0,2022,173
1.0,0:36,2.0,5.0,DEN 5,0.0,6.0,"Sam Darnold pass complete short left to D.J. Moore for 5 yards, touchdown",5.15,7.0,12.0,2022,173
1.0,0:30,,,DEN 15,0.0,7.0,Eddy Pineiro kicks extra point good,0.0,0.0,12.0,2022,173
1.0,0:30,,,CAR 35,0.0,7.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,173
1.0,0:30,1.0,10.0,DEN 25,0.0,7.0,Russell Wilson pass complete short right to Kendall Hinton for 7 yards (tackle by C.J. Henderson),0.61,1.01,12.0,2022,173
1.0,0:06,2.0,3.0,DEN 32,0.0,7.0,Latavius Murray up the middle for 11 yards (tackle by Xavier Woods and Jaycee Horn),1.01,1.8,12.0,2022,173
2.0,15:00,1.0,10.0,DEN 43,0.0,7.0,Latavius Murray left tackle for 1 yard (tackle by Brandon Smith),1.8,1.39,12.0,2022,173
2.0,14:21,2.0,9.0,DEN 44,0.0,7.0,Russell Wilson sacked by Brian Burns for -11 yards,1.39,-0.76,12.0,2022,173
2.0,13:36,3.0,20.0,DEN 33,0.0,7.0,Latavius Murray up the middle for 5 yards (tackle by Frankie Luvu),-0.76,-0.85,12.0,2022,173
2.0,12:55,4.0,15.0,DEN 38,0.0,7.0,"Corliss Waitman punts 37 yards, recovered by Delarrin Turner-Yell at CAR-27",-0.85,3.78,12.0,2022,173
2.0,12:46,1.0,10.0,CAR 27,0.0,7.0,Kendall Hinton left end for 13 yards (tackle by Sam Franklin),3.78,4.65,12.0,2022,173
2.0,12:02,1.0,10.0,CAR 14,0.0,7.0,Latavius Murray left end for 7 yards (tackle by Frankie Luvu),4.65,5.28,12.0,2022,173
2.0,11:24,2.0,3.0,CAR 7,0.0,7.0,Montrell Washington right end for 1 yard (tackle by Jaycee Horn and Sam Franklin),5.28,4.73,12.0,2022,173
2.0,10:51,3.0,2.0,CAR 6,0.0,7.0,Latavius Murray right guard for -3 yards (tackle by Frankie Luvu and Brian Burns),4.73,2.88,12.0,2022,173
2.0,10:14,4.0,5.0,CAR 9,3.0,7.0,Brandon McManus 27 yard field goal good,2.88,3.0,12.0,2022,173
2.0,10:11,,,DEN 35,3.0,7.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,173
2.0,10:11,1.0,10.0,CAR 25,3.0,7.0,D'Onta Foreman left tackle for 18 yards (tackle by Josey Jewell),0.61,1.8,12.0,2022,173
2.0,9:27,1.0,10.0,CAR 43,3.0,7.0,Chuba Hubbard left end for 9 yards (tackle by Patrick Surtain),1.8,2.47,12.0,2022,173
2.0,8:53,2.0,1.0,DEN 48,3.0,7.0,Sam Darnold pass complete short right to Laviska Shenault for 5 yards (tackle by Justin Simmons),2.47,2.72,12.0,2022,173
2.0,8:12,1.0,10.0,DEN 43,3.0,7.0,Chuba Hubbard up the middle for 2 yards (tackle by Mike Purcell),2.72,2.45,12.0,2022,173
2.0,7:38,2.0,8.0,DEN 41,3.0,7.0,Chuba Hubbard up the middle for 5 yards (tackle by Dre'Mont Jones and Justin Simmons),2.45,2.41,12.0,2022,173
2.0,6:57,3.0,3.0,DEN 36,3.0,7.0,Chuba Hubbard up the middle for 6 yards (tackle by Josey Jewell and Justin Simmons),2.41,3.58,12.0,2022,173
2.0,6:15,1.0,10.0,DEN 30,3.0,7.0,Chuba Hubbard up the middle for 7 yards (tackle by Justin Simmons),3.58,3.98,12.0,2022,173
2.0,5:37,2.0,3.0,DEN 23,3.0,7.0,Chuba Hubbard left guard for -1 yards (tackle by P.J. Locke and Damarri Mathis),3.98,3.14,12.0,2022,173
2.0,4:49,3.0,4.0,DEN 24,3.0,7.0,Sam Darnold pass incomplete short right intended for Terrace Marshall (defended by Patrick Surtain),3.14,1.94,12.0,2022,173
2.0,4:46,4.0,4.0,DEN 24,3.0,10.0,Eddy Pineiro 42 yard field goal good,1.94,3.0,12.0,2022,173
2.0,4:42,,,CAR 35,3.0,10.0,"Eddy Pineiro kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,173
2.0,4:42,1.0,10.0,DEN 25,3.0,10.0,Latavius Murray up the middle for 52 yards (tackle by Shaq Thompson),0.61,4.04,12.0,2022,173
2.0,4:07,1.0,10.0,CAR 23,3.0,10.0,Russell Wilson pass incomplete short right intended for Montrell Washington,4.04,3.5,12.0,2022,173
2.0,4:02,2.0,10.0,CAR 23,3.0,10.0,"Russell Wilson pass incomplete Replay Assistant challenged the fumble ruling, and the original play was overturned. Russell Wilson sacked by Brian Burns for no gain. Russell Wilson fumbles (forced by Brian Burns), recovered by Yetur Gross-Matos at CAR-21",3.5,-0.34,12.0,2022,173
2.0,3:56,1.0,10.0,CAR 21,3.0,10.0,"D'Onta Foreman right guard for no gain (tackle by Justin Simmons). Penalty on Brady Christensen: Offensive Holding, 10 yards (accepted) (no play)",0.34,-0.72,12.0,2022,173
2.0,3:27,1.0,20.0,CAR 11,3.0,10.0,D'Onta Foreman left tackle for 3 yards (tackle by Eyioma Uwazurike and Kareem Jackson),-0.72,-1.25,12.0,2022,173
2.0,2:48,2.0,17.0,CAR 14,3.0,10.0,D'Onta Foreman up the middle for 4 yards (tackle by Alex Singleton and Kareem Jackson),-1.25,-1.41,12.0,2022,173
