Unnamed: 0,GNB,PHI,week,year,game_id
First Downs,19,29,12.0,2022,179
Rush-Yds-TDs,21-106-1,49-363-3,12.0,2022,179
Cmp-Att-Yd-TD-INT,17-25-253-3-2,16-28-153-2-0,12.0,2022,179
Sacked-Yards,3-17,2-16,12.0,2022,179
Net Pass Yards,236,137,12.0,2022,179
Total Yards,342,500,12.0,2022,179
Fumbles-Lost,0-0,2-1,12.0,2022,179
Turnovers,2,1,12.0,2022,179
Penalties-Yards,4-35,3-25,12.0,2022,179
Third Down Conv.,1-7,8-15,12.0,2022,179
Fourth Down Conv.,1-1,2-3,12.0,2022,179
Time of Possession,24:26,35:34,12.0,2022,179
