Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Giants to receive the opening kickoff.",,,12.0,2022,166
1.0,15:00,,,DAL 35,0.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,166
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Daniel Jones pass complete short right to Lawrence Cager for 20 yards (tackle by Jayron Kearse),0.61,1.93,12.0,2022,166
1.0,14:23,1.0,10.0,NYG 45,0.0,0.0,Daniel Jones pass complete short right to Saquon Barkley for 2 yards (tackle by Damone Clark),1.93,1.65,12.0,2022,166
1.0,13:45,2.0,8.0,NYG 47,0.0,0.0,Daniel Jones pass incomplete deep right intended for Darius Slayton,1.65,0.96,12.0,2022,166
1.0,13:38,3.0,8.0,NYG 47,0.0,0.0,Daniel Jones pass complete short middle to Saquon Barkley for 5 yards (tackle by Leighton Vander Esch),0.96,0.07,12.0,2022,166
1.0,12:55,4.0,3.0,DAL 48,0.0,0.0,"Jamie Gillan punts 48 yards, touchback.",0.07,-0.28,12.0,2022,166
1.0,12:46,1.0,10.0,DAL 20,0.0,0.0,CeeDee Lamb right end for 12 yards (tackle by Cordale Flott),0.28,1.07,12.0,2022,166
1.0,12:17,1.0,10.0,DAL 32,0.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 8 yards (tackle by Julian Love),1.07,1.61,12.0,2022,166
1.0,11:52,2.0,2.0,DAL 40,0.0,0.0,Dak Prescott pass incomplete short right intended for CeeDee Lamb (defended by Darnay Holmes),1.61,0.89,12.0,2022,166
1.0,11:45,3.0,2.0,DAL 40,0.0,0.0,Dak Prescott pass incomplete deep middle intended for Michael Gallup,0.89,-0.72,12.0,2022,166
1.0,11:40,4.0,2.0,DAL 40,0.0,0.0,Ezekiel Elliott left tackle for 1 yard (tackle by Jaylon Smith),-0.72,-2.92,12.0,2022,166
1.0,11:35,1.0,10.0,DAL 40,0.0,0.0,Daniel Jones pass complete short middle to Chris Myarick for 23 yards (tackle by Trevon Diggs),2.92,4.44,12.0,2022,166
1.0,10:47,1.0,10.0,DAL 17,0.0,0.0,Daniel Jones sacked by Dorance Armstrong for -7 yards,4.44,2.95,12.0,2022,166
1.0,10:06,2.0,17.0,DAL 24,0.0,0.0,"Daniel Jones pass complete to Isaiah Hodgins for no gain, touchdown. Penalty on Tyre Phillips: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.95,2.27,12.0,2022,166
1.0,9:59,2.0,22.0,DAL 29,0.0,0.0,Daniel Jones pass incomplete short right,2.27,1.62,12.0,2022,166
1.0,9:52,3.0,22.0,DAL 29,0.0,0.0,"Daniel Jones pass incomplete deep right. Penalty on Daniel Jones: Intentional Grounding, 10 yards (accepted) . Penalty on Daniel Jones: Illegal Shift, 5 yards (declined)",1.62,0.66,12.0,2022,166
1.0,9:49,4.0,32.0,DAL 39,3.0,0.0,Graham Gano 57 yard field goal good,0.66,3.0,12.0,2022,166
1.0,9:44,,,NYG 35,3.0,0.0,"Graham Gano kicks off 65 yards, touchback.",0.0,0.61,12.0,2022,166
1.0,9:44,1.0,10.0,DAL 25,3.0,0.0,Ezekiel Elliott left tackle for 15 yards (tackle by Jason Pinnock),0.61,1.53,12.0,2022,166
1.0,9:17,1.0,10.0,DAL 39,3.0,0.0,"Ezekiel Elliott right guard for no gain (tackle by Kayvon Thibodeaux). Penalty on Zack Martin: Offensive Holding, 10 yards (accepted) (no play)",1.53,0.87,12.0,2022,166
1.0,9:01,1.0,20.0,DAL 29,3.0,0.0,Dak Prescott pass complete short left to Jake Ferguson for 13 yards (tackle by Julian Love),0.87,1.53,12.0,2022,166
1.0,8:24,2.0,6.0,DAL 43,3.0,0.0,Ezekiel Elliott up the middle for 10 yards (tackle by Jason Pinnock),1.53,2.46,12.0,2022,166
1.0,7:43,1.0,10.0,NYG 47,3.0,0.0,Tony Pollard right tackle for 4 yards (tackle by Julian Love),2.46,2.45,12.0,2022,166
1.0,7:15,2.0,6.0,NYG 43,3.0,0.0,"Dak Prescott pass short left intended for Michael Gallup is intercepted by Rodarius Williams at NYG-30 and returned for 1 yard Replay Assistant challenged the pass interception ruling, and the play was upheld.",2.45,-1.0,12.0,2022,166
1.0,7:10,1.0,10.0,NYG 31,3.0,0.0,Saquon Barkley right guard for 3 yards (tackle by Leighton Vander Esch),1.0,0.87,12.0,2022,166
1.0,6:46,2.0,7.0,NYG 34,3.0,0.0,Saquon Barkley left end for 3 yards (tackle by DaRon Bland),0.87,0.56,12.0,2022,166
1.0,6:09,3.0,4.0,NYG 37,3.0,0.0,Daniel Jones pass incomplete short right intended for Richie James,0.56,-0.91,12.0,2022,166
1.0,6:06,4.0,4.0,NYG 37,3.0,0.0,"Jamie Gillan punts 49 yards, fair catch by KaVontae Turpin at DAL-14. Penalty on Nahshon Wright: Offensive Holding, 7 yards (accepted)",-0.91,0.38,12.0,2022,166
1.0,5:58,1.0,10.0,DAL 7,3.0,0.0,Tony Pollard up the middle for 4 yards (tackle by Jaylon Smith and Julian Love),-0.38,-0.49,12.0,2022,166
1.0,5:26,2.0,6.0,DAL 11,3.0,0.0,Tony Pollard right tackle for 2 yards (tackle by Dexter Lawrence),-0.49,-0.72,12.0,2022,166
1.0,4:48,3.0,4.0,DAL 13,3.0,0.0,Dak Prescott pass complete short right to Michael Gallup for 10 yards (tackle by Nick McCloud),-0.72,0.48,12.0,2022,166
1.0,4:05,1.0,10.0,DAL 23,3.0,0.0,Tony Pollard up the middle for 7 yards (tackle by Jason Pinnock),0.48,0.88,12.0,2022,166
1.0,3:28,2.0,3.0,DAL 30,3.0,0.0,Tony Pollard right tackle for no gain (tackle by Jihad Ward),0.88,0.17,12.0,2022,166
1.0,2:52,3.0,3.0,DAL 30,3.0,0.0,Dak Prescott pass complete short left to Michael Gallup for 9 yards (tackle by Cordale Flott),0.17,1.53,12.0,2022,166
1.0,2:14,1.0,10.0,DAL 39,3.0,0.0,Dak Prescott pass complete short right to Michael Gallup for 5 yards (tackle by Nick McCloud),1.53,1.66,12.0,2022,166
1.0,1:39,2.0,5.0,DAL 44,3.0,0.0,Ezekiel Elliott up the middle for 3 yards (tackle by Dexter Lawrence),1.66,1.36,12.0,2022,166
1.0,1:02,3.0,2.0,DAL 47,3.0,0.0,Ezekiel Elliott right end for 22 yards (tackle by Jason Pinnock),1.36,3.51,12.0,2022,166
